type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
casual2v2,20220104T182857.000Z,,54000040,Legendary Arena,72000023,TeamVsTeamLadder,,collection,#YGCRGPJU,ツヌノ‪ღ,6600,1,#PYGQQC2P,Divine Saga,16000043,Miner,6,6,Mother Witch,5,6,Prince,8,9,Guards,8,9,Rascals,13,14,Zap,14,14,Balloon,9,9,Dart Goblin,11,12,#PVU82ULCP,˩ɛɢəи∂ϟмαиυə˩ヅ,,1,#L8PUQ2RU,Harold army top,16000146,Archer Queen,4,4,Bandit,6,6,Zap,14,14,Barbarian Barrel,9,9,Fireball,12,12,Mega Knight,6,6,Ram Rider,6,6,Royal Ghost,6,6,#LGJU89PVQ,ан,5438,0,#LQCCGRQ2,GSW,16000014,Valkyrie,12,12,Skeletons,14,14,Fisherman,6,6,Hog Rider,12,12,Barbarian Barrel,8,9,Fire Spirit,14,14,Musketeer,12,12,Baby Dragon,9,9,#Y2RJLQ8V,SiccaRa,,0,#888QGG,kepong style TM,16000117,Hog Rider,12,12,Barbarian Barrel,8,9,Ram Rider,6,6,Princess,6,6,Balloon,9,9,Cannon,14,14,Firecracker,13,14,Golden Knight,2,4
PvP,20220104T142255.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#PVU82ULCP,˩ɛɢəи∂ϟмαиυə˩ヅ,6724,1,#L8PUQ2RU,Harold army top,16000146,Archer Queen,4,4,Bandit,6,6,Zap,14,14,Barbarian Barrel,9,9,Fireball,12,12,Mega Knight,6,6,Ram Rider,6,6,Royal Ghost,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#CJQCVR20,eder,6694,0,#2YPQ8JL,La H,16000162,Goblin Drill,9,9,Hog Rider,12,12,Minion Horde,14,14,Rascals,14,14,Dart Goblin,12,12,Dark Prince,9,9,Fireball,12,12,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T001110.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#PVU82ULCP,˩ɛɢəи∂ϟмαиυə˩ヅ,6692,1,#L8PUQ2RU,Harold army top,16000146,Archer Queen,4,4,Bandit,6,6,Zap,14,14,Barbarian Barrel,9,9,Fireball,12,12,Mega Knight,6,6,Ram Rider,6,6,Royal Ghost,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#U8QC00V0,Magic Jannik,6720,0,#PU0R0PQC,Gin & Juice,16000141,Skeletons,14,14,Wall Breakers,9,9,Magic Archer,6,6,Arrows,14,14,Bats,14,14,Miner,6,6,Valkyrie,12,12,Bomb Tower,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T000245.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#PVU82ULCP,˩ɛɢəи∂ϟмαиυə˩ヅ,6664,1,#L8PUQ2RU,Harold army top,16000146,Archer Queen,4,4,Bandit,6,6,Zap,14,14,Barbarian Barrel,9,9,Fireball,12,12,Mega Knight,6,6,Ram Rider,6,6,Royal Ghost,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2U0JJQQYY,ForGiveMe™,6650,0,#9G2PVP0R,Team Legacy,16000012,Royal Hogs,12,12,Zappies,12,12,Tornado,9,9,Barbarian Barrel,9,9,Firecracker,14,14,Earthquake,12,12,Giant Skeleton,9,9,Tesla,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual2v2,20220103T195220.000Z,,54000040,Legendary Arena,72000023,TeamVsTeamLadder,,collection,#PVU82ULCP,˩ɛɢəи∂ϟмαиυə˩ヅ,6664,3,#L8PUQ2RU,Harold army top,16000146,Archer Queen,4,4,Bandit,6,6,Zap,14,14,Barbarian Barrel,9,9,Fireball,12,12,Mega Knight,6,6,Ram Rider,6,6,Royal Ghost,6,6,#9QL22GYJQ,Rollo Lodbrók,,3,#9VVQUCRL,PitaGyro ||,16000040,P.E.K.K.A,9,9,Electro Wizard,6,6,Zap,14,14,Bandit,6,6,Royal Ghost,6,6,Fireball,12,12,Archer Queen,4,4,Battle Ram,12,12,#PG29QRU9P,xxenx,5561,0,#9UQQUQ0C,GV,16000171,Prince,9,9,Baby Dragon,8,9,Bats,14,14,Valkyrie,12,12,Wizard,12,12,Goblin Gang,14,14,Zap,13,14,Bandit,5,6,#CG98Y928,Jerre,,0,#2V22QYJ,kerstboom,16000035,Poison,9,9,Miner,5,6,Dart Goblin,12,12,Bandit,6,6,Ram Rider,6,6,Mega Knight,6,6,Goblin Barrel,9,9,Spear Goblins,14,14
casual1v1,20220103T194750.000Z,,54000040,Legendary Arena,72000066,Showdown_Ladder,,collection,#PVU82ULCP,˩ɛɢəи∂ϟмαиυə˩ヅ,6664,3,#L8PUQ2RU,Harold army top,16000146,Archer Queen,3,4,Bandit,6,6,Zap,14,14,Barbarian Barrel,9,9,Fireball,12,12,Mega Knight,6,6,Ram Rider,6,6,Royal Ghost,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9LJ2P2PVL,GD,4370,0,#YUJ2VRCU,les bisousnours,16000078,Ram Rider,5,6,Princess,3,6,Barbarian Barrel,6,9,Zap,13,14,Firecracker,13,14,Valkyrie,11,12,Battle Ram,11,12,Electro Dragon,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual1v1,20220103T194607.000Z,,54000040,Legendary Arena,72000254,MirrorDeck_Friendly,,predefined,#PVU82ULCP,˩ɛɢəи∂ϟмαиυə˩ヅ,6664,1,#L8PUQ2RU,Harold army top,16000146,Mirror,6,9,Wall Breakers,6,9,Lava Hound,3,6,Electro Dragon,6,9,Prince,6,9,Fisherman,3,6,Heal Spirit,9,12,The Log,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PY2LL22LP,Волк,6010,0,#PR0G00GY,BandaNiko,16000163,Mirror,6,9,Wall Breakers,6,9,Lava Hound,3,6,Electro Dragon,6,9,Prince,6,9,Fisherman,3,6,Heal Spirit,9,12,The Log,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual1v1,20220103T194129.000Z,,54000040,Legendary Arena,72000066,Showdown_Ladder,,collection,#PVU82ULCP,˩ɛɢəи∂ϟмαиυə˩ヅ,6664,1,#L8PUQ2RU,Harold army top,16000146,Archer Queen,3,4,Bandit,6,6,Zap,14,14,Barbarian Barrel,9,9,Fireball,12,12,Mega Knight,6,6,Ram Rider,6,6,Royal Ghost,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9UCYCJ2YY,prins,5735,0,#20PYJY,-Rebirth-,16000143,Golden Knight,3,4,Ice Golem,10,12,Hunter,9,9,Wall Breakers,9,9,Tornado,6,9,Freeze,6,9,Firecracker,12,14,Giant Skeleton,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220103T155323.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,7,eventDeck,#PVU82ULCP,˩ɛɢəи∂ϟмαиυə˩ヅ,6664,2,#L8PUQ2RU,Harold army top,16000146,Ram Rider,3,6,Archer Queen,1,4,Mega Knight,3,6,Bandit,3,6,Royal Ghost,3,6,Barbarian Barrel,6,9,Fireball,9,12,Zap,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YVVLLJC8V,{Gtr}_love,5007,1,#LQ0YLPUU,sharingan,16000125,Ram Rider,3,6,The Log,3,6,Archer Queen,1,4,Cannon,11,14,Fireball,9,12,Ice Golem,9,12,Ice Spirit,11,14,Skeletons,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220103T154924.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,6,eventDeck,#PVU82ULCP,˩ɛɢəи∂ϟмαиυə˩ヅ,6664,3,#L8PUQ2RU,Harold army top,16000146,Ram Rider,3,6,Archer Queen,1,4,Mega Knight,3,6,Bandit,3,6,Royal Ghost,3,6,Barbarian Barrel,6,9,Fireball,9,12,Zap,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#22P0YPRJ2,wowlol,5410,0,#P20UQPY,chy,16000025,Ram Rider,3,6,Mini P.E.K.K.A,9,12,Magic Archer,3,6,Skeleton Army,6,9,Arrows,11,14,Inferno Tower,9,12,Bandit,3,6,Wizard,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
