type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T191154.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#PY0YGJRUL,mauboe,6677,0,#G9QP2QC,18's,16000003,Princess,6,6,Valkyrie,12,12,Inferno Tower,12,12,Rocket,12,12,Goblin Barrel,9,9,Guards,9,9,Electro Spirit,14,14,Fire Spirit,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2GYRLC82Q,재클린 ♡ 페카,6657,1,#L8VGCL99,Pekka❤️,16000163,P.E.K.K.A,9,9,Magic Archer,6,6,Fireball,12,12,Electro Wizard,6,6,Battle Ram,12,12,Bandit,6,6,Royal Ghost,6,6,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T183628.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#PY0YGJRUL,mauboe,6647,1,#G9QP2QC,18's,16000003,Princess,6,6,Valkyrie,12,12,Inferno Tower,12,12,Rocket,12,12,Goblin Barrel,9,9,Guards,9,9,Electro Spirit,14,14,Fire Spirit,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#29V9VLGQ2,⭐️ Striker ⭐️,6656,0,#LLGV9C8P,KarojBo$$,16000098,Lava Hound,6,6,Fireball,12,12,Zap,14,14,Skeleton Dragons,14,14,Tombstone,12,12,Mega Minion,12,12,Balloon,9,9,Guards,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T183148.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#PY0YGJRUL,mauboe,6677,0,#G9QP2QC,18's,16000003,Princess,6,6,Valkyrie,12,12,Inferno Tower,12,12,Rocket,12,12,Goblin Barrel,9,9,Guards,9,9,Electro Spirit,14,14,Fire Spirit,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#28Y0UVGCV,Adripc04,6668,1,#9P9Y8VPL,TeamExigence,16000162,Valkyrie,12,12,Archers,14,14,Goblin Hut,12,12,The Log,6,6,Fireball,12,12,Royal Giant,14,14,Fire Spirit,14,14,Electro Wizard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T182606.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#PY0YGJRUL,mauboe,6708,0,#G9QP2QC,18's,16000003,Princess,6,6,Valkyrie,12,12,Inferno Tower,12,12,Rocket,12,12,Goblin Barrel,9,9,Guards,9,9,Electro Spirit,14,14,Fire Spirit,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8RQPLJQC,FCG I Nietsnut▪,6686,2,#JUGLL8,FC GROOTEGAST,16000098,Electro Giant,9,9,Fisherman,5,6,Dark Prince,9,9,Barbarian Barrel,9,9,Mega Minion,12,12,Archer Queen,4,4,Lightning,9,9,Tornado,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T180745.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#PY0YGJRUL,mauboe,6676,1,#G9QP2QC,18's,16000003,Princess,6,6,Valkyrie,12,12,Inferno Tower,12,12,Rocket,12,12,Goblin Barrel,9,9,Guards,9,9,Electro Spirit,14,14,Fire Spirit,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8YRJULRCR,Kauã ♥️X-Bow,6702,0,#YPL0CYUP,ELZ1 eSports,16000122,Giant,12,12,Prince,9,9,Mega Minion,12,12,Fireball,12,12,Miner,6,6,Dark Prince,9,9,Electro Wizard,6,6,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T180415.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#PY0YGJRUL,mauboe,6644,1,#G9QP2QC,18's,16000003,Princess,6,6,Valkyrie,12,12,Inferno Tower,12,12,Rocket,12,12,Goblin Barrel,9,9,Guards,9,9,Electro Spirit,14,14,Fire Spirit,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2RPCVLV00,ɢᴀᴅᴅɪᴇʟ,6670,0,#PC9RY82V,0.3클3기,16000040,Skeleton Army,9,9,Graveyard,6,6,Bowler,9,9,Bats,14,14,Arrows,14,14,Giant,12,12,Archer Queen,4,4,Giant Snowball,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T180033.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#PY0YGJRUL,mauboe,6614,1,#G9QP2QC,18's,16000003,Princess,6,6,Valkyrie,12,12,Inferno Tower,12,12,Rocket,12,12,Goblin Barrel,9,9,Guards,9,9,Electro Spirit,14,14,Fire Spirit,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#P08YPYYGP,杜雷丝,6624,0,#82UU2Y2G,bbox达人三冠大本营,16000106,Royal Ghost,6,6,Bandit,6,6,Fireball,12,12,Ram Rider,6,6,Bats,14,14,Zap,14,14,Mega Knight,6,6,Archer Queen,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T175556.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#PY0YGJRUL,mauboe,6645,0,#G9QP2QC,18's,16000003,Princess,6,6,Valkyrie,12,12,Inferno Tower,12,12,Rocket,12,12,Goblin Barrel,9,9,Guards,9,9,Electro Spirit,14,14,Fire Spirit,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#P98QUGYV8,XQNL I Gijsos,6625,1,#P0UUL80C,xQlusive Gold,16000139,Knight,14,14,Archer Queen,4,4,Skeletons,14,14,Electro Spirit,14,14,The Log,6,6,Tesla,14,14,X-Bow,9,9,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T174831.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#PY0YGJRUL,mauboe,6676,1,#G9QP2QC,18's,16000003,Princess,6,6,Valkyrie,12,12,Inferno Tower,12,12,Rocket,12,12,Goblin Barrel,9,9,Guards,9,9,Electro Spirit,14,14,Fire Spirit,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8Q902LVJP,The_Hesitation,6654,2,#2U2PUG,正港台灣狼,16000164,Mortar,14,14,Musketeer,12,12,Miner,6,6,Poison,9,9,Bats,14,14,Skeletons,14,14,Giant Snowball,14,14,Valkyrie,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T174457.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#PY0YGJRUL,mauboe,6705,0,#G9QP2QC,18's,16000003,Princess,6,6,Valkyrie,12,12,Inferno Tower,12,12,Rocket,12,12,Goblin Barrel,9,9,Dark Prince,9,9,Fire Spirit,14,14,Electro Spirit,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9C8LUVGUQ,⚡️Dudu⚡️,6710,1,#92J290L2,ASFALTATORRI,16000081,Ice Golem,12,12,Hog Rider,12,12,Musketeer,12,12,Lightning,8,9,Cannon,14,14,Ice Spirit,14,14,Skeletons,14,14,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
