type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T160936.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#Q2GPR8C,斑斑❤️苗苗,6810,1,#9L0JQL,复旦大联盟,16000017,Bandit,6,6,Ram Rider,6,6,Royal Ghost,6,6,Giant Snowball,14,14,Electro Spirit,14,14,Lightning,9,9,Mega Knight,6,6,Archer Queen,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LG0Y0UCC,FDP⚡Forme,6815,0,#LY2LGR29,QLASH Reality,16000007,Hunter,9,9,Royal Giant,14,14,The Log,6,6,Fisherman,6,6,Lightning,9,9,Golden Knight,4,4,Electro Spirit,14,14,Mega Minion,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T152742.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#Q2GPR8C,斑斑❤️苗苗,6778,1,#9L0JQL,复旦大联盟,16000017,Bandit,6,6,Ram Rider,6,6,Royal Ghost,6,6,Giant Snowball,14,14,Electro Spirit,14,14,Lightning,9,9,Mega Knight,6,6,Archer Queen,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2QQCULG2V,❤Perfekt❤,6810,0,#8YQ9LPPV,Undiscovered™,16000077,Barbarian Barrel,9,9,Inferno Dragon,6,6,Baby Dragon,9,9,Freeze,9,9,Bowler,9,9,Tornado,9,9,Lumberjack,6,6,Balloon,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T152154.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#Q2GPR8C,斑斑❤️苗苗,6748,3,#9L0JQL,复旦大联盟,16000017,Bandit,6,6,Ram Rider,6,6,Royal Ghost,6,6,Giant Snowball,14,14,Electro Spirit,14,14,Lightning,9,9,Mega Knight,6,6,Archer Queen,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2RU8YCPCQ,こう,6756,0,#YVP82V0Q,実力主義,16000029,Ice Wizard,6,6,Valkyrie,12,12,Tombstone,12,12,Poison,9,9,Baby Dragon,9,9,Tornado,8,9,Barbarian Barrel,9,9,Graveyard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T151833.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#Q2GPR8C,斑斑❤️苗苗,6778,0,#9L0JQL,复旦大联盟,16000017,Bandit,6,6,Ram Rider,6,6,Royal Ghost,6,6,Giant Snowball,14,14,Electro Spirit,14,14,Lightning,9,9,Mega Knight,6,6,Archer Queen,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9C8RPQ8G8,奧特☠amine,6771,1,#LP2LCGVG,Ad Astra,16000040,Tornado,8,9,Battle Ram,12,12,Magic Archer,6,6,Royal Ghost,6,6,Elite Barbarians,14,14,Bandit,6,6,Electro Wizard,6,6,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T151419.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#Q2GPR8C,斑斑❤️苗苗,6807,0,#9L0JQL,复旦大联盟,16000017,Bandit,6,6,Ram Rider,6,6,Royal Ghost,6,6,Giant Snowball,14,14,Electro Spirit,14,14,Lightning,9,9,Mega Knight,6,6,Archer Queen,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8JQRVRP89,まさゆ,6814,1,#PLG29YRJ,Moon Light,16000032,The Log,6,6,Earthquake,12,12,Archer Queen,4,4,Royal Hogs,12,12,Royal Delivery,14,14,Fire Spirit,14,14,Goblin Cage,12,12,Skeletons,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T150858.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#Q2GPR8C,斑斑❤️苗苗,6784,3,#9L0JQL,复旦大联盟,16000017,Bandit,6,6,Ram Rider,6,6,Royal Ghost,6,6,Giant Snowball,14,14,Electro Spirit,14,14,Lightning,9,9,Mega Knight,6,6,Archer Queen,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#20R029UL,Akemi 好多,6706,0,,,,Knight,14,14,Archers,14,14,Skeletons,13,14,Fireball,12,12,X-Bow,9,9,Tesla,14,14,Electro Spirit,14,14,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T150522.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#Q2GPR8C,斑斑❤️苗苗,6754,1,#9L0JQL,复旦大联盟,16000017,Bandit,6,6,Ram Rider,6,6,Royal Ghost,6,6,Giant Snowball,14,14,Electro Spirit,14,14,Lightning,9,9,Mega Knight,6,6,Archer Queen,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2P2LRGYQQ,Slash Gaming,6761,0,,,,Earthquake,12,12,Archer Queen,4,4,Royal Hogs,12,12,The Log,6,6,Royal Delivery,14,14,Skeletons,14,14,Fire Spirit,14,14,Goblin Cage,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T150145.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#Q2GPR8C,斑斑❤️苗苗,6726,1,#9L0JQL,复旦大联盟,16000017,Bandit,6,6,Ram Rider,6,6,Royal Ghost,6,6,Giant Snowball,14,14,Electro Spirit,14,14,Lightning,9,9,Mega Knight,6,6,Archer Queen,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#CUCCV8LV,xXcEjAzNeGrAzXx,6711,0,#RPQ98PV,Furia Roja «HN»,16000145,Barbarian Barrel,9,9,Tornado,9,9,Mega Minion,12,12,Baby Dragon,9,9,Dark Prince,9,9,Goblin Cage,12,12,Lightning,9,9,Electro Giant,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T145803.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#Q2GPR8C,斑斑❤️苗苗,6698,2,#9L0JQL,复旦大联盟,16000017,Bandit,6,6,Ram Rider,6,6,Royal Ghost,6,6,Giant Snowball,14,14,Electro Spirit,14,14,Lightning,9,9,Mega Knight,6,6,Archer Queen,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#RGVG2RY,A X A,6680,1,#LPJQ99QL,THE 100™,16000096,Fisherman,6,6,Arrows,14,14,Baby Dragon,9,9,Night Witch,6,6,Lightning,9,9,Golem,9,9,Elite Barbarians,14,14,Golden Knight,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T145450.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#Q2GPR8C,斑斑❤️苗苗,6729,0,#9L0JQL,复旦大联盟,16000017,Bandit,6,6,Ram Rider,6,6,Royal Ghost,6,6,Giant Snowball,14,14,Electro Spirit,14,14,Lightning,9,9,Mega Knight,6,6,Archer Queen,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#802R9YG8R,AIM,6708,1,#2PCR89UR,AEGIS9,16000019,Ice Golem,12,12,Royal Hogs,12,12,Three Musketeers,12,12,Bandit,6,6,Heal Spirit,12,12,Barbarian Barrel,9,9,Hunter,9,9,Royal Ghost,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T145115.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#Q2GPR8C,斑斑❤️苗苗,6759,0,#9L0JQL,复旦大联盟,16000017,Bandit,6,6,Ram Rider,6,6,Royal Ghost,6,6,Giant Snowball,14,14,Electro Spirit,14,14,Lightning,9,9,Mega Knight,6,6,Archer Queen,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8U00GYJP,NZT LEMON,6756,1,#PYG0JVVJ,canarios arkano,16000172,Magic Archer,6,6,Royal Ghost,6,6,Fireball,12,12,Barbarian Barrel,9,9,Bandit,6,6,Lumberjack,6,6,Archer Queen,4,4,Ram Rider,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T144726.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#Q2GPR8C,斑斑❤️苗苗,6790,0,#9L0JQL,复旦大联盟,16000017,Bandit,6,6,Ram Rider,6,6,Royal Ghost,6,6,Giant Snowball,14,14,Electro Spirit,14,14,Lightning,9,9,Mega Knight,6,6,Archer Queen,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#UJPPP9UL,cece,6778,1,#YC0VQCC0,NoBrain NoGame,16000078,Golden Knight,4,4,Furnace,12,12,Mother Witch,6,6,Goblin Hut,12,12,Barbarian Barrel,9,9,Lightning,9,9,Mega Minion,12,12,Goblin Giant,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T144305.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#Q2GPR8C,斑斑❤️苗苗,6827,1,#9L0JQL,复旦大联盟,16000017,Bandit,6,6,Ram Rider,6,6,Royal Ghost,6,6,Giant Snowball,14,14,Electro Spirit,14,14,Lightning,9,9,Mega Knight,6,6,Archer Queen,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9UJ2UC8CJ,ドルフィンʕ•ᴥ•ʔ,6739,3,,,,Golem,9,9,Night Witch,6,6,Fireball,12,12,Mega Minion,12,12,Mini P.E.K.K.A,12,12,Bomber,13,14,Skeleton Army,8,9,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T144121.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#Q2GPR8C,斑斑❤️苗苗,6852,0,#9L0JQL,复旦大联盟,16000017,Bandit,6,6,Ram Rider,6,6,Royal Ghost,6,6,Giant Snowball,14,14,Electro Spirit,14,14,Lightning,9,9,Mega Knight,6,6,Archer Queen,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9YLC8YL8J,⛔⛔Emre⛔⛔WARRİOR,6907,1,#2JG9CJYV,DİRİLİŞ TÜRKİYE,16000030,P.E.K.K.A,9,9,Electro Wizard,6,6,Bandit,6,6,Elite Barbarians,14,14,Wizard,12,12,Poison,9,9,Zap,14,14,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T143735.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#Q2GPR8C,斑斑❤️苗苗,6879,1,#9L0JQL,复旦大联盟,16000017,Bandit,6,6,Ram Rider,6,6,Royal Ghost,6,6,Giant Snowball,14,14,Electro Spirit,14,14,Lightning,9,9,Mega Knight,6,6,Archer Queen,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2JQJL2PU,Infinity Mukul,6911,2,#8UL8V0Q0,CLASHwithINDIAN,16000059,Lava Hound,6,6,Mega Minion,12,12,Tombstone,12,12,Barbarians,14,14,Lightning,9,9,Zap,14,14,Skeleton Dragons,14,14,Balloon,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T143350.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#Q2GPR8C,斑斑❤️苗苗,6914,0,#9L0JQL,复旦大联盟,16000017,Bandit,6,6,Ram Rider,6,6,Royal Ghost,6,6,Giant Snowball,14,14,Electro Spirit,14,14,Lightning,9,9,Mega Knight,6,6,Archer Queen,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#89VLRC9QG,Youtube SunnyCR,6847,1,#Q9P2CQV,사랑하는시청자분들,16000045,Ice Wizard,6,6,Baby Dragon,9,9,Barbarian Barrel,9,9,Poison,9,9,Tombstone,12,12,Graveyard,6,6,Knight,14,14,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T141626.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#Q2GPR8C,斑斑❤️苗苗,6886,3,#9L0JQL,复旦大联盟,16000017,Bandit,6,6,Ram Rider,6,6,Royal Ghost,6,6,Giant Snowball,14,14,Electro Spirit,14,14,Lightning,9,9,Mega Knight,6,6,Archer Queen,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#220CY2PL,Amir cLuB,6869,1,#G9PJUUGV,yt: amir club,16000086,Golem,9,9,Night Witch,6,6,Arrows,14,14,Zap,13,14,Mega Minion,12,12,Dark Prince,9,9,Bomber,13,14,Prince,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T141303.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#Q2GPR8C,斑斑❤️苗苗,6849,1,#9L0JQL,复旦大联盟,16000017,Bandit,6,6,Ram Rider,6,6,Royal Ghost,6,6,Giant Snowball,14,14,Electro Spirit,14,14,Lightning,9,9,Mega Knight,6,6,Archer Queen,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8LU8RU02U,Taha,6935,0,#QVQ99R0U,haydi 12J,16000030,Rocket,12,12,The Log,6,6,Tornado,9,9,Executioner,9,9,Valkyrie,12,12,Hog Rider,12,12,Electro Spirit,14,14,Goblins,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T140732.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#Q2GPR8C,斑斑❤️苗苗,6875,0,#9L0JQL,复旦大联盟,16000017,Bandit,6,6,Ram Rider,6,6,Royal Ghost,6,6,Giant Snowball,14,14,Electro Spirit,14,14,Lightning,9,9,Mega Knight,6,6,Archer Queen,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2QLJPC2R0,DEAD MAN,6911,1,#LJ0U898U,golden brothers,16000012,Mega Minion,12,12,Graveyard,6,6,Inferno Tower,12,12,Freeze,9,9,Archers,14,14,Bowler,9,9,Valkyrie,12,12,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T140221.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#Q2GPR8C,斑斑❤️苗苗,6842,1,#9L0JQL,复旦大联盟,16000017,Bandit,6,6,Ram Rider,6,6,Royal Ghost,6,6,Giant Snowball,14,14,Electro Spirit,14,14,Lightning,9,9,Mega Knight,6,6,Archer Queen,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2QRJU99QQ,Koh❤Neffex,6886,0,#QP0JQJL0,Twitter,16000011,Princess,6,6,Inferno Tower,12,12,Goblin Barrel,9,9,Ice Spirit,14,14,Goblin Gang,14,14,The Log,6,6,Rocket,12,12,Knight,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T135829.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#Q2GPR8C,斑斑❤️苗苗,6873,0,#9L0JQL,复旦大联盟,16000017,Bandit,6,6,Ram Rider,6,6,Royal Ghost,6,6,Giant Snowball,14,14,Electro Spirit,14,14,Lightning,9,9,Mega Knight,6,6,Archer Queen,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2R02V2LJV,Eruption™,6853,3,#LRUUCURY,AL✨Oldies™️✨,16000145,P.E.K.K.A,9,9,Battle Ram,12,12,Royal Ghost,6,6,Electro Wizard,6,6,Archer Queen,4,4,Bandit,6,6,Zap,14,14,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T135638.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#Q2GPR8C,斑斑❤️苗苗,6903,1,#9L0JQL,复旦大联盟,16000017,Bandit,6,6,Ram Rider,6,6,Royal Ghost,6,6,Giant Snowball,14,14,Electro Spirit,14,14,Lightning,9,9,Mega Knight,6,6,Archer Queen,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Y90CL0PCQ,ふぃりったん,6897,3,#Y89VR8JL,Juvenile,16000040,Mega Knight,6,6,Giant Snowball,14,14,Archer Queen,4,4,Electro Spirit,14,14,Ram Rider,6,6,Bandit,6,6,Royal Ghost,6,6,Lightning,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T135135.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#Q2GPR8C,斑斑❤️苗苗,6877,1,#9L0JQL,复旦大联盟,16000017,Bandit,6,6,Ram Rider,6,6,Royal Ghost,6,6,Giant Snowball,14,14,Electro Spirit,14,14,Lightning,9,9,Mega Knight,6,6,Archer Queen,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2YJVV2RPJ,огненный демон,6842,0,#LLL9PP98,ps 5,16000072,Balloon,9,9,Tornado,9,9,Barbarian Barrel,8,9,Bowler,9,9,Inferno Dragon,6,6,Electro Dragon,9,9,Freeze,8,9,Lumberjack,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T134507.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#Q2GPR8C,斑斑❤️苗苗,6911,0,#9L0JQL,复旦大联盟,16000017,Bandit,6,6,Ram Rider,6,6,Royal Ghost,6,6,Giant Snowball,14,14,Electro Spirit,14,14,Lightning,9,9,Mega Knight,6,6,Archer Queen,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PRYLGLRQU,LWJ,6855,1,#LRC29YY0,BetaGo,16000014,Zap,14,14,Fireball,12,12,Minions,14,14,Battle Ram,12,12,Royal Ghost,6,6,Bandit,6,6,Electro Wizard,6,6,P.E.K.K.A,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T131308.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#Q2GPR8C,斑斑❤️苗苗,6877,3,#9L0JQL,复旦大联盟,16000017,Bandit,6,6,Ram Rider,6,6,Royal Ghost,6,6,Giant Snowball,14,14,Electro Spirit,14,14,Lightning,9,9,Mega Knight,6,6,Archer Queen,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2QQQJCP9V,Εκατία κυανός,6929,2,#QRQP89YQ,Jisooinyourarea,16000111,Lava Hound,6,6,Baby Dragon,9,9,Lumberjack,6,6,Fireball,12,12,Flying Machine,12,12,Clone,9,9,Bats,14,14,Skeleton Army,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
