type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T162407.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#Q8R2LQG0,.:ALFA:.,6781,1,#Y9C802YQ,PARSIAN KINGS,16000142,Lumberjack,6,6,Bomber,14,14,Inferno Dragon,6,6,Balloon,9,9,Mega Knight,6,6,Zap,14,14,Freeze,8,9,Hunter,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#29QGY9YJC,Seb,6778,2,#YC8VL8LQ,B I C H O T A S,16000028,Ice Wizard,6,6,Baby Dragon,9,9,Tornado,9,9,Tombstone,12,12,Poison,9,9,Valkyrie,12,12,Graveyard,6,6,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T161932.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#Q8R2LQG0,.:ALFA:.,6813,2,#Y9C802YQ,PARSIAN KINGS,16000142,Lumberjack,6,6,Bomber,14,14,Inferno Dragon,6,6,Balloon,9,9,Mega Knight,6,6,Zap,14,14,Freeze,8,9,Hunter,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#822RQGYP,ZP I RAPHA 974✅,6781,3,#LRQGRGUQ,zPunish eSports,16000014,Goblin Giant,9,9,Rage,9,9,Zap,14,14,Sparky,6,6,Heal Spirit,12,12,Elite Barbarians,14,14,Archer Queen,4,4,Mega Minion,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T161406.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#Q8R2LQG0,.:ALFA:.,6780,2,#Y9C802YQ,PARSIAN KINGS,16000142,Lumberjack,6,6,Bomber,14,14,Inferno Dragon,6,6,Balloon,9,9,Mega Knight,6,6,Zap,14,14,Freeze,8,9,Hunter,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YC9JV20C2,ＭＥＧＡ❤️ＳＯＨＥＩＬ,6817,1,#G0C2CC8C,YT=SOHEIL CR,16000117,Mega Knight,6,6,Inferno Dragon,6,6,Bats,14,14,Bandit,6,6,Miner,6,6,Goblin Gang,14,14,Skeleton Barrel,14,14,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T160240.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#Q8R2LQG0,.:ALFA:.,6751,2,#Y9C802YQ,PARSIAN KINGS,16000142,Lumberjack,6,6,Bomber,14,14,Inferno Dragon,6,6,Balloon,9,9,Mega Knight,6,6,Zap,14,14,Freeze,8,9,Hunter,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8JQRVRP89,まさゆ,6746,1,#PLG29YRJ,Moon Light,16000032,Tornado,8,9,Earthquake,12,12,Electro Giant,9,9,Fire Spirit,14,14,Archer Queen,4,4,Goblin Cage,12,12,The Log,6,6,Skeletons,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T155841.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#Q8R2LQG0,.:ALFA:.,6784,0,#Y9C802YQ,PARSIAN KINGS,16000142,Golem,9,9,Night Witch,6,6,Mega Minion,12,12,Elite Barbarians,14,14,Lumberjack,6,6,Bomber,14,14,Zap,14,14,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2UPQV9LLV,King Naredo,6744,2,#GR80Y9J,FLKloppa,16000167,Baby Dragon,9,9,Barbarian Barrel,9,9,Tombstone,12,12,Graveyard,6,6,Poison,9,9,Archer Queen,4,4,Valkyrie,12,12,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T155420.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#Q8R2LQG0,.:ALFA:.,6756,2,#Y9C802YQ,PARSIAN KINGS,16000142,Golem,9,9,Night Witch,6,6,Mega Minion,12,12,Elite Barbarians,14,14,Lumberjack,6,6,Bomber,14,14,Zap,14,14,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#82V9UQCGG,LEVANI GLP,6736,1,,,,Bandit,6,6,Miner,6,6,Skeleton Army,9,9,Bats,14,14,Electro Wizard,6,6,Prince,9,9,Zap,14,14,Mega Knight,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T154957.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#Q8R2LQG0,.:ALFA:.,6725,3,#Y9C802YQ,PARSIAN KINGS,16000142,Golem,9,9,Night Witch,6,6,Mega Minion,12,12,Elite Barbarians,14,14,Lumberjack,6,6,Bomber,14,14,Zap,14,14,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#22LGCQVLJ,为什么不能升级？,6744,0,#9QGQQGPU,疯人院,16000028,Ram Rider,6,6,Baby Dragon,9,9,Royal Ghost,6,6,Electro Wizard,6,6,P.E.K.K.A,9,9,Barbarian Barrel,9,9,Golden Knight,4,4,Lightning,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T154629.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#Q8R2LQG0,.:ALFA:.,6752,0,#Y9C802YQ,PARSIAN KINGS,16000142,Golem,9,9,Night Witch,6,6,Mega Minion,12,12,Elite Barbarians,14,14,Lumberjack,6,6,Bomber,14,14,Zap,14,14,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#GG90QCC,3⭐KAYSERİ⭐8,6784,3,#P0YLYUY,ADALET-İ MAHZA,16000030,Golem,9,9,Night Witch,6,6,Bats,14,14,Baby Dragon,9,9,Lightning,9,9,Bomber,14,14,Prince,9,9,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T210819.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#Q8R2LQG0,.:ALFA:.,6781,0,#Y9C802YQ,PARSIAN KINGS,16000142,Golem,9,9,Night Witch,6,6,Zap,14,14,Bomber,14,14,Mini P.E.K.K.A,12,12,Mega Minion,12,12,Skeleton Army,9,9,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2LV9VRY8G,Kodigoⓒʀ,6787,1,#YGRV2CVG,Twitch Kodigo,16000040,Cannon,14,14,Hog Rider,12,12,Ice Golem,12,12,Musketeer,12,12,Ice Spirit,14,14,The Log,6,6,Skeletons,14,14,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T210432.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#Q8R2LQG0,.:ALFA:.,6813,0,#Y9C802YQ,PARSIAN KINGS,16000142,Golem,9,9,Night Witch,6,6,Zap,14,14,Bomber,14,14,Mini P.E.K.K.A,12,12,Mega Minion,12,12,Skeleton Army,9,9,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#20G80G0RJ,kiki,6781,1,#LLQYYRCY,InTheStorm,16000020,Skeletons,14,14,Ice Spirit,14,14,Hog Rider,12,12,Valkyrie,12,12,Firecracker,14,14,Tesla,14,14,The Log,6,6,Earthquake,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
