type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
friendly,20220104T032730.000Z,,54000017,Master III,72000007,Friendly,,collection,#Q9G2YLCY,Light Goblin,6912,0,#LVRQUY2R,Twitter,16000020,Ice Golem,9,12,Hog Rider,9,12,Cannon,11,14,Fireball,9,12,Ice Spirit,11,14,Skeletons,11,14,Musketeer,9,12,The Log,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#VQR88RR0,Mateuzinho,6571,1,,,,Ice Golem,9,12,Hog Rider,9,12,Cannon,11,14,Fireball,9,12,Ice Spirit,11,14,Skeletons,11,14,Musketeer,9,12,The Log,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T032412.000Z,,54000017,Master III,72000007,Friendly,,collection,#Q9G2YLCY,Light Goblin,6912,1,#LVRQUY2R,Twitter,16000020,Ice Golem,9,12,Hog Rider,9,12,Cannon,11,14,Fireball,9,12,Ice Spirit,11,14,Skeletons,11,14,Musketeer,9,12,The Log,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#VQR88RR0,Mateuzinho,6571,0,,,,Ice Golem,9,12,Hog Rider,9,12,Cannon,11,14,Fireball,9,12,Ice Spirit,11,14,Skeletons,11,14,Musketeer,9,12,The Log,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T031854.000Z,,54000016,Master II,72000007,Friendly,,collection,#Q9G2YLCY,Light Goblin,6912,0,#LVRQUY2R,Twitter,16000020,Ice Golem,9,12,Hog Rider,9,12,Cannon,11,14,Fireball,9,12,Ice Spirit,11,14,Skeletons,11,14,Musketeer,9,12,The Log,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#VQR88RR0,Mateuzinho,6571,1,,,,Ice Golem,9,12,Hog Rider,9,12,Cannon,11,14,Fireball,9,12,Ice Spirit,11,14,Skeletons,11,14,Musketeer,9,12,The Log,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T025736.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#Q9G2YLCY,Light Goblin,6888,1,#LVRQUY2R,Twitter,16000020,Ice Golem,12,12,Hog Rider,12,12,Cannon,14,14,Fireball,12,12,Ice Spirit,14,14,Skeletons,14,14,Musketeer,12,12,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2989Y20R8,♥️Kaori✨宮園♥️,6818,0,#YV9C9GVP,eXiledKings,16000029,X-Bow,9,9,Fire Spirit,14,14,Archers,14,14,Knight,14,14,Skeletons,14,14,Tesla,14,14,Rocket,12,12,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T025253.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#Q9G2YLCY,Light Goblin,6865,1,#LVRQUY2R,Twitter,16000020,Ice Golem,12,12,Hog Rider,12,12,Cannon,14,14,Fireball,12,12,Ice Spirit,14,14,Skeletons,14,14,Musketeer,12,12,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2R0JC0P8R,smok,6783,0,#QU99PV29,love letter❤,16000109,Archers,14,14,Electro Spirit,14,14,Tesla,14,14,Rocket,12,12,Skeletons,14,14,Knight,14,14,X-Bow,9,9,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T024821.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#Q9G2YLCY,Light Goblin,6844,1,#LVRQUY2R,Twitter,16000020,Ice Golem,12,12,Hog Rider,12,12,Cannon,14,14,Fireball,12,12,Ice Spirit,14,14,Skeletons,14,14,Musketeer,12,12,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#P9UG92LR,こめっこ,6739,0,#LVRLGUUY,53スケラリプ,16000036,Royal Giant,14,14,Mega Minion,12,12,Golden Knight,4,4,Electro Spirit,14,14,Mother Witch,6,6,Fisherman,6,6,Lightning,9,9,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T024440.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#Q9G2YLCY,Light Goblin,6822,1,#LVRQUY2R,Twitter,16000020,Ice Golem,12,12,Hog Rider,12,12,Cannon,14,14,Fireball,12,12,Ice Spirit,14,14,Skeletons,14,14,Musketeer,12,12,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#99Y90LP,√Dinoplay√,6731,0,#LY9PG90R,Dino Mx,16000059,Balloon,9,9,Inferno Dragon,6,6,Tornado,9,9,Freeze,9,9,Lumberjack,6,6,Baby Dragon,9,9,Bowler,9,9,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T023856.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#Q9G2YLCY,Light Goblin,6788,1,#LVRQUY2R,Twitter,16000020,Ice Golem,12,12,Hog Rider,12,12,Cannon,14,14,Fireball,12,12,Ice Spirit,14,14,Skeletons,14,14,Musketeer,12,12,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#GYGJ9JYC,TGP I Lemon,6839,0,#LR0CGPL2,Live on twich,16000003,P.E.K.K.A,9,9,Bandit,6,6,Magic Archer,6,6,Battle Ram,12,12,Electro Wizard,6,6,Royal Ghost,6,6,Zap,14,14,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T023434.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#Q9G2YLCY,Light Goblin,6823,0,#LVRQUY2R,Twitter,16000020,Ice Golem,12,12,Hog Rider,12,12,Cannon,14,14,Fireball,12,12,Ice Spirit,14,14,Skeletons,14,14,Musketeer,12,12,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#VGGQU98R,ByMateo♥️503,6763,1,#YCQYVCCP,el salvador503,16000010,Balloon,9,9,Arrows,14,14,Barbarians,14,14,Skeleton Army,9,9,Ice Wizard,6,6,Royal Hogs,12,12,Inferno Dragon,6,6,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T023111.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#Q9G2YLCY,Light Goblin,6857,0,#LVRQUY2R,Twitter,16000020,Ice Golem,12,12,Hog Rider,12,12,Cannon,14,14,Fireball,12,12,Ice Spirit,14,14,Skeletons,14,14,Musketeer,12,12,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PV90PRLR,Max✨,6801,3,#L0YJ02YL,硬中华,16000014,Mega Knight,6,6,Giant Snowball,14,14,Archer Queen,4,4,Electro Spirit,14,14,Ram Rider,6,6,Bandit,6,6,Royal Ghost,6,6,Lightning,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
