type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
casual1v1,20220104T142717.000Z,,54000040,Legendary Arena,72000066,Showdown_Ladder,,collection,#QG8QCQQG0,꧁✰vesper✰꧂,6721,3,#Y0GPYJ80,Adulti NewBorn,16000025,Giant,12,12,Prince,9,9,Dark Prince,9,9,Zap,14,14,Electro Wizard,6,6,Mega Minion,12,12,Miner,5,6,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LJJP2CLC,punisher's game,5397,0,#L8L9PP99,GamerZillA,16000161,Golden Knight,2,4,The Log,2,6,Tesla,14,14,Poison,8,9,Skeletons,13,14,Royal Delivery,11,14,Mega Minion,11,12,Miner,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
riverRacePvP,20220104T141057.000Z,,54000040,Legendary Arena,72000062,TripleElixir_Ladder,,collection,#QG8QCQQG0,꧁✰vesper✰꧂,6721,0,#Y0GPYJ80,Adulti NewBorn,16000025,Golem,8,9,Electro Dragon,8,9,Bomber,13,14,Archer Queen,3,4,Fisherman,4,6,Lumberjack,5,6,Tornado,8,9,Skeleton Dragons,13,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8V9C9YRQ,朱兜兜,5723,3,#PJ9UPQP,OP Ace,16000000,Bomber,14,14,Baby Dragon,9,9,Archer Queen,4,4,Electro Giant,9,9,Goblin Cage,12,12,Tornado,9,9,Lightning,9,9,Dark Prince,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
riverRacePvP,20220104T140918.000Z,,54000040,Legendary Arena,72000062,TripleElixir_Ladder,,collection,#QG8QCQQG0,꧁✰vesper✰꧂,6721,0,#Y0GPYJ80,Adulti NewBorn,16000025,Barbarian Hut,11,12,Knight,13,14,Graveyard,5,6,Poison,8,9,Baby Dragon,9,9,Electro Wizard,6,6,Musketeer,11,12,Barbarian Barrel,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YJU8L2Q0,Pakho,6123,3,#PRLQGCR,广州 -战无不胜,16000147,Arrows,13,14,Rage,8,9,Elixir Golem,11,12,Elite Barbarians,13,14,Inferno Dragon,5,6,Battle Healer,11,12,Electro Dragon,8,9,Heal Spirit,11,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual1v1,20220104T133652.000Z,,54000040,Legendary Arena,72000066,Showdown_Ladder,,collection,#QG8QCQQG0,꧁✰vesper✰꧂,6721,3,#Y0GPYJ80,Adulti NewBorn,16000025,Giant,12,12,Prince,9,9,Dark Prince,9,9,Zap,14,14,Electro Wizard,6,6,Mega Minion,12,12,Miner,5,6,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#GY9CYLPCP,我好想贏，永遠的第二名QQ,5340,0,,,,Magic Archer,5,6,Miner,6,6,Wall Breakers,9,9,Bomb Tower,10,12,Tornado,7,9,The Log,4,6,Valkyrie,10,12,Spear Goblins,12,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual1v1,20220104T123913.000Z,,54000040,Legendary Arena,72000066,Showdown_Ladder,,collection,#QG8QCQQG0,꧁✰vesper✰꧂,6721,3,#Y0GPYJ80,Adulti NewBorn,16000025,Giant,12,12,Prince,9,9,Dark Prince,9,9,Zap,14,14,Electro Wizard,6,6,Mega Minion,12,12,Miner,5,6,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Q8QCQYGCR,el chapo,5204,0,#2L2VJRQ,Dreamers,16000023,Ice Wizard,4,6,Bomber,13,14,Graveyard,6,6,Barbarian Barrel,8,9,Fireball,12,12,Mega Knight,6,6,Baby Dragon,9,9,Tornado,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual1v1,20220104T123722.000Z,,54000040,Legendary Arena,72000066,Showdown_Ladder,,collection,#QG8QCQQG0,꧁✰vesper✰꧂,6721,3,#Y0GPYJ80,Adulti NewBorn,16000025,Giant,12,12,Prince,9,9,Dark Prince,9,9,Zap,14,14,Electro Wizard,6,6,Mega Minion,12,12,Miner,5,6,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9G9Y29CLC,Aone,6006,1,#QURRGQ8Q,SAO,16000077,Golem,9,9,Night Witch,6,6,Lumberjack,6,6,Mega Minion,12,12,Elite Barbarians,14,14,Bomber,14,14,Zap,14,14,Tornado,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual1v1,20220104T123511.000Z,,54000040,Legendary Arena,72000066,Showdown_Ladder,,collection,#QG8QCQQG0,꧁✰vesper✰꧂,6721,1,#Y0GPYJ80,Adulti NewBorn,16000025,Giant,12,12,Prince,9,9,Dark Prince,9,9,Zap,14,14,Electro Wizard,6,6,Mega Minion,12,12,Miner,5,6,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9929C8GGG,DK,5909,0,#2JLJCRGP,50人を目指す会,16000169,Royal Hogs,12,12,Royal Recruits,14,14,Zappies,12,12,Flying Machine,12,12,Electro Spirit,14,14,Goblin Cage,12,12,Barbarian Barrel,9,9,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual1v1,20220104T123128.000Z,,54000040,Legendary Arena,72000066,Showdown_Ladder,,collection,#QG8QCQQG0,꧁✰vesper✰꧂,6721,3,#Y0GPYJ80,Adulti NewBorn,16000025,Giant,12,12,Prince,9,9,Dark Prince,9,9,Zap,14,14,Electro Wizard,6,6,Mega Minion,12,12,Miner,5,6,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#822UYQYCJ,alejandro12,5350,0,#Q2U2G8RC,Caballeros,16000028,Zap,12,14,Prince,9,9,Electro Wizard,6,6,Baby Dragon,8,9,Goblin Gang,13,14,Fireball,11,12,Valkyrie,11,12,Tesla,13,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual1v1,20220104T122821.000Z,,54000040,Legendary Arena,72000066,Showdown_Ladder,,collection,#QG8QCQQG0,꧁✰vesper✰꧂,6721,3,#Y0GPYJ80,Adulti NewBorn,16000025,Giant,12,12,Prince,9,9,Dark Prince,9,9,Zap,14,14,Electro Wizard,6,6,Mega Minion,12,12,Miner,5,6,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PLUVVRYUP,抱抱皮克斯,5830,0,#9000YCJQ,81537阿猫,16000146,Royal Giant,14,14,Bats,14,14,Princess,6,6,Skeleton Army,9,9,Prince,9,9,Dart Goblin,12,12,Mega Knight,6,6,Goblin Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
riverRaceDuel,20220104T122426.000Z,,54000040,Legendary Arena,72000267,CW_Duel_1v1,,warDeckPick,#QG8QCQQG0,꧁✰vesper✰꧂,6721,4,#Y0GPYJ80,Adulti NewBorn,16000025,Royal Recruits,14,14,Zappies,11,12,Royal Hogs,11,12,The Log,4,6,Fireball,12,12,Electro Spirit,13,14,Flying Machine,11,12,Goblin Cage,11,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2RCPQ2G8G,東方日報,5419,0,#9Q9QCCG9,HK@KY,16000163,Goblin Barrel,9,9,Skeleton Army,8,9,Hog Rider,12,12,Mini P.E.K.K.A,12,12,Fireball,12,12,Inferno Tower,12,12,Bandit,6,6,Electro Wizard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
