type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T173608.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#QGLV09L9,MrClash,6787,1,#9QUQ8ULR,OS LENDÁRIOS✌,16000044,Bats,14,14,Graveyard,6,6,Giant Snowball,14,14,Witch,9,9,Dark Prince,9,9,Skeleton Army,9,9,Giant,12,12,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2RUL9PVPU,Néstor AZ,6790,0,#PYLP2VCV,Latinos Crew ll,16000143,P.E.K.K.A,9,9,Royal Ghost,6,6,Zap,14,14,Poison,9,9,Electro Wizard,6,6,Magic Archer,6,6,Golden Knight,4,4,Battle Ram,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T125234.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#QGLV09L9,MrClash,6815,0,#9QUQ8ULR,OS LENDÁRIOS✌,16000044,Bats,14,14,Graveyard,6,6,Giant Snowball,14,14,Witch,9,9,Dark Prince,9,9,Skeleton Army,9,9,Giant,12,12,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2Y0QL8VVJ,こむこむ,6829,1,#P8RG0YGL,Twilight story,16000032,Archer Queen,4,4,Baby Dragon,9,9,Barbarian Barrel,9,9,Graveyard,6,6,Poison,9,9,Tombstone,12,12,Tornado,9,9,Valkyrie,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T124550.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#QGLV09L9,MrClash,6787,1,#9QUQ8ULR,OS LENDÁRIOS✌,16000044,Bats,14,14,Graveyard,6,6,Giant Snowball,14,14,Witch,9,9,Dark Prince,9,9,Skeleton Army,9,9,Giant,12,12,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#UYY0LVY,marvin_502,6773,0,#P828R2G2,CRG eSports,16000162,P.E.K.K.A,9,9,Archer Queen,4,4,Zap,14,14,Battle Ram,12,12,Bandit,6,6,Royal Ghost,6,6,Fireball,12,12,Electro Wizard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T123652.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#QGLV09L9,MrClash,6756,3,#9QUQ8ULR,OS LENDÁRIOS✌,16000044,Bats,14,14,Graveyard,6,6,Giant Snowball,14,14,Witch,9,9,Dark Prince,9,9,Skeleton Army,9,9,Giant,12,12,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8L288L9,WhiteOtter934,6777,1,#Q2RLYGGR,Nova Clan,16000015,Skeletons,14,14,Fireball,12,12,Tesla,14,14,Electro Spirit,14,14,X-Bow,9,9,Archers,14,14,Knight,14,14,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T235705.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#QGLV09L9,MrClash,6784,1,#9QUQ8ULR,OS LENDÁRIOS✌,16000044,Bats,14,14,Graveyard,6,6,Giant Snowball,14,14,Witch,9,9,Dark Prince,9,9,Skeleton Army,9,9,Giant,12,12,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2GJ20UJ2,Romu CR ⭐️,6804,2,#8YLJ8UL2,Aftershock,16000011,Lumberjack,6,6,Golem,9,9,Cannon Cart,9,9,Electro Dragon,9,9,Baby Dragon,9,9,Tornado,9,9,Barbarian Barrel,9,9,Mega Minion,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T235212.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#QGLV09L9,MrClash,6757,3,#9QUQ8ULR,OS LENDÁRIOS✌,16000044,Bats,14,14,Graveyard,6,6,Giant Snowball,14,14,Witch,9,9,Dark Prince,9,9,Skeleton Army,9,9,Giant,12,12,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#V992JJ,PAFF_13,6725,1,#Y0L0R9RU,Silent Hill,16000078,Giant,12,12,Giant Snowball,14,14,Night Witch,6,6,Skeleton Army,9,9,Bowler,9,9,Graveyard,6,6,Arrows,14,14,Bats,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T234434.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#QGLV09L9,MrClash,6789,1,#9QUQ8ULR,OS LENDÁRIOS✌,16000044,Bats,14,14,Graveyard,6,6,Giant Snowball,14,14,Witch,9,9,Dark Prince,9,9,Skeleton Army,9,9,Giant,12,12,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#22Q8LLU8J,Kodigoⓒʀ,6765,2,#YGRV2CVG,Twitch Kodigo,16000040,Electro Giant,9,9,Prince,9,9,Barbarian Barrel,9,9,Archer Queen,4,4,Bomber,14,14,Tornado,9,9,Tombstone,12,12,Lightning,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T233909.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#QGLV09L9,MrClash,6765,1,#9QUQ8ULR,OS LENDÁRIOS✌,16000044,Bats,14,14,Graveyard,6,6,Giant Snowball,14,14,Witch,9,9,Dark Prince,9,9,Skeleton Army,9,9,Giant,12,12,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2U98QCRGP,SoulEaterIsBack,6701,0,#2Q0URV,PolskaTarcza,16000034,Valkyrie,12,12,Hog Rider,12,12,Tornado,9,9,Executioner,9,9,The Log,6,6,Rocket,12,12,Goblins,14,14,Ice Spirit,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T233022.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#QGLV09L9,MrClash,6733,1,#9QUQ8ULR,OS LENDÁRIOS✌,16000044,Bats,14,14,Graveyard,6,6,Giant Snowball,14,14,Witch,9,9,Dark Prince,9,9,Skeleton Army,9,9,Giant,12,12,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#VYPVRU,Mannuel™,6763,0,#8JGY0JU0,Nova I Brasil,16000058,Archer Queen,4,4,Mega Minion,12,12,Graveyard,6,6,Barbarian Barrel,9,9,Poison,9,9,Skeletons,14,14,Goblin Cage,12,12,Valkyrie,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T232554.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#QGLV09L9,MrClash,6708,2,#9QUQ8ULR,OS LENDÁRIOS✌,16000044,Bats,14,14,Graveyard,6,6,Giant Snowball,14,14,Witch,9,9,Dark Prince,9,9,Skeleton Army,9,9,Giant,12,12,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#VV9CPP8Y,❄️うちは マダラ❄️,6652,1,#PV2G9U2L,darkzero,16000109,Archer Queen,4,4,Earthquake,12,12,Royal Hogs,12,12,Goblin Cage,12,12,The Log,5,6,Skeletons,14,14,Fire Spirit,14,14,Royal Delivery,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
