type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
casual2v2,20220104T172400.000Z,,54000040,Legendary Arena,72000023,TeamVsTeamLadder,,collection,#QPG0U0909,★AB⚡ID★,6812,1,#Y9Y2PRJ0,Bangla™️,16000165,Knight,13,14,Poison,4,9,Tombstone,7,12,Baby Dragon,9,9,Graveyard,6,6,Barbarian Barrel,6,9,Tornado,9,9,Ice Wizard,5,6,#2QQUGCQJP,메렁이,,1,#PC9RY82V,0.3클3기,16000040,Princess,2,6,The Log,6,6,Goblin Barrel,8,9,Guards,7,9,Prince,7,9,Rocket,10,12,Dart Goblin,10,12,Rascals,11,14,#8JGUGR8J,Tyty,5346,0,#QYGULQ00,OP ACADEMY,16000016,Goblin Cage,8,12,Ice Spirit,12,14,Wizard,12,12,The Log,2,6,Zap,12,14,Ram Rider,5,6,Electro Wizard,3,6,Mega Knight,6,6,#8JJGGVJ09,akira,,0,#80GUQ0Y,#Diferenciados#,16000058,Goblins,12,14,Spear Goblins,12,14,Goblin Gang,12,14,Goblin Barrel,7,9,Goblin Hut,10,12,Goblin Giant,7,9,Goblin Cage,10,12,Dart Goblin,11,12
PvP,20220104T170700.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#QPG0U0909,★AB⚡ID★,6783,2,#QURULGCP,Jackpot squad™️,16000014,Bowler,9,9,Baby Dragon,9,9,Tornado,9,9,Graveyard,6,6,Inferno Dragon,6,6,Zappies,12,12,Valkyrie,12,12,Freeze,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2P0VYP90,FLRZOUK,6777,1,#LVQUJQG2,GOTAGANG,16000097,Lava Hound,6,6,Lumberjack,6,6,Clone,9,9,Baby Dragon,9,9,Skeleton Army,9,9,Flying Machine,12,12,Fireball,12,12,Bats,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T165929.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#QPG0U0909,★AB⚡ID★,6757,1,#QURULGCP,Jackpot squad™️,16000014,Bowler,9,9,Baby Dragon,9,9,Tornado,9,9,Graveyard,6,6,Inferno Dragon,6,6,Zappies,12,12,Valkyrie,12,12,Freeze,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8JQRVRP89,まさゆ,6718,0,#PLG29YRJ,Moon Light,16000032,Archer Queen,4,4,The Log,6,6,Hog Rider,11,12,Knight,14,14,Skeletons,14,14,Tesla,13,14,Fire Spirit,14,14,Earthquake,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T165405.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#QPG0U0909,★AB⚡ID★,6726,1,#QURULGCP,Jackpot squad™️,16000014,Bowler,9,9,Baby Dragon,9,9,Tornado,9,9,Graveyard,6,6,Inferno Dragon,6,6,Zappies,12,12,Valkyrie,12,12,Freeze,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8LVJCCC80,Sagun 雨果,6746,0,#P9GRQ89P,Clanpeyo,16000099,Baby Dragon,9,9,Golem,9,9,Zap,14,14,Lightning,9,9,Tornado,9,9,Night Witch,6,6,Mega Minion,12,12,Lumberjack,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T164758.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#QPG0U0909,★AB⚡ID★,6700,2,#QURULGCP,Jackpot squad™️,16000014,Bowler,9,9,Baby Dragon,9,9,Tornado,9,9,Graveyard,6,6,Inferno Dragon,6,6,Zappies,12,12,Valkyrie,12,12,Freeze,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#802VL8PCY,Trainer Daniel♠,6662,1,#CQVV2PJ,Hakuna Matata,16000044,Miner,6,6,Electro Spirit,14,14,Fireball,12,12,Archer Queen,4,4,Mortar,14,14,Dark Prince,9,9,Royal Delivery,14,14,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T164227.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#QPG0U0909,★AB⚡ID★,6671,1,#QURULGCP,Jackpot squad™️,16000014,Bowler,9,9,Baby Dragon,9,9,Tornado,9,9,Graveyard,6,6,Inferno Dragon,6,6,Zappies,12,12,Valkyrie,12,12,Freeze,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Y2GLQR0R,Saybaybay,6663,0,#PGLQ0VQ,Lost Orbit,16000096,Skeleton King,4,4,Bandit,6,6,Mega Knight,6,6,Skeleton Barrel,14,14,Miner,6,6,Zap,14,14,Inferno Dragon,6,6,Bats,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T163859.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#QPG0U0909,★AB⚡ID★,6701,0,#QURULGCP,Jackpot squad™️,16000014,Bowler,9,9,Baby Dragon,9,9,Tornado,9,9,Graveyard,6,6,Inferno Dragon,6,6,Zappies,12,12,Valkyrie,12,12,Freeze,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8CGUUVQUQ,Hector莱斯利,6691,1,#QCCLPYPL,RebelsMercenari,16000012,Royal Hogs,12,12,Archer Queen,4,4,The Log,6,6,Goblin Cage,12,12,Skeletons,14,14,Fire Spirit,14,14,Royal Delivery,14,14,Earthquake,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T163531.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#QPG0U0909,★AB⚡ID★,6730,1,#QURULGCP,Jackpot squad™️,16000014,Bowler,9,9,Baby Dragon,9,9,Tornado,9,9,Graveyard,6,6,Inferno Dragon,6,6,Zappies,12,12,Valkyrie,12,12,Freeze,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2GYUYLJ2U,¥Oski¥ -*_*-,6734,2,#20JCJU,Polish Outlaws,16000026,Inferno Dragon,6,6,Balloon,9,9,Arrows,14,14,Miner,6,6,Lava Hound,6,6,Guards,9,9,Fireball,12,12,Skeleton Dragons,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T163119.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#QPG0U0909,★AB⚡ID★,6703,1,#QURULGCP,Jackpot squad™️,16000014,Bowler,9,9,Baby Dragon,9,9,Tornado,9,9,Graveyard,6,6,Inferno Dragon,6,6,Zappies,12,12,Valkyrie,12,12,Freeze,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Y08JQYLYV,春天的女巫ᴳˢ,6678,0,#PQV0VP0,天地炎黄,16000000,Knight,14,14,Ice Spirit,14,14,Skeletons,14,14,Archers,14,14,The Log,6,6,Tornado,8,9,Mortar,14,14,Rocket,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T162623.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#QPG0U0909,★AB⚡ID★,6677,1,#QURULGCP,Jackpot squad™️,16000014,Bowler,9,9,Baby Dragon,9,9,Tornado,9,9,Graveyard,6,6,Inferno Dragon,6,6,Zappies,12,12,Valkyrie,12,12,Freeze,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YRGJQ82Y,Captain Cookie,6642,0,#QC8R0888,Fierce Force,16000002,Electro Giant,9,9,Prince,9,9,Tornado,8,9,Earthquake,12,12,Skeletons,14,14,Archer Queen,4,4,Tombstone,12,12,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
