type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T181125.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#QPR2LQ02,Colin✨,7027,2,#QJ29QJGY,Legends Gang™,16000098,Electro Giant,9,9,Earthquake,12,12,Tombstone,12,12,Archer Queen,4,4,Skeletons,14,14,Bomber,14,14,Tornado,9,9,Prince,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PLCCQ2GRR,LDN✨Paulo™✌️,6978,1,#PCQPGP9G,B49☆CŘ,16000058,Giant,12,12,Bowler,9,9,Graveyard,6,6,Bats,14,14,Skeleton Army,9,9,Night Witch,6,6,Arrows,14,14,Giant Snowball,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T175336.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#QPR2LQ02,Colin✨,7066,0,#QJ29QJGY,Legends Gang™,16000098,Electro Giant,9,9,Earthquake,12,12,Tombstone,12,12,Archer Queen,4,4,Skeletons,14,14,Bomber,14,14,Tornado,9,9,Prince,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#G9YV9GR8R,Mohamed Light,6952,1,,,,Archer Queen,4,4,Magic Archer,6,6,Battle Ram,12,12,Barbarian Barrel,9,9,Heal Spirit,12,12,Elite Barbarians,14,14,Bandit,6,6,Royal Ghost,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T174521.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#QPR2LQ02,Colin✨,7096,0,#QJ29QJGY,Legends Gang™,16000098,Electro Giant,9,9,Earthquake,12,12,Tombstone,12,12,Archer Queen,4,4,Skeletons,14,14,Bomber,14,14,Tornado,9,9,Prince,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2JQJL2PU,Infinity Mukul,7096,3,#8UL8V0Q0,CLASHwithINDIAN,16000059,Lava Hound,6,6,Mega Minion,12,12,Tombstone,12,12,Barbarians,14,14,Lightning,9,9,Zap,14,14,Skeleton Dragons,14,14,Balloon,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual2v2,20220104T173840.000Z,,54000040,Legendary Arena,72000023,TeamVsTeamLadder,,collection,#CC90RU,Mr.Diaz’s dad,5981,0,#PYRVG0YU,Harbor Kingdom,16000013,Hog Rider,9,12,Firecracker,9,14,Royal Delivery,12,14,Rascals,9,14,Earthquake,8,12,Freeze,6,9,The Log,5,6,Mini P.E.K.K.A,11,12,#QPR2LQ02,Colin✨,,0,#PYRVG0YU,Harbor Kingdom,16000013,Electro Giant,9,9,Earthquake,12,12,Tombstone,12,12,Archer Queen,4,4,Skeletons,14,14,Bomber,14,14,Tornado,9,9,Prince,9,9,#2LRQCJY0J,cvita1009 on ig,5450,3,#YQCJV8CV,Croatian Union,16000009,Balloon,9,9,Giant,9,12,Arrows,14,14,Bowler,9,9,The Log,5,6,Princess,5,6,Skeleton Army,8,9,Rage,6,9,#QLPQY2V2,rob gamer,,3,#YQCJV8CV,Croatian Union,16000009,The Log,2,6,Fireball,11,12,Mega Knight,3,6,Lightning,5,9,Freeze,6,9,Arrows,13,14,Hog Rider,12,12,Electro Wizard,4,6
PvP,20220104T172711.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#QPR2LQ02,Colin✨,7074,1,#PYRVG0YU,Harbor Kingdom,16000013,Electro Giant,9,9,Earthquake,12,12,Tombstone,12,12,Archer Queen,4,4,Skeletons,14,14,Bomber,14,14,Tornado,9,9,Prince,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2YJ09Y2JL,TRB Miniminter,6984,0,,,,Archer Queen,4,4,The Log,6,6,Hog Rider,12,12,Knight,14,14,Skeletons,14,14,Bomb Tower,12,12,Fire Spirit,14,14,Earthquake,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T172104.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#QPR2LQ02,Colin✨,7055,2,#PYRVG0YU,Harbor Kingdom,16000013,Electro Giant,9,9,Earthquake,12,12,Tombstone,12,12,Archer Queen,4,4,Skeletons,14,14,Bomber,14,14,Tornado,9,9,Prince,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#29C8YJRUP,ayoub Darken,6933,1,#QG9RL,maroc,16000146,Giant,12,12,Giant Snowball,14,14,Skeleton Army,9,9,Minions,14,14,Graveyard,6,6,Musketeer,12,12,Arrows,14,14,Dark Prince,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T171253.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#QPR2LQ02,Colin✨,7035,1,#PYRVG0YU,Harbor Kingdom,16000013,Electro Giant,9,9,Earthquake,12,12,Tombstone,12,12,Archer Queen,4,4,Skeletons,14,14,Bomber,14,14,Tornado,9,9,Prince,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PRYLGLRQU,LWJ,6927,0,#LRC29YY0,BetaGo,16000014,Zap,14,14,Fireball,12,12,Minions,14,14,Battle Ram,12,12,Royal Ghost,6,6,Bandit,6,6,Electro Wizard,6,6,P.E.K.K.A,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T170027.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#QPR2LQ02,Colin✨,7005,3,#PYRVG0YU,Harbor Kingdom,16000013,Electro Giant,9,9,Earthquake,12,12,Tombstone,12,12,Archer Queen,4,4,Skeletons,14,14,Bomber,14,14,Tornado,9,9,Prince,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#998RUJRLR,☠⚡⚔ivan_rial⚔⚡☠,7014,1,#LR0CU9PP,Tw@ivanrial44,16000103,Zap,14,14,Magic Archer,6,6,Royal Hogs,12,12,Dark Prince,9,9,Barbarian Barrel,9,9,Archer Queen,4,4,Bandit,6,6,Barbarians,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T165450.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#QPR2LQ02,Colin✨,7037,0,#PYRVG0YU,Harbor Kingdom,16000013,Electro Giant,9,9,Earthquake,12,12,Tombstone,12,12,Archer Queen,4,4,Skeletons,14,14,Bomber,14,14,Tornado,9,9,Prince,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2QQQJCP9V,Εκατία κυανός,7012,1,#QRQP89YQ,Jisooinyourarea,16000111,Lava Hound,6,6,Baby Dragon,9,9,Lumberjack,6,6,Fireball,12,12,Flying Machine,12,12,Clone,9,9,Bats,14,14,Skeleton Army,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T165021.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#QPR2LQ02,Colin✨,7015,1,#PYRVG0YU,Harbor Kingdom,16000013,Electro Giant,9,9,Earthquake,12,12,Tombstone,12,12,Archer Queen,4,4,Skeletons,14,14,Bomber,14,14,Tornado,9,9,Prince,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2L0888PVY,Kid DINAMITE,6931,0,#Y0UVJR8P,Elite⚡Skills™,16000123,Baby Dragon,9,9,Barbarian Hut,12,12,Electro Dragon,9,9,Fireball,12,12,Battle Healer,12,12,Elixir Golem,12,12,Tornado,9,9,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
