type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T154858.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#QRU0V0GQ,✨Matze-Rocket✨,6795,1,#QLQCUPUL,Deadly Warfare,16000179,Golem,9,9,Night Witch,6,6,Dark Prince,9,9,Lightning,9,9,Baby Dragon,9,9,Ice Wizard,6,6,Tornado,9,9,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#RVC9Q9U,Legend✞Kennielシ,6807,0,#LGY8JQ0Y,Tw@LegendKencr,16000050,Knight,14,14,X-Bow,9,9,Tesla,14,14,Rocket,12,12,Ice Wizard,6,6,Skeletons,14,14,Tornado,8,9,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T153539.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#QRU0V0GQ,✨Matze-Rocket✨,6767,1,#QLQCUPUL,Deadly Warfare,16000179,Golem,9,9,Night Witch,6,6,Dark Prince,9,9,Lightning,9,9,Baby Dragon,9,9,Ice Wizard,6,6,Tornado,9,9,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2P2LRGYQQ,Slash Gaming,6755,0,,,,Earthquake,12,12,Archer Queen,4,4,Royal Hogs,12,12,The Log,6,6,Royal Delivery,14,14,Skeletons,14,14,Fire Spirit,14,14,Goblin Cage,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T152117.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#QRU0V0GQ,✨Matze-Rocket✨,6738,1,#QLQCUPUL,Deadly Warfare,16000179,Golem,9,9,Night Witch,6,6,Dark Prince,9,9,Lightning,9,9,Baby Dragon,9,9,Ice Wizard,6,6,Tornado,9,9,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#28JL2LJC,AnDrYFuLLbUsTeR,6736,0,#LVYJJJ0R,TWITCH/CR_KASSS,16000000,Royal Giant,14,14,Fisherman,6,6,Electro Wizard,6,6,Mega Minion,12,12,Skeletons,14,14,Dark Prince,9,9,Fireball,12,12,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T150511.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#QRU0V0GQ,✨Matze-Rocket✨,6706,1,#LGL0UU00,Nicht schlafen,16000096,Golem,9,9,Night Witch,6,6,Dark Prince,9,9,Lightning,9,9,Baby Dragon,9,9,Ice Wizard,6,6,Tornado,9,9,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#20R029UL,Akemi 好多,6738,0,,,,Knight,14,14,Archers,14,14,Skeletons,13,14,Fireball,12,12,X-Bow,9,9,Tesla,14,14,Electro Spirit,14,14,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T145840.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#QRU0V0GQ,✨Matze-Rocket✨,6734,0,#LGL0UU00,Nicht schlafen,16000096,Golem,9,9,Night Witch,6,6,Dark Prince,9,9,Lightning,9,9,Baby Dragon,9,9,Ice Wizard,6,6,Tornado,9,9,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#22UCVJCC9,Suriel,6747,1,#9PV2VGVY,Robert's Army™,16000029,Electro Spirit,14,14,Flying Machine,12,12,Fireball,12,12,Royal Recruits,14,14,Zappies,12,12,Goblin Cage,12,12,Royal Hogs,12,12,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T145356.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#QRU0V0GQ,✨Matze-Rocket✨,6734,0,#LGL0UU00,Nicht schlafen,16000110,Golem,9,9,Night Witch,6,6,Dark Prince,9,9,Lightning,9,9,Baby Dragon,9,9,Ice Wizard,6,6,Tornado,9,9,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YC9JV20C2,ＭＥＧＡ❤️ＳＯＨＥＩＬ,6785,0,#G0C2CC8C,YT=SOHEIL CR,16000117,Mega Knight,6,6,Inferno Dragon,6,6,Bats,14,14,Spear Goblins,14,14,Miner,6,6,Goblin Gang,14,14,Skeleton Barrel,14,14,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T144409.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#QRU0V0GQ,✨Matze-Rocket✨,6704,3,#LGL0UU00,Nicht schlafen,16000110,Golem,9,9,Night Witch,6,6,Dark Prince,9,9,Lightning,9,9,Baby Dragon,9,9,Ice Wizard,6,6,Tornado,9,9,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#QJ9PQPGGG,⚡Vladan⚡™,6712,1,#L2V8C2UY,Državni posao,16000104,Balloon,9,9,Giant Snowball,14,14,Bats,14,14,Heal Spirit,12,12,Ice Golem,12,12,Lumberjack,6,6,Archer Queen,4,4,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T022600.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,0,eventDeck,#QRU0V0GQ,✨Matze-Rocket✨,6704,1,#QLQCUPUL,Deadly Warfare,16000179,Ram Rider,3,6,Ice Wizard,3,6,Night Witch,3,6,Golem,6,9,Lightning,6,9,Baby Dragon,6,9,Barbarian Barrel,6,9,Tornado,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#JPPUPY8U,MOZINOR,5187,0,#29VQCJJQ,wins...PERFECT!,16000078,Ram Rider,3,6,Fireball,9,12,Skeleton Army,6,9,Elite Barbarians,11,14,Executioner,6,9,Tornado,6,9,Electro Wizard,3,6,The Log,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T011440.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#QRU0V0GQ,✨Matze-Rocket✨,6672,1,#QLQCUPUL,Deadly Warfare,16000179,Golem,9,9,Night Witch,6,6,Dark Prince,9,9,Lightning,9,9,Baby Dragon,9,9,Ice Wizard,6,6,Tornado,9,9,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8YRJULRCR,Kauã ♥️X-Bow,6698,0,#YPL0CYUP,ELZ1 eSports,16000122,Giant,12,12,Prince,9,9,Mega Minion,12,12,Fireball,12,12,Miner,6,6,Dark Prince,9,9,Electro Wizard,6,6,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T011111.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#QRU0V0GQ,✨Matze-Rocket✨,6646,1,#QLQCUPUL,Deadly Warfare,16000179,Golem,9,9,Night Witch,6,6,Dark Prince,9,9,Lightning,9,9,Baby Dragon,9,9,Ice Wizard,6,6,Tornado,9,9,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PQ0Q28U,NatLaPatate,6609,0,#LVQUJQG2,GOTAGANG,16000097,Barbarians,14,14,Hog Rider,12,12,Electro Spirit,14,14,Prince,9,9,Freeze,9,9,Minion Horde,14,14,Princess,6,6,Giant Snowball,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
