type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
clanMate,20220104T153901.000Z,,54000017,Master III,72000007,Friendly,,collection,#QV8V2,Log❤️Princess,6888,0,#YGL9PU80,Troops Of War,16000161,Inferno Tower,9,12,Goblin Barrel,6,9,Rocket,9,12,Knight,11,14,Goblin Gang,11,14,The Log,3,6,Princess,3,6,Ice Spirit,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PJGGRCPC2,Ryley39,6600,1,#YGL9PU80,Troops Of War,16000161,Goblin Barrel,6,9,Inferno Tower,9,12,Goblin Gang,11,14,Ice Spirit,11,14,Rocket,9,12,Knight,11,14,The Log,3,6,Princess,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T141458.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#QV8V2,Log❤️Princess,6864,1,#YGL9PU80,Troops Of War,16000161,Inferno Tower,12,12,Goblin Barrel,9,9,Rocket,12,12,Knight,14,14,Goblin Gang,14,14,The Log,6,6,Princess,6,6,Ice Spirit,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9RJGC8LL9,芝っち,6796,0,#8QP9RCUC,Selene Vert,16000031,Miner,6,6,Balloon,9,9,Cannon,14,14,Valkyrie,12,12,Executioner,9,9,Tornado,8,9,Zap,14,14,Skeletons,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T140800.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#QV8V2,Log❤️Princess,6839,1,#YGL9PU80,Troops Of War,16000161,Inferno Tower,12,12,Goblin Barrel,9,9,Rocket,12,12,Knight,14,14,Goblin Gang,14,14,The Log,6,6,Princess,6,6,Ice Spirit,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#QPG0U0909,★AB⚡ID★,6784,0,#QURULGCP,Jackpot squad™️,16000014,Bowler,9,9,Baby Dragon,9,9,Tornado,9,9,Graveyard,6,6,Inferno Dragon,6,6,Zappies,12,12,Valkyrie,12,12,Freeze,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T140306.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#QV8V2,Log❤️Princess,6869,0,#YGL9PU80,Troops Of War,16000161,Inferno Tower,12,12,Goblin Barrel,9,9,Rocket,12,12,Knight,14,14,Goblin Gang,14,14,The Log,6,6,Princess,6,6,Ice Spirit,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LCUJ2ULP,aboo,6864,1,#PPJPQLRP,Ir Wolves☆☆,16000107,Graveyard,6,6,Elite Barbarians,14,14,Archer Queen,4,4,Giant,12,12,Skeleton Army,9,9,Arrows,14,14,Giant Snowball,14,14,Bats,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T135818.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#QV8V2,Log❤️Princess,6845,1,#YGL9PU80,Troops Of War,16000161,Inferno Tower,12,12,Goblin Barrel,9,9,Rocket,12,12,Knight,14,14,Goblin Gang,14,14,The Log,6,6,Princess,6,6,Ice Spirit,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2JRJGJJUC,NO NAME,6775,0,#PQQR9PG9,Masne Bržole,16000122,Balloon,9,9,Skeleton Barrel,14,14,Knight,14,14,Archers,14,14,The Log,6,6,Giant Snowball,14,14,Royal Delivery,14,14,Inferno Tower,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T135314.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#QV8V2,Log❤️Princess,6818,3,#YGL9PU80,Troops Of War,16000161,Inferno Tower,12,12,Goblin Barrel,9,9,Rocket,12,12,Knight,14,14,Goblin Gang,14,14,The Log,6,6,Princess,6,6,Ice Spirit,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LR2JYY0L,moustafa,6793,0,#P8G8098G,clashing,16000167,Graveyard,6,6,Freeze,9,9,Valkyrie,12,12,Bats,14,14,Knight,14,14,Wizard,12,12,Skeleton Army,9,9,Wall Breakers,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T134850.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#QV8V2,Log❤️Princess,6788,1,#YGL9PU80,Troops Of War,16000161,Inferno Tower,12,12,Goblin Barrel,9,9,Rocket,12,12,Knight,14,14,Goblin Gang,14,14,The Log,6,6,Princess,6,6,Ice Spirit,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2JQJL2PU,Infinity Mukul,6798,0,#8UL8V0Q0,CLASHwithINDIAN,16000059,Lava Hound,6,6,Mega Minion,12,12,Tombstone,12,12,Barbarians,14,14,Lightning,9,9,Zap,14,14,Skeleton Dragons,14,14,Balloon,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T134420.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#QV8V2,Log❤️Princess,6821,0,#YGL9PU80,Troops Of War,16000161,Inferno Tower,12,12,Goblin Barrel,9,9,Rocket,12,12,Knight,14,14,Goblin Gang,14,14,The Log,6,6,Princess,6,6,Ice Spirit,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PQVQ29JJ,темыч,6775,1,#Q82P2JCJ,Community,16000169,Graveyard,6,6,Poison,9,9,Mega Minion,12,12,Barbarian Barrel,9,9,Tombstone,12,12,Knight,14,14,Baby Dragon,9,9,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T133833.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#QV8V2,Log❤️Princess,6797,1,#YGL9PU80,Troops Of War,16000161,Inferno Tower,12,12,Goblin Barrel,9,9,Rocket,12,12,Knight,14,14,Goblin Gang,14,14,The Log,6,6,Princess,6,6,Ice Spirit,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Y2R2LP8UR,开心果~,6738,0,#R2GUP0,赤尾TRT,16000117,Royal Ghost,6,6,P.E.K.K.A,9,9,Electro Wizard,6,6,Fireball,12,12,Zap,14,14,Magic Archer,6,6,Battle Ram,12,12,Bandit,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T133129.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#QV8V2,Log❤️Princess,6767,2,#YGL9PU80,Troops Of War,16000161,Inferno Tower,12,12,Goblin Barrel,9,9,Rocket,12,12,Knight,14,14,Goblin Gang,14,14,The Log,6,6,Princess,6,6,Ice Spirit,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#22JU9UJP8,Eu Zen,6775,1,,,,Mega Knight,6,6,Goblin Barrel,9,9,Arrows,13,14,Prince,9,9,Princess,5,6,Skeleton Army,9,9,Bats,14,14,Dart Goblin,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
