type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T172849.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#R2CVG09Y,Jelle,6748,1,#YGL9PU80,Troops Of War,16000161,Electro Spirit,14,14,Guards,9,9,Valkyrie,12,12,Tesla,14,14,Goblin Barrel,9,9,Rocket,12,12,The Log,6,6,Princess,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#22PYGQRC,✨Luis YP✨,6750,0,#8R0VRQPU,CR Dream Team,16000004,Rocket,12,12,Bandit,6,6,Dark Prince,9,9,Cannon Cart,9,9,Giant Snowball,14,14,Rascals,14,14,Goblin Barrel,9,9,Princess,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T172238.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#R2CVG09Y,Jelle,6719,1,#YGL9PU80,Troops Of War,16000161,Electro Spirit,14,14,Guards,9,9,Valkyrie,12,12,Tesla,14,14,Goblin Barrel,9,9,Rocket,12,12,The Log,6,6,Princess,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#P89G89P08,Giraffe,6716,0,#9VGJLJUQ,BBESTIEROYALE,16000169,Mega Knight,6,6,Ram Rider,6,6,Archer Queen,4,4,Inferno Dragon,6,6,Bandit,6,6,Giant Snowball,14,14,Barbarian Barrel,9,9,Poison,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T171745.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#R2CVG09Y,Jelle,6687,1,#YGL9PU80,Troops Of War,16000161,Electro Spirit,14,14,Guards,9,9,Valkyrie,12,12,Tesla,14,14,Goblin Barrel,9,9,Rocket,12,12,The Log,6,6,Princess,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8CGQPUVV,SVG⚡JirenGOD™️,6719,0,#QYYYLC0L,reencarnación,16000059,Giant,12,12,Mini P.E.K.K.A,12,12,Skeleton Army,9,9,Giant Snowball,14,14,Graveyard,6,6,Musketeer,12,12,Bats,14,14,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T171240.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#R2CVG09Y,Jelle,6713,0,#YGL9PU80,Troops Of War,16000161,Electro Spirit,14,14,Guards,9,9,Valkyrie,12,12,Tesla,14,14,Goblin Barrel,9,9,Rocket,12,12,The Log,6,6,Princess,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#QGVRR80,MŰŠŤĀFĂ ₩₩ ĶĮŇĞ,6748,1,#8YLJ8UL2,Aftershock,16000011,Graveyard,6,6,Goblin Gang,14,14,Mega Minion,12,12,Arrows,14,14,Musketeer,12,12,Bowler,9,9,Valkyrie,12,12,Freeze,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T170806.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#R2CVG09Y,Jelle,6745,0,#YGL9PU80,Troops Of War,16000161,Electro Spirit,14,14,Guards,9,9,Valkyrie,12,12,Tesla,14,14,Goblin Barrel,9,9,Rocket,12,12,The Log,6,6,Princess,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#P80L2PLJ,小k,6714,1,#9QGQQGPU,疯人院,16000028,Knight,14,14,Hog Rider,12,12,Archer Queen,4,4,Bomb Tower,12,12,Skeletons,14,14,Fire Spirit,14,14,Earthquake,12,12,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T170241.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#R2CVG09Y,Jelle,6720,1,#YGL9PU80,Troops Of War,16000161,Electro Spirit,14,14,Guards,9,9,Valkyrie,12,12,Tesla,14,14,Goblin Barrel,9,9,Rocket,12,12,The Log,6,6,Princess,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#QV2RRGYP,Nova | Matte,6672,0,#QCJY0GVV,MILK and HONEY,16000132,Dart Goblin,12,12,Mortar,14,14,Miner,6,6,The Log,6,6,Rascals,14,14,Guards,9,9,Bats,13,14,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T165736.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#R2CVG09Y,Jelle,6693,1,#YGL9PU80,Troops Of War,16000161,Electro Spirit,14,14,Guards,9,9,Valkyrie,12,12,Tesla,14,14,Goblin Barrel,9,9,Rocket,12,12,The Log,6,6,Princess,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8YU0GRUP,CMC Werderfan™,6660,0,#QJ29QJGY,Legends Gang™,16000098,Electro Giant,9,9,Dark Prince,9,9,Tornado,9,9,Lightning,9,9,Goblin Cage,12,12,Archer Queen,4,4,Barbarian Barrel,9,9,Bomber,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T165234.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#R2CVG09Y,Jelle,6664,1,#YGL9PU80,Troops Of War,16000161,Electro Spirit,14,14,Guards,9,9,Valkyrie,12,12,Tesla,14,14,Goblin Barrel,9,9,Rocket,12,12,The Log,6,6,Princess,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8L8PU2V,永遠DARKX✨,6660,0,#Q02Y0C0Y,Stormy Night™️,16000122,Giant,12,12,Skeleton Army,9,9,Bowler,9,9,Graveyard,6,6,Arrows,14,14,Archer Queen,4,4,Bats,14,14,Giant Snowball,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T164911.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#R2CVG09Y,Jelle,6697,0,#YGL9PU80,Troops Of War,16000161,Electro Spirit,14,14,Guards,9,9,Valkyrie,12,12,Tesla,14,14,Goblin Barrel,9,9,Rocket,12,12,The Log,6,6,Princess,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9L980QPC8,andreych,6657,1,#P0YJCG00,Brasil Royale,16000058,Mega Knight,6,6,Arrows,14,14,Electro Wizard,6,6,Musketeer,12,12,Goblin Cage,12,12,Bandit,6,6,Dark Prince,9,9,Hog Rider,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T164542.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#R2CVG09Y,Jelle,6667,1,#YGL9PU80,Troops Of War,16000161,Electro Spirit,14,14,Guards,9,9,Valkyrie,12,12,Tesla,14,14,Goblin Barrel,9,9,Rocket,12,12,The Log,6,6,Princess,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Y20YQLYV,herthaChris,6668,0,#LG92GCP8,wka2a,16000080,Golden Knight,4,4,Battle Ram,12,12,Heal Spirit,12,12,Magic Archer,6,6,Electro Wizard,6,6,Bandit,6,6,Royal Ghost,6,6,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
