type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
casual2v2,20220104T130057.000Z,,54000040,Legendary Arena,72000023,TeamVsTeamLadder,,collection,#902QGPVLY,na-atp511,6144,0,#L9CV8Q9V,TOP KSA™️✨,16000032,Giant,12,12,Graveyard,6,6,Skeleton Army,9,9,Bats,14,14,Archer Queen,3,4,Dark Prince,9,9,Arrows,14,14,Giant Snowball,13,14,#R828URC8,جين,,0,#L9CV8Q9V,TOP KSA™️✨,16000032,Rascals,14,14,Prince,9,9,Dart Goblin,12,12,Princess,6,6,Dark Prince,9,9,Goblin Barrel,9,9,Rocket,12,12,The Log,6,6,#9JV80R9LL,CURRY,5651,3,#2PJ9Q9PP,MARVLE,16000127,Dark Prince,9,9,Mini P.E.K.K.A,12,12,Goblin Barrel,9,9,Goblin Gang,14,14,Tesla,14,14,Princess,5,6,The Log,5,6,Rocket,12,12,#P2VLR8YYC,Ghost Rider,,3,#QLV29ULU,Hannover,16000080,Dart Goblin,12,12,Goblin Gang,14,14,Goblin Barrel,9,9,The Log,6,6,Prince,9,9,Princess,6,6,Rascals,14,14,Fireball,12,12
riverRacePvP,20220104T115228.000Z,,54000040,Legendary Arena,72000062,TripleElixir_Ladder,,collection,#R828URC8,جين,6815,1,#L9CV8Q9V,TOP KSA™️✨,16000032,P.E.K.K.A,8,9,Elite Barbarians,13,14,Dart Goblin,12,12,The Log,6,6,Royal Delivery,14,14,Prince,9,9,Cannon,13,14,Rascals,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9J09QUCY,hinson,5726,0,#Y989RPYG,明月天山,16000144,Poison,8,9,Electro Wizard,5,6,Goblin Hut,11,12,Arrows,14,14,Flying Machine,12,12,Ram Rider,6,6,Bowler,8,9,The Log,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
riverRacePvP,20220104T114846.000Z,,54000040,Legendary Arena,72000062,TripleElixir_Ladder,,collection,#R828URC8,جين,6815,1,#L9CV8Q9V,TOP KSA™️✨,16000032,Rocket,12,12,Night Witch,5,6,Mini P.E.K.K.A,11,12,Golem,8,9,Skeletons,14,14,Arrows,13,14,Fire Spirit,14,14,Wizard,11,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#822PGR8PJ,Gabriel,5844,0,#2G02VP8U,FOGO NA PEKKA,16000101,Prince,8,9,Valkyrie,11,12,Arrows,13,14,Witch,8,9,Dark Prince,8,9,Wizard,11,12,Lightning,9,9,Balloon,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
riverRacePvP,20220104T114431.000Z,,54000040,Legendary Arena,72000062,TripleElixir_Ladder,,collection,#R828URC8,جين,6815,2,#L9CV8Q9V,TOP KSA™️✨,16000032,Balloon,8,9,Lava Hound,5,6,Miner,6,6,Lightning,8,9,Valkyrie,11,12,Barbarians,13,14,Skeleton Barrel,13,14,Skeleton Dragons,13,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#R0GCVR9,Morgan,5750,3,#CGYYJ9,"""GET BUCKET""",16000149,Electro Giant,9,9,Witch,8,9,Tornado,8,9,Fireball,12,12,Bowler,8,9,Rage,8,9,Archers,13,14,Barbarian Barrel,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T104529.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#R828URC8,جين,6788,3,#L9CV8Q9V,TOP KSA™️✨,16000032,Rascals,14,14,Prince,9,9,Dart Goblin,12,12,Princess,6,6,Dark Prince,9,9,Goblin Barrel,9,9,Rocket,12,12,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8YRYLQVJQ,RF❄Timmy,6763,0,#9PYU0ULU,4ZOGmbH,16000142,Elixir Golem,12,12,Battle Healer,12,12,Inferno Dragon,6,6,Heal Spirit,12,12,Electro Dragon,9,9,Elite Barbarians,14,14,Rage,9,9,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T104249.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#R828URC8,جين,6758,1,#L9CV8Q9V,TOP KSA™️✨,16000032,Rascals,14,14,Prince,9,9,Dart Goblin,12,12,Princess,6,6,Dark Prince,9,9,Goblin Barrel,9,9,Rocket,12,12,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#QP8GC0LV,hicham,6764,0,#JUGLL8,FC GROOTEGAST,16000098,Lightning,9,9,Mega Minion,12,12,Mother Witch,6,6,Barbarian Barrel,9,9,Electro Spirit,14,14,Dark Prince,9,9,Royal Giant,14,14,Fisherman,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T103126.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#R828URC8,جين,6726,1,#L9CV8Q9V,TOP KSA™️✨,16000032,Rascals,14,14,Prince,9,9,Dart Goblin,12,12,Princess,6,6,Dark Prince,9,9,Goblin Barrel,9,9,Rocket,12,12,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2GYJCPQ8G,Touhou | 紺珠 純狐,6755,0,#LGQJGVC2,回放,16000075,Mega Knight,6,6,Royal Giant,14,14,Prince,9,9,Bats,14,14,Dart Goblin,12,12,Princess,6,6,Skeleton Army,9,9,Goblin Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T102425.000Z,65000001,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,11,eventDeck,#R828URC8,جين,6726,1,#L9CV8Q9V,TOP KSA™️✨,16000032,Ram Rider,3,6,Giant Snowball,11,14,Archer Queen,1,4,Lightning,6,9,Bandit,3,6,Royal Ghost,3,6,Mega Knight,3,6,Electro Spirit,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#GC8VCYU92,Gungo der Affe,5021,0,,,,Skeletons,11,14,Princess,3,6,Valkyrie,9,12,Tesla,11,14,The Log,3,6,Goblin Barrel,6,9,Dart Goblin,9,12,Skeleton Barrel,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T102102.000Z,65000001,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,11,eventDeck,#R828URC8,جين,6726,1,#L9CV8Q9V,TOP KSA™️✨,16000032,Ram Rider,3,6,Giant Snowball,11,14,Archer Queen,1,4,Lightning,6,9,Bandit,3,6,Royal Ghost,3,6,Mega Knight,3,6,Electro Spirit,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PVPUCLQV2,云香肉丝,6120,2,#LQ02V289,✨枫之恋✨,16000034,Night Witch,3,6,Golem,6,9,Mini P.E.K.K.A,9,12,Tornado,6,9,Mega Minion,9,12,Bomber,11,14,Baby Dragon,6,9,Lightning,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T101024.000Z,65000001,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,10,eventDeck,#R828URC8,جين,6726,2,#L9CV8Q9V,TOP KSA™️✨,16000032,Ram Rider,3,6,Giant Snowball,11,14,Archer Queen,1,4,Lightning,6,9,Bandit,3,6,Royal Ghost,3,6,Mega Knight,3,6,Electro Spirit,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#882UY8GR0,<c5>MOUTAZ,6305,1,#29G8VL,Aleppo,16000029,Skeleton Dragons,11,14,Zap,11,14,Fireball,9,12,Barbarians,11,14,Balloon,6,9,Tombstone,9,12,Lava Hound,3,6,Mega Minion,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
