type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T130009.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#R9J8PL,J. Alphonse War,6719,1,#LVRQRV8C,Quartz™️,16000159,The Log,6,6,Dark Prince,9,9,Fisherman,6,6,Royal Hogs,12,12,Royal Recruits,14,14,Fireball,12,12,Hunter,9,9,Magic Archer,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#QV2PYL,WoToP,6707,0,#LVQUJQG2,GOTAGANG,16000097,Ram Rider,6,6,Flying Machine,12,12,Goblin Cage,12,12,Fireball,12,12,Royal Recruits,14,14,Zappies,12,12,Electro Spirit,14,14,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T120836.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#R9J8PL,J. Alphonse War,6692,1,#LVRQRV8C,Quartz™️,16000159,The Log,6,6,Dark Prince,9,9,Fisherman,6,6,Royal Hogs,12,12,Royal Recruits,14,14,Fireball,12,12,Hunter,9,9,Magic Archer,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8JP80GPRU,しょうちゃん,6668,0,#8V22GQ9,TEAM 33,16000038,Knight,14,14,Barbarian Barrel,9,9,Baby Dragon,9,9,Ice Wizard,6,6,Graveyard,6,6,Poison,9,9,Tornado,9,9,Tombstone,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T115557.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#R9J8PL,J. Alphonse War,6664,1,#LVRQRV8C,Quartz™️,16000159,The Log,6,6,Dark Prince,9,9,Fisherman,6,6,Royal Hogs,12,12,Royal Recruits,14,14,Fireball,12,12,Hunter,9,9,Magic Archer,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2928YP0GQ,Lito⚡,6648,0,#Y8JG8RGU,SandStorm Top™️,16000097,Witch,9,9,Fireball,12,12,Graveyard,6,6,Inferno Dragon,6,6,Skeleton Army,9,9,Skeleton King,4,4,Arrows,14,14,Bowler,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T115245.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#R9J8PL,J. Alphonse War,6691,0,#LVRQRV8C,Quartz™️,16000159,The Log,6,6,Dark Prince,9,9,Fisherman,6,6,Royal Hogs,12,12,Royal Recruits,14,14,Fireball,12,12,Hunter,9,9,Magic Archer,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#U028CLRQ,捷哥,6720,1,#QYRCRJJ,不落星辰,16000168,Archer Queen,4,4,Skeletons,14,14,Tesla,14,14,Fireball,12,12,Electro Spirit,14,14,Valkyrie,12,12,X-Bow,9,9,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T031608.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#R9J8PL,J. Alphonse War,6665,1,#LVRQRV8C,Quartz™️,16000159,The Log,6,6,Dark Prince,9,9,Fisherman,6,6,Royal Hogs,12,12,Royal Recruits,14,14,Fireball,12,12,Hunter,9,9,Magic Archer,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#882QVR98P,Gloria,6624,0,#2PQGVRU9,襲撃のダイナマイト,16000176,Balloon,9,9,Lumberjack,6,6,Princess,6,6,Barbarian Barrel,9,9,Giant Snowball,14,14,Electro Spirit,14,14,Bats,14,14,Skeletons,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T031058.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#R9J8PL,J. Alphonse War,6638,2,#LVRQRV8C,Quartz™️,16000159,The Log,6,6,Dark Prince,9,9,Fisherman,6,6,Royal Hogs,12,12,Royal Recruits,14,14,Fireball,12,12,Hunter,9,9,Magic Archer,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#988JQ9LCP,63194,6607,1,#LQVYY00V,めーぷる軍団,16000076,Giant Skeleton,9,9,Balloon,9,9,Hunter,9,9,Miner,6,6,Bats,14,14,Royal Delivery,14,14,Giant Snowball,14,14,Skeleton Army,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T025447.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#R9J8PL,J. Alphonse War,6603,1,#LVRQRV8C,Quartz™️,16000159,The Log,6,6,Dark Prince,9,9,Fisherman,6,6,Royal Hogs,12,12,Royal Recruits,14,14,Fireball,12,12,Hunter,9,9,Magic Archer,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2QPGR0CV8,⚡️PS Rony,6665,0,#PV0V98LC,⚡PERÚ SQUAD⚡,16000177,Mega Knight,6,6,Dark Prince,9,9,Bandit,6,6,Inferno Dragon,6,6,Goblin Drill,9,9,Electro Wizard,6,6,Fireball,12,12,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T024930.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#R9J8PL,J. Alphonse War,6630,0,#LVRQRV8C,Quartz™️,16000159,The Log,6,6,Dark Prince,9,9,Fisherman,6,6,Royal Hogs,12,12,Royal Recruits,14,14,Fireball,12,12,Hunter,9,9,Magic Archer,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8VR88C2VP,Synzz,6660,1,#LP2LCGVG,Ad Astra,16000040,Skeleton Army,9,9,Zap,14,14,Giant,12,12,Fireball,12,12,Graveyard,6,6,Bowler,9,9,Electro Wizard,6,6,Mega Minion,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T024612.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#R9J8PL,J. Alphonse War,6661,0,#LVRQRV8C,Quartz™️,16000159,The Log,6,6,Dark Prince,9,9,Fisherman,6,6,Royal Hogs,12,12,Royal Recruits,14,14,Fireball,12,12,Hunter,9,9,Magic Archer,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2VCY08JQV,BBIBBI,6644,1,#QQCJQQY9,ドロ沼に打ち勝つ会,16000123,Mortar,14,14,Miner,6,6,Fireball,12,12,Archer Queen,4,4,Bats,14,14,Guards,9,9,The Log,6,6,Knight,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T024146.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#R9J8PL,J. Alphonse War,6633,3,#LVRQRV8C,Quartz™️,16000159,The Log,6,6,Dark Prince,9,9,Fisherman,6,6,Royal Hogs,12,12,Royal Recruits,14,14,Fireball,12,12,Hunter,9,9,Magic Archer,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#89828VPVC,⭐NS I Clover⭐™️,6614,1,#LR0JV9JG,관전ㄴ,16000170,Skeleton King,4,4,Fire Spirit,14,14,Skeletons,14,14,Skeleton Barrel,14,14,Dart Goblin,12,12,Fireball,12,12,Inferno Tower,12,12,Goblin Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
