type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T125004.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#RCUJGLQ8,ANGEL DIOS™☺♥㊙,6703,1,#PYLP2VCV,Latinos Crew ll,16000143,P.E.K.K.A,9,9,Graveyard,6,6,Bowler,9,9,Fireball,12,12,Bats,14,14,Minions,14,14,Arrows,14,14,Electro Wizard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#220CQJYJC,✨神眷之樱花❤️Sylvia™,6665,0,#Q2YPCQRC,Loving Day - 3部,16000108,Goblin Barrel,9,9,The Log,6,6,Guards,9,9,Princess,6,6,Dart Goblin,12,12,Prince,9,9,Rascals,14,14,Rocket,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T085725.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#RCUJGLQ8,ANGEL DIOS™☺♥㊙,6677,2,#PYLP2VCV,Latinos Crew ll,16000143,P.E.K.K.A,9,9,Graveyard,6,6,Bowler,9,9,Fireball,12,12,Bats,14,14,Minions,14,14,Arrows,14,14,Electro Wizard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PPPYP2UL,はなげじじー,6639,1,#9P99L98G,mirage,16000015,Electro Giant,9,9,Tornado,9,9,Tombstone,12,12,Cannon Cart,9,9,Baby Dragon,9,9,Barbarian Barrel,9,9,Dart Goblin,12,12,Skeleton King,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T085157.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#RCUJGLQ8,ANGEL DIOS™☺♥㊙,6650,3,#PYLP2VCV,Latinos Crew ll,16000143,P.E.K.K.A,9,9,Graveyard,6,6,Bowler,9,9,Fireball,12,12,Bats,14,14,Minions,14,14,Arrows,14,14,Electro Wizard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8RJGQVJJJ,李 信,6619,0,#YPV9RC9U,りらくしん,16000164,Cannon,14,14,Hog Rider,12,12,Ice Golem,12,12,Ice Spirit,14,14,Musketeer,12,12,Skeletons,14,14,Fireball,12,12,The Log,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T084838.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#RCUJGLQ8,ANGEL DIOS™☺♥㊙,6619,1,#PYLP2VCV,Latinos Crew ll,16000143,P.E.K.K.A,9,9,Graveyard,6,6,Bowler,9,9,Fireball,12,12,Bats,14,14,Minions,14,14,Arrows,14,14,Electro Wizard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#R2LUL9CC,Baltram,6634,0,#L9VYRCUP,D33znuts reborn,16000044,Electro Giant,9,9,Bowler,9,9,Musketeer,12,12,Goblin Cage,12,12,Skeletons,14,14,Barbarian Barrel,9,9,Tornado,8,9,Lightning,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T084322.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#RCUJGLQ8,ANGEL DIOS™☺♥㊙,6591,1,#PYLP2VCV,Latinos Crew ll,16000143,P.E.K.K.A,9,9,Graveyard,6,6,Bowler,9,9,Fireball,12,12,Bats,14,14,Minions,14,14,Arrows,14,14,Electro Wizard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YGY98CPU,FCN 豈ＭＥＳＳＩ™✨,6576,0,#YG0PQ0L0,The Falcons,16000143,Valkyrie,12,12,Goblin Cage,12,12,Tornado,9,9,Graveyard,6,6,Bowler,9,9,Baby Dragon,9,9,Electro Wizard,6,6,Poison,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T063730.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#RCUJGLQ8,ANGEL DIOS™☺♥㊙,6564,2,#PYLP2VCV,Latinos Crew ll,16000143,P.E.K.K.A,9,9,Graveyard,6,6,Bowler,9,9,Fireball,12,12,Bats,14,14,Minions,14,14,Arrows,14,14,Electro Wizard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PR99UYCY,MEGAgrut,6530,1,#LP9UYCUG,GLOBAL PLAYERS,16000076,Electro Wizard,6,6,Elite Barbarians,14,14,P.E.K.K.A,9,9,Zap,14,14,Graveyard,6,6,Bandit,6,6,Arrows,14,14,Princess,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T063237.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#RCUJGLQ8,ANGEL DIOS™☺♥㊙,6596,0,#PYLP2VCV,Latinos Crew ll,16000143,P.E.K.K.A,9,9,Graveyard,6,6,Bowler,9,9,Fireball,12,12,Bats,14,14,Minions,14,14,Arrows,14,14,Electro Wizard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YUYPCU8JY,NS丨哈皮,6566,1,#LYLQGYJ0,外星伴侣,16000041,Bandit,6,6,Goblin Gang,14,14,The Log,6,6,Golden Knight,4,4,Prince,9,9,Zap,14,14,Bats,14,14,Princess,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T062903.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#RCUJGLQ8,ANGEL DIOS™☺♥㊙,6564,1,#PYLP2VCV,Latinos Crew ll,16000143,P.E.K.K.A,9,9,Graveyard,6,6,Bowler,9,9,Fireball,12,12,Bats,14,14,Minions,14,14,Arrows,14,14,Electro Wizard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8VCR29Y0Q,哥倫比亞 I Đaniel™✨,6597,0,#QJCQ98QJ,Dark Arrow™,16000017,Electro Spirit,14,14,Skeletons,14,14,The Log,6,6,Knight,14,14,Archers,14,14,Tesla,14,14,Fireball,12,12,X-Bow,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T062339.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#RCUJGLQ8,ANGEL DIOS™☺♥㊙,6536,1,#PYLP2VCV,Latinos Crew ll,16000143,P.E.K.K.A,9,9,Graveyard,6,6,Bowler,9,9,Fireball,12,12,Bats,14,14,Minions,14,14,Arrows,14,14,Electro Wizard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8Y0YLVRRV,모 아니면 준호,6515,0,#PC9RY82V,0.3클3기,16000040,Baby Dragon,9,9,Ice Wizard,6,6,Graveyard,6,6,Tombstone,12,12,Barbarian Barrel,9,9,Knight,14,14,Tornado,9,9,Poison,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T062027.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#RCUJGLQ8,ANGEL DIOS™☺♥㊙,6566,0,#PYLP2VCV,Latinos Crew ll,16000143,P.E.K.K.A,9,9,Graveyard,6,6,Bowler,9,9,Fireball,12,12,Bats,14,14,Minions,14,14,Arrows,14,14,Electro Wizard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2G82PV00R,KCR I KIROZ⚡️,6566,3,,,,Goblin Giant,9,9,Sparky,6,6,Elite Barbarians,14,14,Electro Wizard,6,6,Heal Spirit,12,12,Dark Prince,9,9,Rage,6,9,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
