type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T164710.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#RQ8VYCPL,aliKakaヅ,6697,1,#PLUY9C9Y,Iran Diamond,16000046,Skeleton Army,9,9,Sparky,6,6,Giant,12,12,Minion Horde,14,14,Bats,14,14,Zap,14,14,Arrows,14,14,Mini P.E.K.K.A,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#UP2VL099,➳ᴹᴿ» ɱυɳƚαԃɾ⚡,6657,0,#YUPRJG8G,خبالات تايم┋✨♥️,16000077,Hog Rider,12,12,Musketeer,12,12,Fireball,12,12,Ice Golem,12,12,Cannon,14,14,The Log,6,6,Skeletons,14,14,Ice Spirit,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20220104T164151.000Z,,54000016,Master II,72000007,Friendly,,collection,#RQ8VYCPL,aliKakaヅ,6697,0,#PLUY9C9Y,Iran Diamond,16000046,Heal Spirit,9,12,Sparky,3,6,Electro Wizard,3,6,Tornado,6,9,Mini P.E.K.K.A,9,12,Zap,11,14,Fireball,9,12,Giant,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LYRU92LQ,Fateme,6529,1,#PLUY9C9Y,Iran Diamond,16000046,Poison,6,9,Mega Minion,9,12,Fire Spirit,11,14,The Log,3,6,Skeletons,11,14,Miner,3,6,Tesla,11,14,Valkyrie,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T155203.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#RQ8VYCPL,aliKakaヅ,6664,1,#PLUY9C9Y,Iran Diamond,16000046,Giant,12,12,Arrows,14,14,Zap,14,14,Bats,14,14,Witch,9,9,Dark Prince,9,9,Mini P.E.K.K.A,12,12,Rage,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PJU2UVQVR,ろび,6704,0,#Y2882QQV,blackJapan,16000139,Valkyrie,12,12,Baby Dragon,9,9,Archer Queen,4,4,Barbarian Barrel,9,9,Graveyard,6,6,Tombstone,12,12,Poison,9,9,Tornado,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T153620.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#RQ8VYCPL,aliKakaヅ,6636,1,#PLUY9C9Y,Iran Diamond,16000046,Giant,12,12,Arrows,14,14,Zap,14,14,Bats,14,14,Witch,9,9,Dark Prince,9,9,Mini P.E.K.K.A,12,12,Rage,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9GCVQ9JVU,Pernati papagaj,6617,0,#YYJ829GR,Balavi,16000072,Miner,6,6,Fireball,12,12,Tornado,9,9,Balloon,9,9,Electro Wizard,6,6,Guards,9,9,Tesla,14,14,Giant Skeleton,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T153225.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#RQ8VYCPL,aliKakaヅ,6669,0,#PLUY9C9Y,Iran Diamond,16000046,Giant,12,12,Zap,14,14,Witch,9,9,Mini P.E.K.K.A,12,12,Sparky,6,6,Mega Minion,12,12,Rage,9,9,Skeleton Army,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#JCRG0JR,WHITE✨,6627,1,#8Y0LR8GU,Nova I Iran 2,16000038,Skeleton Army,9,9,Mortar,14,14,Miner,6,6,Fireball,12,12,Spear Goblins,14,14,Bats,14,14,Minion Horde,14,14,Skeleton King,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T152902.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#RQ8VYCPL,aliKakaヅ,6643,1,#PLUY9C9Y,Iran Diamond,16000046,Giant,12,12,Zap,14,14,Witch,9,9,Mini P.E.K.K.A,12,12,Sparky,6,6,Mega Minion,12,12,Rage,9,9,Skeleton Army,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LP0GCVP0U,OG_ProX,6600,0,#PC0CYYYV,Magiczne Mrozy,16000034,Arrows,14,14,Baby Dragon,9,9,Bats,14,14,Clone,9,9,Flying Machine,12,12,Lava Hound,6,6,Lumberjack,6,6,Skeleton Army,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T132731.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#RQ8VYCPL,aliKakaヅ,6617,1,#PLUY9C9Y,Iran Diamond,16000046,Giant,12,12,Zap,14,14,Witch,9,9,Mini P.E.K.K.A,12,12,Sparky,6,6,Mega Minion,12,12,Rage,9,9,Skeleton Army,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Y8JRG8CG0,pranjit,6582,0,#Y0LJ82R2,THE CONQUEROR$™,16000139,Mega Knight,6,6,Firecracker,14,14,Zap,14,14,Electro Wizard,6,6,Hog Rider,12,12,Prince,9,9,Bandit,6,6,Dark Prince,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T132344.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#RQ8VYCPL,aliKakaヅ,6591,3,#PLUY9C9Y,Iran Diamond,16000046,Giant,12,12,Zap,14,14,Witch,9,9,Mini P.E.K.K.A,12,12,Sparky,6,6,Mega Minion,12,12,Rage,9,9,Skeleton Army,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2PQLL28RP,<c5>THE KING,6549,0,#VL8VJRG,(اساطير رويال),16000028,Golem,9,9,Arrows,14,14,Mega Minion,12,12,Zap,14,14,Night Witch,6,6,Electro Dragon,9,9,Prince,9,9,Lumberjack,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T132105.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#RQ8VYCPL,aliKakaヅ,6561,1,#PLUY9C9Y,Iran Diamond,16000046,Giant,12,12,Zap,14,14,Witch,9,9,Mini P.E.K.K.A,12,12,Sparky,6,6,Mega Minion,12,12,Rage,9,9,Skeleton Army,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#200VV90VJ,右CB∈isso,6564,0,#90YJJPYP,Galaxy land,16000029,Archer Queen,4,4,The Log,6,6,Hog Rider,12,12,Knight,14,14,Skeletons,14,14,Bomb Tower,12,12,Fire Spirit,14,14,Earthquake,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T131638.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#RQ8VYCPL,aliKakaヅ,6530,2,#PLUY9C9Y,Iran Diamond,16000046,Giant,12,12,Zap,14,14,Witch,9,9,Mini P.E.K.K.A,12,12,Sparky,6,6,Mega Minion,12,12,Rage,9,9,Skeleton Army,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2VP0UQY2P,tyro99,6548,1,#Q82QP,Slovak Avengers,16000101,Graveyard,6,6,Valkyrie,12,12,Tombstone,12,12,Baby Dragon,9,9,Ice Wizard,6,6,Barbarian Barrel,9,9,Poison,9,9,Tornado,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
