type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T135151.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#RUP0LGJC,bc,6693,1,#LYU9JQ,BluePegasus,16000146,Golem,9,9,Lumberjack,6,6,Cannon Cart,9,9,Electro Dragon,9,9,Baby Dragon,9,9,Mega Minion,12,12,Tornado,9,9,Dark Prince,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2P2LRGYQQ,Slash Gaming,6679,0,,,,Earthquake,12,12,Archer Queen,4,4,Royal Hogs,12,12,The Log,6,6,Royal Delivery,14,14,Skeletons,14,14,Fire Spirit,14,14,Goblin Cage,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T131322.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#RUP0LGJC,bc,6661,2,#LYU9JQ,BluePegasus,16000146,Golem,9,9,Lumberjack,6,6,Cannon Cart,9,9,Electro Dragon,9,9,Baby Dragon,9,9,Mega Minion,12,12,Tornado,9,9,Dark Prince,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#P0Y82UQ2Q,~XX~ TIGER ~,6686,1,#YP00GY20,اصدقاء العمر™,16000024,Ram Rider,6,6,Balloon,9,9,Firecracker,14,14,Valkyrie,12,12,Fireball,12,12,Skeleton Barrel,14,14,Skeleton Army,9,9,Minion Horde,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T130957.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#RUP0LGJC,bc,6632,1,#LYU9JQ,BluePegasus,16000146,Golem,9,9,Lumberjack,6,6,Cannon Cart,9,9,Electro Dragon,9,9,Baby Dragon,9,9,Mega Minion,12,12,Tornado,9,9,Dark Prince,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#22VJ0Q2VR,Mr.T❤️Kurumi✨,6630,0,#2U2PUG,正港台灣狼,16000164,Poison,9,9,Valkyrie,12,12,Tornado,9,9,Graveyard,6,6,Ice Wizard,6,6,Baby Dragon,9,9,Barbarian Barrel,9,9,Tombstone,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T130425.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#RUP0LGJC,bc,6602,3,#LYU9JQ,BluePegasus,16000146,Golem,9,9,Lumberjack,6,6,Cannon Cart,9,9,Electro Dragon,9,9,Baby Dragon,9,9,Mega Minion,12,12,Tornado,9,9,Dark Prince,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YYJU0JLVV,泉南の希望｜岡田浦,6606,1,#L8V0UPG2,フレバト＠天界までの道,16000054,Lava Hound,6,6,Guards,9,9,Zap,14,14,Mega Minion,12,12,Balloon,9,9,Tombstone,12,12,Fireball,12,12,Skeleton Dragons,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T125941.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#RUP0LGJC,bc,6572,1,#LYU9JQ,BluePegasus,16000146,Golem,9,9,Lumberjack,6,6,Cannon Cart,9,9,Electro Dragon,9,9,Baby Dragon,9,9,Mega Minion,12,12,Tornado,9,9,Dark Prince,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#U0JCQ9V,GBuffon_Mathieu,6582,0,,,,Minions,14,14,Hog Rider,12,12,Mini P.E.K.K.A,12,12,Zap,14,14,Arrows,14,14,Freeze,9,9,Bowler,9,9,Inferno Tower,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T125446.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#RUP0LGJC,bc,6599,0,#LYU9JQ,BluePegasus,16000146,Golem,9,9,Lumberjack,6,6,Cannon Cart,9,9,Electro Dragon,9,9,Baby Dragon,9,9,Mega Minion,12,12,Tornado,9,9,Dark Prince,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9U2UPY9P,裏鬼,6629,1,#LVUCGCRG,にもかにとゆ,16000043,Electro Giant,9,9,Baby Dragon,9,9,Tornado,9,9,Lightning,9,9,Golden Knight,4,4,Goblin Cage,12,12,Bomber,14,14,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T125110.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#RUP0LGJC,bc,6629,0,#LYU9JQ,BluePegasus,16000146,Golem,9,9,Lumberjack,6,6,Cannon Cart,9,9,Electro Dragon,9,9,Baby Dragon,9,9,Mega Minion,12,12,Tornado,9,9,Dark Prince,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Q0J29UQV,longersama,6619,2,#99G0VYU,无与伦比,16000165,P.E.K.K.A,9,9,Battle Ram,12,12,Zap,14,14,Fireball,12,12,Royal Ghost,6,6,Bandit,6,6,Electro Wizard,6,6,Magic Archer,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T124311.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#RUP0LGJC,bc,6659,1,#LYU9JQ,BluePegasus,16000146,Golem,9,9,Lumberjack,6,6,Cannon Cart,9,9,Electro Dragon,9,9,Baby Dragon,9,9,Mega Minion,12,12,Tornado,9,9,Dark Prince,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9VVQ8R9G8,İMPARATOR ORHAN,6652,3,,,,Lava Hound,6,6,Flying Machine,12,12,Baby Dragon,9,9,Fireball,12,12,Lumberjack,6,6,Skeleton Army,9,9,Bats,14,14,Clone,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T123311.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#RUP0LGJC,bc,6687,0,#LYU9JQ,BluePegasus,16000146,Golem,9,9,Lumberjack,6,6,Cannon Cart,9,9,Electro Dragon,9,9,Baby Dragon,9,9,Mega Minion,12,12,Tornado,9,9,Dark Prince,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#GCQ89GV9,angel,6708,1,#LLPG8CUV,Twitch L Calvo,16000124,Lumberjack,6,6,Balloon,9,9,Tornado,9,9,Barbarian Barrel,9,9,Inferno Dragon,6,6,Bowler,9,9,Electro Dragon,9,9,Freeze,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T122841.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#RUP0LGJC,bc,6657,3,#LYU9JQ,BluePegasus,16000146,Golem,9,9,Lumberjack,6,6,Cannon Cart,9,9,Electro Dragon,9,9,Baby Dragon,9,9,Mega Minion,12,12,Tornado,9,9,Dark Prince,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9JGVC2RV,Kenansch,6657,1,#G99GP2UP,YT: Kenansch CR,16000155,Goblin Barrel,9,9,Guards,9,9,Electro Spirit,14,14,Inferno Tower,12,12,Knight,14,14,Princess,6,6,Rocket,12,12,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
