type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T130740.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#RV9LUPJL,duvacazzavi,6709,2,#2U2LJYQ,elmajico,16000081,Elixir Golem,12,12,Baby Dragon,9,9,Tornado,9,9,Night Witch,6,6,Electro Dragon,9,9,Heal Spirit,12,12,Rage,9,9,Battle Healer,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2V098RUPP,Just_Slink,6719,1,#PC0GGQUJ,Real De México,16000044,Electro Spirit,14,14,Skeleton Barrel,14,14,Mortar,14,14,The Log,6,6,Cannon Cart,9,9,Spear Goblins,14,14,Mega Minion,12,12,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T130316.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#RV9LUPJL,duvacazzavi,6676,3,#2U2LJYQ,elmajico,16000081,Elixir Golem,12,12,Baby Dragon,9,9,Tornado,9,9,Night Witch,6,6,Electro Dragon,9,9,Heal Spirit,12,12,Rage,9,9,Battle Healer,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9LJVJ2PVC,よしだん,6717,1,#8LRLY22U,冷やしゴブリン始めました。,16000154,Royal Hogs,12,12,Goblin Cage,12,12,Archer Queen,4,4,Earthquake,12,12,Fire Spirit,14,14,Skeletons,14,14,Royal Delivery,13,14,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T130111.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#RV9LUPJL,duvacazzavi,6705,0,#2U2LJYQ,elmajico,16000081,Elixir Golem,12,12,Baby Dragon,9,9,Tornado,9,9,Night Witch,6,6,Electro Dragon,9,9,Heal Spirit,12,12,Rage,9,9,Battle Healer,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9R2RQPV9Q,CMG I Zodiac✨,6708,1,#LLC9CJ9P,LIVE ON TWITCH,16000100,Elixir Golem,12,12,Baby Dragon,9,9,Battle Healer,12,12,Electro Dragon,9,9,Tornado,9,9,The Log,6,6,Fireball,12,12,Barbarian Hut,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T005617.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#RV9LUPJL,duvacazzavi,6731,1,#2U2LJYQ,elmajico,16000081,Elixir Golem,12,12,Baby Dragon,9,9,Tornado,9,9,Night Witch,6,6,Electro Dragon,9,9,Heal Spirit,12,12,Rage,9,9,Battle Healer,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9LVVRL0JC,❖Z҉hini҉g҉am҉I҉,6774,3,#8PUGVQLJ,ECU r0mp3tU@n0,16000073,Skeleton Army,9,9,Minion Horde,14,14,Hog Rider,12,12,The Log,6,6,Zap,14,14,Princess,6,6,Goblin Gang,14,14,Elite Barbarians,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T005254.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#RV9LUPJL,duvacazzavi,6702,3,#2U2LJYQ,elmajico,16000081,Elixir Golem,12,12,Baby Dragon,9,9,Tornado,9,9,Night Witch,6,6,Electro Dragon,9,9,Heal Spirit,12,12,Rage,9,9,Battle Healer,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#82VCYRLQ0,GeorgeHavertz03,6694,1,#9QUQ8ULR,OS LENDÁRIOS✌,16000044,Mega Knight,6,6,Zap,14,14,Bandit,6,6,Minion Horde,14,14,Inferno Dragon,6,6,Arrows,14,14,Hog Rider,12,12,Balloon,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T005024.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#RV9LUPJL,duvacazzavi,6671,3,#2U2LJYQ,elmajico,16000081,Elixir Golem,12,12,Baby Dragon,9,9,Tornado,9,9,Night Witch,6,6,Electro Dragon,9,9,Heal Spirit,12,12,Rage,9,9,Battle Healer,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9C999PYY9,EW丨故事锯齿,6684,1,#LYLQGYJ0,外星伴侣,16000041,Mega Knight,6,6,Skeleton Army,9,9,Prince,9,9,Bats,14,14,Princess,6,6,Dart Goblin,12,12,Goblin Barrel,9,9,Royal Giant,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T004530.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#RV9LUPJL,duvacazzavi,6645,3,#2U2LJYQ,elmajico,16000081,Elixir Golem,12,12,Baby Dragon,9,9,Tornado,9,9,Night Witch,6,6,Electro Dragon,9,9,Heal Spirit,12,12,Rage,9,9,Battle Healer,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8Y8PL9CJ2,ただひろ,6600,0,#2PQGVRU9,襲撃のダイナマイト,16000176,Giant,11,12,Prince,9,9,Dark Prince,8,9,Minions,13,14,Mega Minion,11,12,Zap,13,14,Fireball,11,12,Arrows,13,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T004235.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#RV9LUPJL,duvacazzavi,6614,1,#2U2LJYQ,elmajico,16000081,Elixir Golem,12,12,Baby Dragon,9,9,Tornado,9,9,Night Witch,6,6,Electro Dragon,9,9,Heal Spirit,12,12,Rage,9,9,Battle Healer,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YCJPRRQYL,Trollface❤Cake,6627,0,#Y9LCUYGQ,BATERIA SR GOLD,16000125,Lumberjack,6,6,Bowler,9,9,Balloon,9,9,Freeze,9,9,Barbarian Barrel,9,9,Tornado,9,9,Baby Dragon,9,9,Inferno Dragon,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T003829.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#RV9LUPJL,duvacazzavi,6643,0,#2U2LJYQ,elmajico,16000081,Elixir Golem,12,12,Baby Dragon,9,9,Tornado,9,9,Night Witch,6,6,Electro Dragon,9,9,Heal Spirit,12,12,Rage,9,9,Battle Healer,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YYLQ9V2,⭐炭疽菌|ビター⭐,6644,3,#LGVLY20C,Mystery Team,16000024,Hog Rider,12,12,Fireball,12,12,Skeleton Army,9,9,Musketeer,12,12,Barbarians,14,14,Archer Queen,4,4,Minions,14,14,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T003511.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#RV9LUPJL,duvacazzavi,6675,0,#2U2LJYQ,elmajico,16000081,Elixir Golem,12,12,Baby Dragon,9,9,Tornado,9,9,Night Witch,6,6,Electro Dragon,9,9,Heal Spirit,12,12,Rage,9,9,Battle Healer,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8YLYRYUYG,Matias❤️Cony,6650,1,#YU0YJ02Q,LOS GUERREROS Z,16000044,Barbarian Barrel,9,9,Balloon,9,9,Tornado,9,9,Freeze,9,9,Electro Dragon,9,9,Lumberjack,6,6,P.E.K.K.A,9,9,Baby Dragon,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
