type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T155751.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#RVC9Q9U,Legend✞Kennielシ,6807,1,#LGY8JQ0Y,Tw@LegendKencr,16000050,Knight,14,14,X-Bow,9,9,Tesla,14,14,Rocket,12,12,Ice Wizard,6,6,Skeletons,14,14,Tornado,8,9,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LR2JYY0L,moustafa,6829,0,#P8G8098G,clashing,16000167,Graveyard,6,6,Freeze,9,9,Valkyrie,12,12,Bats,14,14,Knight,14,14,Wizard,12,12,Skeleton Army,9,9,Wall Breakers,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T155418.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#RVC9Q9U,Legend✞Kennielシ,6776,1,#LGY8JQ0Y,Tw@LegendKencr,16000050,Knight,14,14,X-Bow,9,9,Tesla,14,14,Rocket,12,12,Ice Wizard,6,6,Skeletons,14,14,Tornado,8,9,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#QPG0U0909,★AB⚡ID★,6795,0,#QURULGCP,Jackpot squad™️,16000014,Bowler,9,9,Baby Dragon,9,9,Tornado,9,9,Graveyard,6,6,Inferno Dragon,6,6,Zappies,12,12,Valkyrie,12,12,Freeze,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T154858.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#RVC9Q9U,Legend✞Kennielシ,6807,0,#LGY8JQ0Y,Tw@LegendKencr,16000050,Knight,14,14,X-Bow,9,9,Tesla,14,14,Rocket,12,12,Ice Wizard,6,6,Skeletons,14,14,Tornado,8,9,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#QRU0V0GQ,✨Matze-Rocket✨,6795,1,#QLQCUPUL,Deadly Warfare,16000179,Golem,9,9,Night Witch,6,6,Dark Prince,9,9,Lightning,9,9,Baby Dragon,9,9,Ice Wizard,6,6,Tornado,9,9,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T154510.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#RVC9Q9U,Legend✞Kennielシ,6778,1,#LGY8JQ0Y,Tw@LegendKencr,16000050,Knight,14,14,X-Bow,9,9,Tesla,14,14,Rocket,12,12,Ice Wizard,6,6,Skeletons,14,14,Tornado,8,9,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#98R8GQ2,leon der große,6776,0,#LJLGUG8R,Twitter,16000108,Golem,9,9,Night Witch,6,6,Baby Dragon,9,9,Mega Minion,12,12,Skeletons,14,14,Lightning,9,9,Tornado,9,9,Elixir Collector,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T213825.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#RVC9Q9U,Legend✞Kennielシ,6742,1,#LGY8JQ0Y,Tw@LegendKencr,16000050,Knight,14,14,X-Bow,9,9,Tesla,14,14,Rocket,12,12,Ice Wizard,6,6,Skeletons,14,14,Tornado,8,9,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#90QCVRRGR,Snow⛄️ ™️,6813,0,#LPURR99V,Sentinels,16000044,Lava Hound,6,6,Balloon,9,9,Tombstone,12,12,Skeleton Dragons,14,14,Mega Minion,12,12,Fireball,12,12,Barbarians,14,14,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T213332.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#RVC9Q9U,Legend✞Kennielシ,6715,1,#LGY8JQ0Y,Tw@LegendKencr,16000050,Knight,14,14,X-Bow,9,9,Tesla,14,14,Rocket,12,12,Ice Wizard,6,6,Skeletons,14,14,Tornado,8,9,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#R90PRV0PY,Ryley,6685,0,#Y89VR8JL,Juvenile,16000040,Prince,9,9,Rascals,14,14,Dart Goblin,12,12,Goblin Barrel,9,9,Guards,9,9,Princess,6,6,Golden Knight,4,4,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T212854.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#RVC9Q9U,Legend✞Kennielシ,6742,0,#LGY8JQ0Y,Tw@LegendKencr,16000050,Knight,14,14,X-Bow,9,9,Tesla,14,14,Rocket,12,12,Ice Wizard,6,6,Skeletons,14,14,Tornado,8,9,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8899L8V20,OKAN,6768,1,#LVRL8VPG,come on da,16000030,Princess,6,6,Goblin Barrel,9,9,The Log,6,6,Knight,14,14,Goblin Gang,14,14,Inferno Tower,12,12,Rocket,12,12,Ice Spirit,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T210135.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#RVC9Q9U,Legend✞Kennielシ,6713,1,#LGY8JQ0Y,Tw@LegendKencr,16000050,Knight,14,14,X-Bow,9,9,Tesla,14,14,Rocket,12,12,Ice Wizard,6,6,Skeletons,14,14,Tornado,8,9,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#G2VV0J22,Marius_FCN,6710,0,#989VGGV8,ComeBack,16000010,Lava Hound,6,6,Balloon,9,9,Mega Minion,12,12,Lightning,9,9,Tombstone,12,12,Minions,14,14,Skeleton Army,9,9,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T205810.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#RVC9Q9U,Legend✞Kennielシ,6687,1,#LGY8JQ0Y,Tw@LegendKencr,16000050,Knight,14,14,X-Bow,9,9,Tesla,14,14,Rocket,12,12,Ice Wizard,6,6,Skeletons,14,14,Tornado,8,9,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2RU8YCPCQ,こう,6652,0,#YVP82V0Q,実力主義,16000029,Valkyrie,12,12,Archer Queen,4,4,Baby Dragon,9,9,Graveyard,6,6,Tombstone,12,12,Barbarian Barrel,9,9,Fireball,12,12,Tornado,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T205234.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#RVC9Q9U,Legend✞Kennielシ,6655,1,#LGY8JQ0Y,Tw@LegendKencr,16000050,Knight,14,14,X-Bow,9,9,Tesla,14,14,Rocket,12,12,Ice Wizard,6,6,Skeletons,14,14,Tornado,8,9,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2JVQ0R928,torito,6680,0,#LPJJ28GR,zona oeste arg,16000147,Golem,9,9,Furnace,12,12,Mega Minion,12,12,Baby Dragon,9,9,Night Witch,6,6,Fisherman,6,6,Barbarian Barrel,9,9,Lightning,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T204901.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#RVC9Q9U,Legend✞Kennielシ,6685,1,#LGY8JQ0Y,Tw@LegendKencr,16000050,Knight,14,14,X-Bow,9,9,Tesla,14,14,Rocket,12,12,Ice Wizard,6,6,Skeletons,14,14,Tornado,8,9,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#VQCLUG0G,ENM⚡️NeoZz,6681,2,#28V2QQ9C,Rocket's,16000166,Lava Hound,6,6,Baby Dragon,9,9,Giant Snowball,14,14,Bats,14,14,Flying Machine,12,12,Lumberjack,6,6,Skeleton Army,9,9,Clone,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
