type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
casual1v1,20220104T135304.000Z,,54000040,Legendary Arena,72000066,Showdown_Ladder,,collection,#RYC9UR09,Sergey,6721,3,#YYPJVLLQ,BloodWest,16000168,Lava Hound,6,6,Balloon,9,9,Mega Minion,12,12,Fireball,12,12,Zap,14,14,Guards,9,9,Tombstone,12,12,Skeleton Dragons,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LQYYQ8V,Snoxzy,5365,0,#LQ0V20VV,CALOPRESTOPOLI,16000108,Valkyrie,11,12,Hog Rider,12,12,Tesla,13,14,Firecracker,13,14,Ice Spirit,12,14,Skeletons,11,14,The Log,6,6,Earthquake,10,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual1v1,20220104T135132.000Z,,54000040,Legendary Arena,72000066,Showdown_Ladder,,collection,#RYC9UR09,Sergey,6721,0,#YYPJVLLQ,BloodWest,16000168,Lava Hound,6,6,Balloon,9,9,Mega Minion,12,12,Fireball,12,12,Zap,14,14,Guards,9,9,Tombstone,12,12,Skeleton Dragons,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PQ0VQ9UG2,くろすけ,6151,1,#LLLGVVCU,EnDless Road,16000167,Goblin Drill,9,9,Skeletons,13,14,Magic Archer,6,6,Tornado,8,9,The Log,5,6,Fire Spirit,14,14,Valkyrie,12,12,Tesla,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual1v1,20220104T122055.000Z,,54000040,Legendary Arena,72000066,Showdown_Ladder,,collection,#RYC9UR09,Sergey,6721,1,#YYPJVLLQ,BloodWest,16000168,Lava Hound,6,6,Balloon,9,9,Mega Minion,12,12,Fireball,12,12,Zap,14,14,Guards,9,9,Tombstone,12,12,Skeleton Dragons,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YV2PUCPU,Talaat,5224,0,#8288GJR9,Argila Royales,16000169,Giant Skeleton,9,9,Dart Goblin,12,12,Arrows,14,14,Wizard,12,12,Hog Rider,12,12,Lumberjack,5,6,Bats,14,14,Tesla,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual1v1,20220104T114343.000Z,,54000040,Legendary Arena,72000066,Showdown_Ladder,,collection,#RYC9UR09,Sergey,6721,3,#YYPJVLLQ,BloodWest,16000168,Lava Hound,6,6,Balloon,9,9,Mega Minion,12,12,Fireball,12,12,Zap,14,14,Guards,9,9,Tombstone,12,12,Skeleton Dragons,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#28VUVQPR9,305camaro87,5104,0,#28VGJU,Call of Booty,16000032,Mini P.E.K.K.A,12,12,Wizard,12,12,Guards,8,9,Valkyrie,12,12,Mega Knight,5,6,Minion Horde,14,14,Lightning,9,9,Electro Wizard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T113736.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#RYC9UR09,Sergey,6691,1,#YYPJVLLQ,BloodWest,16000168,Lava Hound,6,6,Balloon,9,9,Mega Minion,12,12,Fireball,12,12,Zap,14,14,Guards,9,9,Tombstone,12,12,Skeleton Dragons,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#P8C8YCPPG,Aimar y Diego,6696,0,#LLC0RQ8G,Face To Face,16000172,Bowler,9,9,Balloon,9,9,Lumberjack,6,6,Baby Dragon,9,9,Inferno Dragon,6,6,Freeze,8,9,Tornado,9,9,Barbarian Barrel,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T113349.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#RYC9UR09,Sergey,6661,1,#YYPJVLLQ,BloodWest,16000168,Lava Hound,6,6,Balloon,9,9,Mega Minion,12,12,Fireball,12,12,Zap,14,14,Guards,9,9,Tombstone,12,12,Skeleton Dragons,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PLCUQ8JL0,✌pro player✌,6664,0,#YY0URR90,iranian glory,16000077,P.E.K.K.A,9,9,Tornado,9,9,Barbarian Barrel,9,9,Ram Rider,6,6,Baby Dragon,9,9,Electro Wizard,6,6,Lightning,9,9,Dark Prince,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T113034.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#RYC9UR09,Sergey,6631,1,#YYPJVLLQ,BloodWest,16000168,Lava Hound,6,6,Balloon,9,9,Mega Minion,12,12,Fireball,12,12,Zap,14,14,Guards,9,9,Tombstone,12,12,Skeleton Dragons,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#G8QJG2PP,✫ I Abu Hamid,6633,0,#9JCLGG9G,SHURIKEN ✫,16000039,Lava Hound,6,6,Minions,14,14,Minion Horde,14,14,Balloon,9,9,Arrows,14,14,Miner,6,6,Barbarians,14,14,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T112719.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#RYC9UR09,Sergey,6659,0,#YYPJVLLQ,BloodWest,16000168,Lava Hound,6,6,Balloon,9,9,Mega Minion,12,12,Fireball,12,12,Zap,14,14,Guards,9,9,Tombstone,12,12,Skeleton Dragons,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YU8LQU9V,Noah,6674,1,#2G9C8V,WALHALLA,16000080,Electro Giant,9,9,Dark Prince,9,9,Inferno Dragon,6,6,Mother Witch,6,6,Bomber,14,14,Goblin Cage,12,12,Tornado,9,9,Lightning,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T112352.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#RYC9UR09,Sergey,6630,2,#YYPJVLLQ,BloodWest,16000168,Lava Hound,6,6,Balloon,9,9,Mega Minion,12,12,Fireball,12,12,Zap,14,14,Guards,9,9,Tombstone,12,12,Skeleton Dragons,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Y0CJPCC2U,かりん,6625,1,#YGVGYRJ,AKARUの館,16000004,Knight,14,14,Goblin Gang,14,14,Goblin Barrel,9,9,Ice Spirit,14,14,Princess,6,6,Rocket,12,12,The Log,6,6,Inferno Tower,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual1v1,20220104T111909.000Z,,54000040,Legendary Arena,72000066,Showdown_Ladder,,collection,#RYC9UR09,Sergey,6630,1,#YYPJVLLQ,BloodWest,16000168,Lava Hound,6,6,Balloon,9,9,Mega Minion,12,12,Fireball,12,12,Zap,14,14,Guards,9,9,Tombstone,12,12,Skeleton Dragons,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2UC29V9UP,Zeus,5897,0,#QGQ0G20P,les destroyeurs,16000003,P.E.K.K.A,9,9,Balloon,9,9,Lumberjack,5,6,Ice Wizard,5,6,Baby Dragon,9,9,Tornado,9,9,Freeze,8,9,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
