type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T180152.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#UP0QRRPU,⚡Drach I Chris⚡,6729,0,,,,Archer Queen,4,4,Bandit,6,6,Giant Snowball,14,14,Royal Ghost,6,6,Elite Barbarians,14,14,Heal Spirit,12,12,Magic Archer,6,6,Mother Witch,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2QJGGLVQP,THB_Thomas™,6717,1,#9CPV098R,Titan Warfare,16000156,Princess,6,6,Mega Knight,6,6,Royal Giant,14,14,Bats,14,14,Dart Goblin,12,12,Prince,9,9,Skeleton Army,9,9,Goblin Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T175658.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#UP0QRRPU,⚡Drach I Chris⚡,6757,0,,,,Archer Queen,4,4,Bandit,6,6,Earthquake,12,12,Royal Ghost,6,6,Elite Barbarians,14,14,Heal Spirit,12,12,Magic Archer,6,6,Mother Witch,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#C2GYJCQG,Kot,6775,3,#9LY8RVY0,DEXTER TEAM,16000107,Inferno Tower,12,12,Arrows,14,14,Golden Knight,4,4,Goblin Drill,9,9,Princess,6,6,Giant Skeleton,9,9,Skeleton Army,9,9,Witch,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T175337.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#UP0QRRPU,⚡Drach I Chris⚡,6788,0,,,,Archer Queen,4,4,Bandit,6,6,Fireball,12,12,Royal Ghost,6,6,Elite Barbarians,14,14,Heal Spirit,12,12,Magic Archer,6,6,Mother Witch,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#GJRJ02QC,CarlosG技能,6771,1,,,,Valkyrie,12,12,Guards,9,9,Princess,6,6,Goblin Barrel,9,9,The Log,6,6,Rocket,12,12,Tesla,14,14,Electro Spirit,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T174849.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#UP0QRRPU,⚡Drach I Chris⚡,6755,1,,,,Archer Queen,4,4,Bandit,6,6,Fireball,12,12,Royal Ghost,6,6,Elite Barbarians,14,14,Heal Spirit,12,12,Magic Archer,6,6,Mother Witch,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#99R0JJ0V,fernanml02,6794,0,#8J0PUUG9,VirtualTeam,16000084,P.E.K.K.A,9,9,Electro Wizard,6,6,Barbarian Barrel,9,9,Fireball,12,12,Archer Queen,4,4,Ram Rider,6,6,Bandit,6,6,Dark Prince,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T174514.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#UP0QRRPU,⚡Drach I Chris⚡,6785,0,,,,Archer Queen,4,4,Bandit,6,6,Electro Spirit,14,14,Barbarian Barrel,9,9,Fireball,12,12,P.E.K.K.A,9,9,Royal Ghost,6,6,Ram Rider,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#80G2QYU02,脱獄 I the beast,6779,1,#LRPPR88J,prison break,16000176,Graveyard,6,6,Valkyrie,12,12,Archer Queen,4,4,Poison,9,9,Tombstone,12,12,Barbarian Barrel,9,9,Baby Dragon,9,9,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T174028.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#UP0QRRPU,⚡Drach I Chris⚡,6757,3,,,,Archer Queen,4,4,Bandit,6,6,Electro Spirit,14,14,Barbarian Barrel,9,9,Fireball,12,12,P.E.K.K.A,9,9,Royal Ghost,6,6,Ram Rider,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8PVV28U8,Trainer跟Vigo跟,6735,0,,,,Elixir Golem,12,12,Inferno Dragon,6,6,Arrows,14,14,Elite Barbarians,14,14,Electro Dragon,9,9,Heal Spirit,12,12,Rage,9,9,Battle Healer,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T171111.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#UP0QRRPU,⚡Drach I Chris⚡,6788,0,,,,Archer Queen,4,4,Bandit,6,6,Electro Spirit,14,14,Barbarian Barrel,9,9,Fireball,12,12,P.E.K.K.A,9,9,Dark Prince,9,9,Ram Rider,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8LRJ20L2,とめいと,6774,1,#29CPJ8Y0,花言葉～Momo～,16000132,Fire Spirit,14,14,Bats,14,14,Ice Golem,12,12,Hog Rider,12,12,Rocket,12,12,The Log,6,6,Mini P.E.K.K.A,12,12,Princess,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T164658.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#UP0QRRPU,⚡Drach I Chris⚡,6763,1,,,,Archer Queen,4,4,Bandit,6,6,Electro Spirit,14,14,Barbarian Barrel,9,9,Fireball,12,12,P.E.K.K.A,9,9,Dark Prince,9,9,Ram Rider,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#990C92YG,masiron✿,6707,0,#Y89VR8JL,Juvenile,16000040,Rocket,12,12,The Log,6,6,Tornado,9,9,Executioner,9,9,Valkyrie,12,12,Hog Rider,12,12,Ice Spirit,14,14,Goblins,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T164219.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#UP0QRRPU,⚡Drach I Chris⚡,6730,1,,,,Archer Queen,4,4,Bandit,6,6,Electro Spirit,14,14,Barbarian Barrel,9,9,Fireball,12,12,P.E.K.K.A,9,9,Dark Prince,9,9,Ram Rider,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2J8Q22PRU,あっさん,6765,0,#YCLLCVLQ,Fla$hBackS,16000114,Giant Snowball,14,14,Royal Delivery,14,14,Ice Golem,12,12,Bats,14,14,Balloon,9,9,Hunter,9,9,Miner,6,6,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T140020.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#UP0QRRPU,⚡Drach I Chris⚡,6697,1,,,,Archer Queen,4,4,Bandit,6,6,Electro Spirit,14,14,Barbarian Barrel,9,9,Fireball,12,12,P.E.K.K.A,9,9,Dark Prince,9,9,Ram Rider,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#89LY9LU2Y,Matte™️,6740,0,#Y0QR0Y2U,NoA,16000009,Tornado,8,9,Lightning,9,9,Goblin Cage,12,12,Skeletons,14,14,Dark Prince,9,9,Electro Giant,9,9,Inferno Dragon,6,6,Bomber,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
