type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
casual1v1,20220104T074440.000Z,,54000040,Legendary Arena,72000254,MirrorDeck_Friendly,,predefined,#UPC2UQG0,TD! ABIL,6818,0,#9QQPQRGP,Tendangan Dewa,16000016,Mirror,6,9,Miner,3,6,Ram Rider,3,6,Minion Horde,11,14,Battle Healer,9,12,Magic Archer,3,6,Goblin Gang,11,14,The Log,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8QQCUGUR,ABC2,6022,3,#2LJL2YQL,ROYALEROS CR,16000167,Mirror,6,9,Miner,3,6,Ram Rider,3,6,Minion Horde,11,14,Battle Healer,9,12,Magic Archer,3,6,Goblin Gang,11,14,The Log,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual1v1,20220104T074308.000Z,,54000040,Legendary Arena,72000254,MirrorDeck_Friendly,,predefined,#UPC2UQG0,TD! ABIL,6818,1,#9QQPQRGP,Tendangan Dewa,16000016,Mirror,6,9,Skeleton Barrel,11,14,Lava Hound,3,6,Skeleton Dragons,11,14,Rascals,11,14,Fisherman,3,6,Electro Spirit,11,14,Poison,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#CPVV02VC,RAMIRO ROBLES,6001,3,#LUUGCPU,Black Knights,16000009,Mirror,6,9,Skeleton Barrel,11,14,Lava Hound,3,6,Skeleton Dragons,11,14,Rascals,11,14,Fisherman,3,6,Electro Spirit,11,14,Poison,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual1v1,20220104T073859.000Z,,54000040,Legendary Arena,72000254,MirrorDeck_Friendly,,predefined,#UPC2UQG0,TD! ABIL,6818,0,#9QQPQRGP,Tendangan Dewa,16000016,Mirror,6,9,Wall Breakers,6,9,Royal Giant,11,14,Magic Archer,3,6,Bandit,3,6,Royal Ghost,3,6,Goblins,11,14,Barbarian Barrel,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2JGVQ98JY,SALVO87,5872,3,#2PQ8C920,INSANE WARRIORS,16000044,Mirror,6,9,Wall Breakers,6,9,Royal Giant,11,14,Magic Archer,3,6,Bandit,3,6,Royal Ghost,3,6,Goblins,11,14,Barbarian Barrel,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual1v1,20220104T073552.000Z,,54000040,Legendary Arena,72000066,Showdown_Ladder,,collection,#UPC2UQG0,TD! ABIL,6818,3,#9QQPQRGP,Tendangan Dewa,16000016,Golem,9,9,Night Witch,6,6,Elixir Collector,11,12,Minion Horde,14,14,Golden Knight,4,4,Clone,9,9,Skeleton Army,9,9,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#80JG8PCP9,[M/\D]saxibX,5317,0,#L20JPYGP,Антон Семёнов,16000107,Hog Rider,12,12,Zap,14,14,Goblin Barrel,9,9,Firecracker,12,14,Minions,11,14,Skeleton Army,5,9,Musketeer,9,12,Mega Knight,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T035952.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#UPC2UQG0,TD! ABIL,6785,3,#9QQPQRGP,Tendangan Dewa,16000016,Golem,9,9,Night Witch,6,6,Elixir Collector,11,12,Minion Horde,14,14,Golden Knight,4,4,Clone,9,9,Skeleton Army,9,9,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#P9P2GL8,❤Andres❤,6826,1,#9G2PVP0R,Team Legacy,16000012,Mega Minion,12,12,Golem,9,9,Lightning,9,9,Arrows,14,14,Electro Wizard,6,6,Tombstone,12,12,Prince,9,9,Golden Knight,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T035557.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#UPC2UQG0,TD! ABIL,6754,3,#9QQPQRGP,Tendangan Dewa,16000016,Golem,9,9,Night Witch,6,6,Elixir Collector,11,12,Minion Horde,14,14,Golden Knight,4,4,Clone,9,9,Skeleton Army,9,9,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8VLJCR2C,Skyzer,6776,1,#9CPV098R,Titan Warfare,16000156,Royal Giant,14,14,Skeleton King,4,4,Skeleton Army,9,9,Mother Witch,6,6,Fisherman,6,6,Fireball,12,12,Zappies,12,12,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T035149.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#UPC2UQG0,TD! ABIL,6723,2,#9QQPQRGP,Tendangan Dewa,16000016,Golem,9,9,Night Witch,6,6,Elixir Collector,11,12,Minion Horde,14,14,Golden Knight,4,4,Clone,9,9,Skeleton Army,9,9,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#200U8CULL,RoCaT,6740,0,#28V2QQ9C,Rocket's,16000166,Lava Hound,6,6,Arrows,14,14,Electro Dragon,9,9,Flying Machine,12,12,Skeleton Dragons,14,14,Tombstone,12,12,Barbarians,14,14,Miner,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T034825.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#UPC2UQG0,TD! ABIL,6697,3,#9QQPQRGP,Tendangan Dewa,16000016,Golem,9,9,Night Witch,6,6,Elixir Collector,11,12,Minion Horde,14,14,Golden Knight,4,4,Clone,9,9,Skeleton Army,9,9,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PLGPJG88,루네스,6658,1,#YVYLP9LP,COCACOLA/코카콜라,16000166,Prince,9,9,Giant,12,12,Dark Prince,9,9,Fireball,12,12,Miner,6,6,Zap,14,14,Electro Wizard,6,6,Mega Minion,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T034504.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#UPC2UQG0,TD! ABIL,6723,0,#9QQPQRGP,Tendangan Dewa,16000016,Golem,9,9,Night Witch,6,6,Elixir Collector,11,12,Minion Horde,14,14,Golden Knight,4,4,Clone,9,9,Skeleton Army,9,9,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8L020JLR0,iPhone,6764,1,,,,Graveyard,6,6,Ice Wizard,6,6,Knight,14,14,Baby Dragon,9,9,Poison,9,9,Tombstone,12,12,Barbarian Barrel,9,9,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T034150.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#UPC2UQG0,TD! ABIL,6754,1,#9QQPQRGP,Tendangan Dewa,16000016,Golem,9,9,Night Witch,6,6,Elixir Collector,11,12,Minion Horde,14,14,Golden Knight,4,4,Clone,9,9,Skeleton Army,9,9,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9082YULYP,焼き豆腐,6735,3,#PCYL99PQ,King of Knights,16000004,Electro Giant,9,9,Dark Prince,9,9,Baby Dragon,9,9,Mega Minion,12,12,Goblin Cage,12,12,Tornado,9,9,Lightning,9,9,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
