type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T180836.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#UPJ9UJU,Trainer Yisoh✨,6740,1,,,,Inferno Tower,12,12,Skeletons,14,14,Fire Spirit,14,14,Barbarian Barrel,9,9,Balloon,9,9,Lumberjack,6,6,Giant Snowball,14,14,Bats,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2L9222PJG,GRKMBLN,6708,2,#88PYJUR0,Atatürk 1881,16000030,Lava Hound,6,6,Mega Minion,12,12,Baby Dragon,9,9,Tombstone,12,12,Miner,6,6,Arrows,14,14,Flying Machine,12,12,Barbarians,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T160750.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#UPJ9UJU,Trainer Yisoh✨,6709,1,,,,Inferno Tower,12,12,Skeletons,14,14,Fire Spirit,14,14,Barbarian Barrel,9,9,Balloon,9,9,Lumberjack,6,6,Giant Snowball,14,14,Bats,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2QPGR0CV8,⚡️PS Rony,6728,0,#PV0V98LC,⚡PERÚ SQUAD⚡,16000177,Mega Knight,6,6,Dark Prince,9,9,Bandit,6,6,Inferno Dragon,6,6,Goblin Drill,9,9,Electro Wizard,6,6,Fireball,12,12,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T160348.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#UPJ9UJU,Trainer Yisoh✨,6676,2,,,,Inferno Tower,12,12,Skeletons,14,14,Fire Spirit,14,14,Barbarian Barrel,9,9,Balloon,9,9,Lumberjack,6,6,Giant Snowball,14,14,Bats,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2QQVLGVG2,★ToXICalDeaTH★,6719,1,,,,Giant,12,12,Sparky,6,6,Mini P.E.K.K.A,12,12,Arrows,14,14,Archer Queen,4,4,Bats,14,14,Skeleton Army,9,9,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T155941.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#UPJ9UJU,Trainer Yisoh✨,6704,0,,,,Inferno Tower,12,12,Skeletons,14,14,Fire Spirit,14,14,Barbarian Barrel,9,9,Balloon,9,9,Lumberjack,6,6,Giant Snowball,14,14,Bats,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2GQVGY298,TS I ⚡️Naldo⚡️,6727,3,#L2PRY8C,Los valientes,16000008,Miner,6,6,Dark Prince,9,9,Poison,9,9,Bandit,6,6,Bats,14,14,The Log,6,6,Electro Wizard,6,6,P.E.K.K.A,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T155606.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#UPJ9UJU,Trainer Yisoh✨,6676,1,,,,Inferno Tower,12,12,Skeletons,14,14,Fire Spirit,14,14,Barbarian Barrel,9,9,Balloon,9,9,Lumberjack,6,6,Giant Snowball,14,14,Bats,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2UGCC9UY,eck♥️,6659,0,#GULRQL9,ADYCTOS,16000107,The Log,6,6,Goblin Barrel,9,9,Knight,14,14,Skeleton Barrel,14,14,Dart Goblin,12,12,Tesla,14,14,Ice Spirit,14,14,Royal Delivery,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T155227.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#UPJ9UJU,Trainer Yisoh✨,6648,1,,,,Inferno Tower,12,12,Skeletons,14,14,Fire Spirit,14,14,Barbarian Barrel,9,9,Balloon,9,9,Lumberjack,6,6,Giant Snowball,14,14,Bats,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8J9RP9PV,MCcricri,6629,0,#9JJRCUUY,PDF Origins,16000029,Lumberjack,6,6,Fireball,12,12,Baby Dragon,9,9,Mega Minion,12,12,Zap,14,14,Tornado,9,9,Golem,9,9,Elite Barbarians,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T154807.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#UPJ9UJU,Trainer Yisoh✨,6618,1,,,,Inferno Tower,12,12,Skeletons,14,14,Fire Spirit,14,14,Barbarian Barrel,9,9,Balloon,9,9,Lumberjack,6,6,Giant Snowball,14,14,Bats,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9Q9YLPU2R,ATX-Redbul-yt,6618,0,#G0CPQ8V9,ATX LAVAPLAY,16000097,Lava Hound,6,6,Balloon,9,9,Inferno Dragon,6,6,Minions,14,14,Arrows,14,14,Fireball,12,12,Tombstone,12,12,Guards,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T144838.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#UPJ9UJU,Trainer Yisoh✨,6590,1,,,,Inferno Tower,12,12,Skeletons,14,14,Fire Spirit,14,14,Barbarian Barrel,9,9,Balloon,9,9,Lumberjack,6,6,Giant Snowball,14,14,Bats,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2LL2R2JVG,Prometheus,6573,0,#CGL0LQG,24/7,16000035,Skeleton Army,9,9,Hog Rider,12,12,Valkyrie,12,12,Prince,9,9,Lightning,9,9,Electro Wizard,6,6,Arrows,14,14,Furnace,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T144337.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#UPJ9UJU,Trainer Yisoh✨,6565,1,,,,Inferno Tower,12,12,Skeletons,14,14,Fire Spirit,14,14,Barbarian Barrel,9,9,Balloon,9,9,Lumberjack,6,6,Giant Snowball,14,14,Bats,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LLYR8L9YR,GS❤ggH,6517,0,#LV02L2VR,L.S.P,16000132,Electro Wizard,6,6,Fireball,12,12,Zap,14,14,Royal Ghost,6,6,Battle Ram,12,12,Magic Archer,6,6,P.E.K.K.A,9,9,Bandit,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T042655.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#UPJ9UJU,Trainer Yisoh✨,6595,0,,,,Inferno Tower,12,12,Skeletons,14,14,Fire Spirit,14,14,Barbarian Barrel,9,9,Balloon,9,9,Lumberjack,6,6,Giant Snowball,14,14,Bats,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#GVGGVJLV,エネルギーTAXON,6589,1,#9PCLLY0,ハンバーグ藤岡,16000153,Fireball,12,12,Prince,9,9,Mega Minion,12,12,Electro Wizard,6,6,Zap,14,14,Giant,12,12,Miner,6,6,Dark Prince,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
