type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
friendly,20220104T154630.000Z,,54000017,Master III,72000007,Friendly,,collection,#Y828VYJ0J,⭐UK｜Arnav⭐,6829,1,#P2J2J9Q,British Mortals,16000033,Inferno Dragon,3,6,Graveyard,3,6,Fireball,9,12,Valkyrie,9,12,Cannon Cart,6,9,Mortar,11,14,Arrows,11,14,Spear Goblins,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#RLQJVCCJL,技能skill,5000,0,,,,Tombstone,9,12,Poison,6,9,Barbarian Barrel,6,9,Knight,11,14,Tornado,6,9,Graveyard,3,6,Ice Wizard,3,6,Baby Dragon,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T154022.000Z,,54000017,Master III,72000007,Friendly,,collection,#Y828VYJ0J,⭐UK｜Arnav⭐,6829,1,#P2J2J9Q,British Mortals,16000033,Mega Knight,3,6,Cannon Cart,6,9,Archer Queen,1,4,Poison,6,9,Goblin Hut,9,12,Mega Minion,9,12,Miner,3,6,The Log,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#RLQJVCCJL,技能skill,5000,0,,,,Mega Knight,3,6,Miner,3,6,Prince,6,9,Bats,11,14,Zap,11,14,Musketeer,9,12,Wall Breakers,6,9,Arrows,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T153421.000Z,,54000012,Legendary Arena,72000007,Friendly,,collection,#Y828VYJ0J,⭐UK｜Arnav⭐,6829,0,#P2J2J9Q,British Mortals,16000033,Mega Knight,3,6,Giant Snowball,11,14,Poison,6,9,Elite Barbarians,11,14,Flying Machine,9,12,Zappies,9,12,Mother Witch,3,6,Royal Hogs,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#RLQJVCCJL,技能skill,5000,1,,,,Spear Goblins,11,14,Inferno Dragon,3,6,Graveyard,3,6,Cannon Cart,6,9,Mortar,11,14,Arrows,11,14,Fireball,9,12,Valkyrie,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T130235.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#Y828VYJ0J,⭐UK｜Arnav⭐,6804,1,#P2J2J9Q,British Mortals,16000033,Inferno Dragon,6,6,Graveyard,6,6,Fireball,12,12,Valkyrie,12,12,Cannon Cart,9,9,Mortar,14,14,Arrows,14,14,Spear Goblins,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Y2R2LP8UR,开心果~,6757,0,#R2GUP0,赤尾TRT,16000117,Royal Ghost,6,6,P.E.K.K.A,9,9,Electro Wizard,6,6,Fireball,12,12,Zap,14,14,Magic Archer,6,6,Battle Ram,12,12,Bandit,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T110344.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#Y828VYJ0J,⭐UK｜Arnav⭐,6774,1,#P2J2J9Q,British Mortals,16000033,Inferno Dragon,6,6,Graveyard,6,6,Fireball,12,12,Valkyrie,11,12,Cannon Cart,9,9,Mortar,14,14,Arrows,14,14,Spear Goblins,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2CYPV9UVL,goliat,6780,0,#2V2LRQLQ,IX Hispana,16000172,Inferno Dragon,6,6,Lumberjack,6,6,Balloon,9,9,Tornado,9,9,Baby Dragon,9,9,Bowler,9,9,Freeze,9,9,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T105655.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#Y828VYJ0J,⭐UK｜Arnav⭐,6742,2,#P2J2J9Q,British Mortals,16000033,Inferno Dragon,6,6,Graveyard,6,6,Fireball,12,12,Valkyrie,11,12,Cannon Cart,9,9,Mortar,14,14,Arrows,14,14,Spear Goblins,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2UV0PRR9R,Shaba,6770,1,,,,Electro Giant,9,9,Archer Queen,4,4,Skeletons,14,14,Lightning,9,9,Tornado,9,9,Goblin Cage,12,12,Bomber,14,14,Dark Prince,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T105138.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#Y828VYJ0J,⭐UK｜Arnav⭐,6767,0,#P2J2J9Q,British Mortals,16000033,Inferno Dragon,6,6,Graveyard,6,6,Fireball,12,12,Valkyrie,11,12,Cannon Cart,9,9,Mortar,14,14,Arrows,14,14,Spear Goblins,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#GPGPCQCP,NOIR♛,6824,1,#LVYJGYY8,Zermea Esports,16000158,P.E.K.K.A,9,9,Battle Ram,12,12,Fireball,12,12,Zap,14,14,Magic Archer,6,6,Electro Wizard,6,6,Bandit,6,6,Royal Ghost,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T104628.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#Y828VYJ0J,⭐UK｜Arnav⭐,6735,1,#P2J2J9Q,British Mortals,16000033,Inferno Dragon,6,6,Graveyard,6,6,Fireball,12,12,Valkyrie,11,12,Cannon Cart,9,9,Mortar,14,14,Arrows,14,14,Spear Goblins,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LY02RJUY,Dado9903,6760,0,#YV9P9P9Y,LE KAPRE,16000164,Skeleton King,4,4,Miner,6,6,Mortar,14,14,Fireball,12,12,Minion Horde,14,14,Spear Goblins,14,14,Bats,14,14,Skeleton Army,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T104050.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#Y828VYJ0J,⭐UK｜Arnav⭐,6760,1,#P2J2J9Q,British Mortals,16000033,Inferno Dragon,6,6,Graveyard,6,6,Fireball,12,12,Valkyrie,11,12,Cannon Cart,9,9,Mortar,14,14,Arrows,14,14,Spear Goblins,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Y90CL0PCQ,ふぃりったん,6808,2,#Y89VR8JL,Juvenile,16000040,Electro Wizard,6,6,Royal Ghost,6,6,Barbarian Barrel,9,9,Ram Rider,6,6,Lightning,9,9,Golden Knight,4,4,Giant Snowball,14,14,P.E.K.K.A,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T102511.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#Y828VYJ0J,⭐UK｜Arnav⭐,6729,1,#P2J2J9Q,British Mortals,16000033,Inferno Dragon,6,6,Graveyard,6,6,Fireball,12,12,Valkyrie,11,12,Cannon Cart,9,9,Mortar,14,14,Arrows,14,14,Spear Goblins,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2P8Q09R,FXPRO,6745,0,#8LV9PV82,Swiss Allstars,16000038,Skeleton Army,9,9,Witch,9,9,Fireball,12,12,Musketeer,12,12,Hog Rider,12,12,Giant,12,12,Valkyrie,12,12,Minion Horde,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
