type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
casual2v2,20220104T152942.000Z,,54000040,Legendary Arena,72000023,TeamVsTeamLadder,,collection,#GRRRCQ82,ابراهیم خوی,6329,1,#PU8GPUUC,بزرگان خوی,16000030,Witch,9,9,Barbarians,14,14,Bomber,14,14,Miner,6,6,Valkyrie,12,12,Musketeer,12,12,Elite Barbarians,14,14,Rocket,12,12,#Y8LRYYQQY,shadow-fiend,,1,#8RU0JYQ8,ارتش امام زمان,16000101,Golem,9,9,Night Witch,6,6,Lumberjack,6,6,Baby Dragon,9,9,Mega Minion,12,12,Barbarian Barrel,9,9,Tornado,9,9,Lightning,9,9,#V2QQ90UU,ADRYAN.,5281,0,#9P9VLUJV,Team Luque,16000074,Furnace,12,12,Freeze,8,9,Electro Wizard,6,6,Arrows,13,14,P.E.K.K.A,9,9,Ram Rider,6,6,Hog Rider,12,12,Ice Wizard,6,6,#22GVYV0CU,ZornGottes,,0,#YUUQC9J2,Drunk Dynasty,16000024,Mega Knight,6,6,Tesla,14,14,Dart Goblin,12,12,Valkyrie,12,12,Mini P.E.K.K.A,12,12,Goblin Gang,14,14,Ram Rider,6,6,Lightning,7,9
casual2v2,20220104T152628.000Z,,54000040,Legendary Arena,72000023,TeamVsTeamLadder,,collection,#Y8LRYYQQY,shadow-fiend,6765,1,#8RU0JYQ8,ارتش امام زمان,16000101,Golem,9,9,Night Witch,6,6,Lumberjack,6,6,Baby Dragon,9,9,Mega Minion,12,12,Barbarian Barrel,9,9,Tornado,9,9,Lightning,9,9,#GRRRCQ82,ابراهیم خوی,,1,#PU8GPUUC,بزرگان خوی,16000030,Witch,9,9,Barbarians,14,14,Bomber,14,14,Miner,6,6,Valkyrie,12,12,Musketeer,12,12,Elite Barbarians,14,14,Rocket,12,12,#LQ92VC8,fr4ncky,5934,2,#89GPJV20,WEED,16000077,Golem,9,9,Night Witch,6,6,Mega Minion,12,12,Baby Dragon,9,9,Fireball,12,12,Skeleton Army,9,9,Bomber,14,14,The Log,6,6,#GJU9QPVL,Babji,,2,#22VY09L2,Tripple Deuce,16000160,Musketeer,12,12,Prince,9,9,Zap,14,14,Minions,14,14,Hog Rider,12,12,Princess,6,6,Lumberjack,6,6,Skeleton Army,9,9
PvP,20220104T152240.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#Y8LRYYQQY,shadow-fiend,6735,2,#8RU0JYQ8,ارتش امام زمان,16000101,Golem,9,9,Night Witch,6,6,Lumberjack,6,6,Fireball,12,12,Arrows,14,14,Elite Barbarians,14,14,Mega Minion,12,12,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#U8JVJL9Q,Royale❤️Bait,6742,1,#LC9RYUGC,⭐Cash Only VE⭐,16000040,Archer Queen,4,4,Royal Hogs,12,12,Skeletons,14,14,Earthquake,12,12,Royal Delivery,14,14,Goblin Cage,12,12,Fire Spirit,14,14,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T140519.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#Y8LRYYQQY,shadow-fiend,6709,2,#8RU0JYQ8,ارتش امام زمان,16000101,Golem,9,9,Night Witch,6,6,Lumberjack,6,6,Fireball,12,12,Arrows,14,14,Elite Barbarians,14,14,Mega Minion,12,12,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#UURVYCLR,sarridoctor,6668,1,#QJJYY9,Drachmians,16000139,Mega Knight,6,6,Inferno Dragon,6,6,Ram Rider,6,6,Barbarian Barrel,9,9,Bandit,6,6,Archer Queen,4,4,Giant Snowball,14,14,Poison,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T135936.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#Y8LRYYQQY,shadow-fiend,6683,1,#8RU0JYQ8,ارتش امام زمان,16000101,Golem,9,9,Night Witch,6,6,Lumberjack,6,6,Fireball,12,12,Arrows,14,14,Elite Barbarians,14,14,Mega Minion,12,12,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8PQRUJC0P,amo,6642,0,#YLVQQYRG,木陰の庭園,16000136,Valkyrie,12,12,Goblin Barrel,9,9,Ice Spirit,14,14,Guards,9,9,Rocket,12,12,Tesla,14,14,The Log,5,6,Princess,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T135505.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#Y8LRYYQQY,shadow-fiend,6652,2,#8RU0JYQ8,ارتش امام زمان,16000101,Golem,9,9,Night Witch,6,6,Lumberjack,6,6,Fireball,12,12,Arrows,14,14,Elite Barbarians,14,14,Mega Minion,12,12,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8JQJGP8Y,Karrlos rabiA98,6664,1,#QJGCRLGL,@_carlosaibar_,16000172,Skeleton Dragons,14,14,Balloon,9,9,Zap,14,14,Inferno Dragon,6,6,Miner,6,6,Skeleton Army,9,9,Arrows,14,14,Lava Hound,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T135132.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#Y8LRYYQQY,shadow-fiend,6619,1,#8RU0JYQ8,ارتش امام زمان,16000101,Golem,9,9,Night Witch,6,6,Lumberjack,6,6,Fireball,12,12,Arrows,14,14,Elite Barbarians,14,14,Mega Minion,12,12,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2QRY908L8,いくえり#7,6654,0,#YUGPL9UP,本気出してるつもりです,16000128,Earthquake,12,12,Archer Queen,4,4,Royal Hogs,12,12,The Log,6,6,Royal Delivery,14,14,Skeletons,14,14,Fire Spirit,14,14,Goblin Cage,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T134755.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#Y8LRYYQQY,shadow-fiend,6652,0,#8RU0JYQ8,ارتش امام زمان,16000101,Golem,9,9,Night Witch,6,6,Baby Dragon,9,9,Bomber,14,14,Skeleton Dragons,14,14,Elite Barbarians,14,14,Tornado,9,9,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#CY82QGYV,AKA Leone,6610,1,#9QY9JG09,QLASH Sentry,16000020,Prince,9,9,Fireball,12,12,Zap,14,14,Arrows,14,14,Dark Prince,9,9,Mega Minion,12,12,Minions,14,14,Giant,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T134306.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#Y8LRYYQQY,shadow-fiend,6620,1,#8RU0JYQ8,ارتش امام زمان,16000101,Golem,9,9,Night Witch,6,6,Baby Dragon,9,9,Bomber,14,14,Skeleton Dragons,14,14,Elite Barbarians,14,14,Tornado,9,9,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8PRU0LCRC,arian,6654,0,#28YYLVPP,tabriz,16000026,Mega Knight,6,6,Hog Rider,12,12,Inferno Dragon,6,6,Bats,14,14,Bomber,14,14,Prince,9,9,Freeze,9,9,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T132413.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#Y8LRYYQQY,shadow-fiend,6649,0,#8RU0JYQ8,ارتش امام زمان,16000101,Golem,9,9,Lumberjack,6,6,Baby Dragon,9,9,Barbarian Barrel,9,9,Mega Minion,12,12,Electro Dragon,9,9,Cannon Cart,9,9,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PU0QL92L,PZ I Pluisboy,6657,1,#YCCGYRPY,Pluizers Jr,16000096,P.E.K.K.A,9,9,Electro Wizard,6,6,Battle Ram,12,12,Royal Ghost,6,6,Fireball,12,12,Archer Queen,4,4,Bandit,6,6,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
