type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T022252.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#Y8P02LPVV,dairon:v,6782,2,#GV8UQUU,尺ﾘЦ Team 龍,16000144,Lumberjack,6,6,Mega Knight,6,6,Giant Skeleton,9,9,Minion Horde,14,14,Skeleton Dragons,14,14,The Log,6,6,Ram Rider,6,6,Bandit,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PYP020V8,⚡pedi⚡,6766,1,#YVCVGJG9,KingOfTheColony,16000146,Lumberjack,6,6,Bandit,6,6,Archer Queen,4,4,Inferno Dragon,6,6,Dark Prince,9,9,Arrows,14,14,Ram Rider,6,6,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T021841.000Z,,54000011,Arena 12,72000254,MirrorDeck_Friendly,,predefined,#Y8P02LPVV,dairon:v,6782,1,#GV8UQUU,尺ﾘЦ Team 龍,16000144,Mirror,6,9,Wall Breakers,6,9,Ram Rider,3,6,Magic Archer,3,6,Bandit,3,6,Fisherman,3,6,Ice Spirit,11,14,Arrows,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#JYC02QGCC,Karla 7u7,3221,0,,,,Mirror,6,9,Wall Breakers,6,9,Ram Rider,3,6,Magic Archer,3,6,Bandit,3,6,Fisherman,3,6,Ice Spirit,11,14,Arrows,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T021121.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#Y8P02LPVV,dairon:v,6748,1,#GV8UQUU,尺ﾘЦ Team 龍,16000144,Lumberjack,6,6,Mega Knight,6,6,Giant Skeleton,9,9,Minion Horde,14,14,Skeleton Dragons,14,14,The Log,6,6,Ram Rider,6,6,Bandit,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2RC89GJ,TQ iAmJP,6802,0,#QU0LCRRR,KOI CLASH,16000039,Bomb Tower,12,12,Fireball,12,12,Magic Archer,6,6,Miner,6,6,Spear Goblins,14,14,Tornado,9,9,Valkyrie,12,12,Wall Breakers,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T020632.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#Y8P02LPVV,dairon:v,6719,3,#GV8UQUU,尺ﾘЦ Team 龍,16000144,Lumberjack,6,6,Mega Knight,6,6,Giant Skeleton,9,9,Minion Horde,14,14,Skeleton Dragons,14,14,The Log,6,6,Ram Rider,6,6,Bandit,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#L0089LUJC,Rodri❤️NoSkill,6714,1,,,,Lumberjack,6,6,Balloon,9,9,Tornado,9,9,Barbarian Barrel,9,9,Bowler,9,9,Electro Dragon,9,9,Inferno Dragon,6,6,Freeze,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T002552.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#Y8P02LPVV,dairon:v,6687,2,#GV8UQUU,尺ﾘЦ Team 龍,16000144,Lumberjack,6,6,Mega Knight,6,6,Giant Skeleton,9,9,Minion Horde,14,14,Skeleton Dragons,14,14,The Log,6,6,Ram Rider,6,6,Bandit,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PQGPYUP8,NBA YoungBoy,6717,0,#QUYURLRP,Tw:@MagicmanCR,16000170,Rascals,14,14,Guards,9,9,Fireball,12,12,The Log,6,6,Dart Goblin,12,12,Bats,14,14,Miner,6,6,Mortar,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220103T233829.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,7,eventDeck,#Y8P02LPVV,dairon:v,6687,3,#GV8UQUU,尺ﾘЦ Team 龍,16000144,Ram Rider,3,6,Bandit,3,6,Lumberjack,3,6,Mega Knight,3,6,The Log,3,6,Skeleton Dragons,11,14,Minion Horde,11,14,Giant Skeleton,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9UGLC08V0,김민형,5454,0,#L9C0LJV8,Tbird Hockey,16000011,Ram Rider,3,6,Magic Archer,3,6,Tesla,11,14,Mega Knight,3,6,Firecracker,11,14,Giant Snowball,11,14,Electro Wizard,3,6,Mirror,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220103T233546.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,6,eventDeck,#Y8P02LPVV,dairon:v,6687,3,#GV8UQUU,尺ﾘЦ Team 龍,16000144,Ram Rider,3,6,Bandit,3,6,Lumberjack,3,6,Mega Knight,3,6,The Log,3,6,Skeleton Dragons,11,14,Minion Horde,11,14,Giant Skeleton,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#GUVVQ2LU2,Rafacas896,5300,0,#88RRJCRP,Aguascalientes,16000029,Ram Rider,3,6,Bandit,3,6,Mega Knight,3,6,Barbarian Barrel,6,9,Poison,6,9,Electro Dragon,6,9,Giant Snowball,11,14,Inferno Dragon,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220103T233334.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,5,eventDeck,#Y8P02LPVV,dairon:v,6687,3,#GV8UQUU,尺ﾘЦ Team 龍,16000144,Ram Rider,3,6,Bandit,3,6,Lumberjack,3,6,Mega Knight,3,6,The Log,3,6,Skeleton Dragons,11,14,Minion Horde,11,14,Giant Skeleton,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9P0RR29JV,Lacaille,5684,1,#8PRQQQGV,ASİ/MAVİ,16000030,Ram Rider,3,6,Mirror,6,9,X-Bow,6,9,Tesla,11,14,Bats,11,14,Mini P.E.K.K.A,9,12,Skeleton Army,6,9,Electro Wizard,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220103T233111.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,4,eventDeck,#Y8P02LPVV,dairon:v,6687,2,#GV8UQUU,尺ﾘЦ Team 龍,16000144,Ram Rider,3,6,Bandit,3,6,Lumberjack,3,6,Mega Knight,3,6,The Log,3,6,Skeleton Dragons,11,14,Minion Horde,11,14,Giant Skeleton,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YQJGUQP9J,Boby,5133,0,#LGUGJQCR,Obsthändler,16000140,Ram Rider,3,6,Giant Snowball,11,14,Zappies,9,12,Archer Queen,1,4,Mega Knight,3,6,Fireball,9,12,Royal Ghost,3,6,Electro Wizard,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220103T232731.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,3,eventDeck,#Y8P02LPVV,dairon:v,6687,3,#GV8UQUU,尺ﾘЦ Team 龍,16000144,Ram Rider,3,6,Bandit,3,6,Lumberjack,3,6,Mega Knight,3,6,The Log,3,6,Skeleton Dragons,11,14,Minion Horde,11,14,Giant Skeleton,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Y088VJCLV,castañete9,5199,0,#QRUVU0R0,PETAzETAS,16000139,Ram Rider,3,6,Golden Knight,1,4,Princess,3,6,Skeleton Army,6,9,Balloon,6,9,Lumberjack,3,6,The Log,3,6,Fire Spirit,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
