type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T174407.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#YJ2GGY8J,푸네스 RAU,6731,1,#QVVV0JJP,C.A Champions,16000000,P.E.K.K.A,9,9,Ram Rider,6,6,Electro Wizard,6,6,Bandit,6,6,Lightning,9,9,Barbarian Barrel,9,9,Giant Snowball,14,14,Baby Dragon,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PC0RYPPQ2,"""Hes❤︎tia:)""",6710,0,#YULPQCJU,優しい麦茶,16000109,Mega Knight,6,6,Bandit,6,6,Royal Ghost,6,6,Archer Queen,4,4,Electro Spirit,14,14,Lightning,9,9,Giant Snowball,14,14,Ram Rider,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tournament,20220104T065710.000Z,,54000040,Legendary Arena,72000013,DraftModeInsane,,draft,#YJ2GGY8J,푸네스 RAU,8,2,#QVVV0JJP,C.A Champions,16000000,Royal Giant,11,14,Minion Horde,11,14,Witch,6,9,Royal Recruits,11,14,Royal Delivery,11,14,Spear Goblins,11,14,Minions,11,14,Cannon,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PG2JQRJR,Jesus,7,1,#LV9LJL2Q,tradeos chill,16000175,Rascals,11,14,Goblin Barrel,6,9,Goblin Gang,11,14,Arrows,11,14,Elixir Golem,9,12,Valkyrie,9,12,Ice Wizard,3,6,Goblin Drill,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tournament,20220104T065259.000Z,,54000040,Legendary Arena,72000013,DraftModeInsane,,draft,#YJ2GGY8J,푸네스 RAU,7,3,#QVVV0JJP,C.A Champions,16000000,Spear Goblins,11,14,Valkyrie,9,12,Fireball,9,12,Electro Spirit,11,14,Ice Golem,9,12,Zap,11,14,Royal Hogs,9,12,Wizard,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LYL9JR0GJ,StringyCave,3,1,#99JVLJQ8,México army 2,16000002,Firecracker,11,14,Giant,9,12,Barbarian Barrel,6,9,Lava Hound,3,6,Skeleton Army,6,9,Earthquake,9,12,Executioner,6,9,Goblins,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tournament,20220104T064852.000Z,,54000040,Legendary Arena,72000013,DraftModeInsane,,draft,#YJ2GGY8J,푸네스 RAU,6,3,#QVVV0JJP,C.A Champions,16000000,Royal Hogs,9,12,Minions,11,14,Witch,6,9,Poison,6,9,Ice Spirit,11,14,Elixir Collector,9,12,Fisherman,3,6,Elixir Golem,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PC0V2UPJP,✨❤DaViSiTo❤✨,3,0,#LPR9CLRU,V's,16000139,Miner,3,6,Mother Witch,3,6,Furnace,9,12,Goblin Gang,11,14,The Log,3,6,Hunter,6,9,Inferno Dragon,3,6,Goblin Drill,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tournament,20220104T064617.000Z,,54000040,Legendary Arena,72000013,DraftModeInsane,,draft,#YJ2GGY8J,푸네스 RAU,5,2,#QVVV0JJP,C.A Champions,16000000,Royal Giant,11,14,Royal Recruits,11,14,Zap,11,14,Spear Goblins,11,14,Dart Goblin,9,12,Goblin Hut,9,12,Earthquake,9,12,Mini P.E.K.K.A,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#JLQ0QUYR,jose_vr_,4,1,#QRVPP8QQ,Matoooola,16000165,Lumberjack,3,6,Fireball,9,12,Tombstone,9,12,Electro Dragon,6,9,Goblin Gang,11,14,Rocket,9,12,Golem,6,9,Goblin Drill,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tournament,20220104T064138.000Z,,54000040,Legendary Arena,72000013,DraftModeInsane,,draft,#YJ2GGY8J,푸네스 RAU,4,1,#QVVV0JJP,C.A Champions,16000000,Royal Hogs,9,12,Bandit,3,6,Cannon Cart,6,9,Mega Knight,3,6,Goblins,11,14,Giant Snowball,11,14,Elixir Golem,9,12,Archers,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#JYV0U080V,ALAN♥HATEツ,4,0,#Q8YU0LQG,AdrianLovers,16000122,Electro Wizard,3,6,Royal Recruits,11,14,Royal Delivery,11,14,Guards,6,9,Bowler,6,9,Goblin Gang,11,14,Ice Wizard,3,6,Giant,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tournament,20220104T063723.000Z,,54000040,Legendary Arena,72000013,DraftModeInsane,,draft,#YJ2GGY8J,푸네스 RAU,3,1,#QVVV0JJP,C.A Champions,16000000,Poison,6,9,Skeleton Army,6,9,Knight,11,14,Wall Breakers,6,9,Ice Wizard,3,6,Goblin Barrel,6,9,Golden Knight,1,4,Executioner,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#GC9CQCJ9,ハビエル❤️SNIPE,2,0,#Q99Y0Y8U,⚡⭐The Kings⭐⚡,16000024,Hunter,6,9,Archer Queen,1,4,Royal Ghost,3,6,Electro Wizard,3,6,Goblin Drill,6,9,Miner,3,6,Ice Golem,9,12,Lightning,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tournament,20220104T063342.000Z,,54000040,Legendary Arena,72000013,DraftModeInsane,,draft,#YJ2GGY8J,푸네스 RAU,2,3,#QVVV0JJP,C.A Champions,16000000,Goblin Hut,9,12,Fireball,9,12,Mega Minion,9,12,Dark Prince,6,9,Ice Spirit,11,14,Firecracker,11,14,Knight,11,14,Goblin Giant,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#JLPJU92U2,INQUSIDOR,,0,#LJ9V99V2,PayGang,16000024,Hog Rider,9,12,Royal Recruits,11,14,Electro Dragon,6,9,Skeleton Army,6,9,Wizard,9,12,Royal Delivery,11,14,Zap,11,14,X-Bow,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tournament,20220104T063135.000Z,,54000040,Legendary Arena,72000013,DraftModeInsane,,draft,#YJ2GGY8J,푸네스 RAU,1,3,#QVVV0JJP,C.A Champions,16000000,Dark Prince,6,9,Royal Delivery,11,14,Goblin Gang,11,14,Golem,6,9,Goblins,11,14,Inferno Dragon,3,6,Graveyard,3,6,Mega Minion,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#292VG2L9Y,andreipaul17,1,0,#LC992CQY,lo gremlins,16000168,Goblin Barrel,6,9,Ram Rider,3,6,Witch,6,9,Electro Spirit,11,14,Rascals,11,14,Ice Golem,9,12,Rocket,9,12,Magic Archer,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tournament,20220104T062837.000Z,,54000040,Legendary Arena,72000013,DraftModeInsane,,draft,#YJ2GGY8J,푸네스 RAU,,1,#QVVV0JJP,C.A Champions,16000000,Guards,6,9,Inferno Dragon,3,6,Miner,3,6,Tornado,6,9,Mortar,11,14,Goblin Drill,6,9,Zap,11,14,Archer Queen,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LJYCGULRG,蓋爾 上帝 (GaelGod),,0,#LY9CPUQP,excorpios,16000029,Golden Knight,1,4,Rocket,9,12,Rascals,11,14,Dark Prince,6,9,Earthquake,9,12,Wall Breakers,6,9,Bats,11,14,Goblin Gang,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
