type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T190142.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#YLGLJRUG,ĄƖ⚡ĘxÀɠƖąɖıąɬơŕ,6792,1,#LRUUCURY,AL✨Oldies™️✨,16000145,Fireball,12,12,Golden Knight,4,4,Fisherman,6,6,The Log,6,6,Royal Giant,14,14,Hunter,9,9,Electro Spirit,14,14,Spear Goblins,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#28V02YP0R,M.KHATTAB,6769,2,#P0PJPP2Q,iraq t.n.t ll,16000179,Giant,12,12,Inferno Dragon,6,6,Fireball,12,12,Witch,9,9,Graveyard,6,6,Skeleton Army,9,9,Dark Prince,9,9,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T185654.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#YLGLJRUG,ĄƖ⚡ĘxÀɠƖąɖıąɬơŕ,6761,1,#LRUUCURY,AL✨Oldies™️✨,16000145,Fireball,12,12,Golden Knight,4,4,Fisherman,6,6,The Log,6,6,Royal Giant,14,14,Hunter,9,9,Electro Spirit,14,14,Spear Goblins,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#P9PVVJ8VL,3hunna Nathan,6784,0,#L0V2VYQU,Team FX,16000029,Skeletons,14,14,Rocket,12,12,Archers,14,14,Electro Spirit,14,14,Knight,14,14,The Log,6,6,X-Bow,9,9,Tesla,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T185107.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#YLGLJRUG,ĄƖ⚡ĘxÀɠƖąɖıąɬơŕ,6733,1,#LRUUCURY,AL✨Oldies™️✨,16000145,Fireball,12,12,Golden Knight,4,4,Fisherman,6,6,The Log,6,6,Royal Giant,14,14,Hunter,9,9,Electro Spirit,14,14,Spear Goblins,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#VU2LQRC,Shadow786,6716,0,#8LGRVJ0C,Invicta,16000050,Cannon Cart,9,9,Mortar,14,14,Miner,6,6,Guards,9,9,Spear Goblins,14,14,The Log,6,6,Minion Horde,14,14,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T184631.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#YLGLJRUG,ĄƖ⚡ĘxÀɠƖąɖıąɬơŕ,6763,0,#LRUUCURY,AL✨Oldies™️✨,16000145,Fireball,12,12,Golden Knight,4,4,Fisherman,6,6,The Log,6,6,Royal Giant,14,14,Hunter,9,9,Electro Spirit,14,14,Spear Goblins,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2GQPC2C0G,Edward☠️TAMX,6756,1,#LVG8C8Q8,Team Alpha MX,16000029,Royal Hogs,12,12,Zappies,12,12,Royal Recruits,14,14,Arrows,14,14,Goblin Cage,12,12,Flying Machine,12,12,Fireball,12,12,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T160648.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#YLGLJRUG,ĄƖ⚡ĘxÀɠƖąɖıąɬơŕ,6730,2,#8902RQR,Gold's GYM,16000024,Fireball,12,12,Golden Knight,4,4,Fisherman,6,6,The Log,6,6,Royal Giant,14,14,Hunter,9,9,Electro Spirit,14,14,Spear Goblins,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8GUQJCGY,DartnDave,6768,1,#29GYYJYG,Fat Nug,16000076,Arrows,14,14,Tesla,14,14,Mirror,9,9,Valkyrie,12,12,Hog Rider,12,12,Freeze,9,9,Hunter,9,9,Skeletons,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T145003.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#YLGLJRUG,ĄƖ⚡ĘxÀɠƖąɖıąɬơŕ,6701,1,#28RR00P,Polonio,16000002,Fireball,12,12,Golden Knight,4,4,Fisherman,6,6,The Log,6,6,Royal Giant,14,14,Hunter,9,9,Electro Spirit,14,14,Spear Goblins,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PGV92J000,Trasi,6691,0,#Q2YPCQRC,Loving Day - 3部,16000108,Prince,9,9,Dark Prince,9,9,Bandit,6,6,Princess,6,6,Bats,14,14,Goblin Gang,14,14,Zap,14,14,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T140932.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#YLGLJRUG,ĄƖ⚡ĘxÀɠƖąɖıąɬơŕ,6669,2,#LRUUCURY,AL✨Oldies™️✨,16000145,Fireball,12,12,Golden Knight,4,4,Fisherman,6,6,The Log,6,6,Royal Giant,14,14,Hunter,9,9,Electro Spirit,14,14,Spear Goblins,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#28V02YP0R,M.KHATTAB,6696,1,,,,Giant,12,12,Inferno Dragon,6,6,Fireball,12,12,Witch,9,9,Graveyard,6,6,Skeleton Army,9,9,Dark Prince,9,9,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T140521.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#YLGLJRUG,ĄƖ⚡ĘxÀɠƖąɖıąɬơŕ,6637,1,#LRUUCURY,AL✨Oldies™️✨,16000145,Fireball,12,12,Golden Knight,4,4,Fisherman,6,6,The Log,6,6,Royal Giant,14,14,Hunter,9,9,Electro Spirit,14,14,Spear Goblins,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LQJ8C0,Delano,6671,0,#PQ009JV,LENDAS DO CLASH,16000020,Arrows,14,14,Tombstone,12,12,Barbarian Barrel,9,9,Freeze,9,9,Bowler,9,9,Electro Wizard,6,6,Inferno Dragon,6,6,Graveyard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T135657.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#YLGLJRUG,ĄƖ⚡ĘxÀɠƖąɖıąɬơŕ,6607,1,#LRUUCURY,AL✨Oldies™️✨,16000145,Fireball,12,12,Golden Knight,4,4,Fisherman,6,6,The Log,6,6,Royal Giant,14,14,Hunter,9,9,Electro Spirit,14,14,Spear Goblins,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YRRQUVG9,⭐️King⭐️Texas⚡️,6615,0,#P0LLG9RG,QLASH Eclipse,16000077,Bowler,9,9,Electro Giant,9,9,Lightning,9,9,Baby Dragon,9,9,Mega Minion,12,12,Tornado,9,9,Barbarian Barrel,9,9,Goblin Cage,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T135334.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#YLGLJRUG,ĄƖ⚡ĘxÀɠƖąɖıąɬơŕ,6577,1,#LRUUCURY,AL✨Oldies™️✨,16000145,Fireball,12,12,Golden Knight,4,4,Fisherman,6,6,The Log,6,6,Royal Giant,14,14,Hunter,9,9,Electro Spirit,14,14,Spear Goblins,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8CUJJ0RPV,ta2,6586,0,#PLG29YRJ,Moon Light,16000032,Dart Goblin,12,12,Goblin Barrel,9,9,Golden Knight,4,4,Prince,9,9,Princess,6,6,Rascals,14,14,Skeletons,14,14,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
