type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
challenge,20220104T170925.000Z,65000000,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,8,eventDeck,#YLVV0JPQ,EA Oker,6761,1,#LPY90GGJ,GG I CALVOS™️,16000154,Royal Delivery,11,14,Earthquake,9,12,Goblin Cage,9,12,Skeletons,11,14,The Log,3,6,Royal Hogs,9,12,Fire Spirit,11,14,Archer Queen,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#29YCPG89J,Smiley,5923,2,#RYPQVL,Indian Warriors,16000059,Lava Hound,3,6,Flying Machine,9,12,Skeleton Army,6,9,Fireball,9,12,Bats,11,14,Baby Dragon,6,9,Lumberjack,3,6,Clone,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T170607.000Z,65000000,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,7,eventDeck,#YLVV0JPQ,EA Oker,6761,1,#LPY90GGJ,GG I CALVOS™️,16000154,Royal Delivery,11,14,Earthquake,9,12,Goblin Cage,9,12,Skeletons,11,14,The Log,3,6,Royal Hogs,9,12,Fire Spirit,11,14,Archer Queen,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#R09CCRRR,Ay Yıldız Tim,5702,0,#9CUPCRPJ,+20 Dost Diyarı,16000030,Archer Queen,1,4,Royal Ghost,3,6,Mega Knight,3,6,Lightning,6,9,Ram Rider,3,6,Bandit,3,6,Giant Snowball,11,14,Electro Spirit,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T170247.000Z,65000000,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,6,eventDeck,#YLVV0JPQ,EA Oker,6761,1,#LPY90GGJ,GG I CALVOS™️,16000154,Royal Delivery,11,14,Earthquake,9,12,Goblin Cage,9,12,Skeletons,11,14,The Log,3,6,Royal Hogs,9,12,Fire Spirit,11,14,Archer Queen,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#898YL2PJP,.⚜️⚔️CuGa⚔️⚜️.,5334,0,#LLQ0LP09,Trash royale,16000096,Royal Giant,11,14,Archer Queen,1,4,Electro Spirit,11,14,Dark Prince,6,9,Lightning,6,9,Mega Minion,9,12,Fisherman,3,6,The Log,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T165710.000Z,65000000,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,6,eventDeck,#YLVV0JPQ,EA Oker,6761,0,#LPY90GGJ,GG I CALVOS™️,16000154,Archer Queen,1,4,Tombstone,9,12,Graveyard,3,6,Baby Dragon,6,9,Poison,6,9,Valkyrie,9,12,Tornado,6,9,Barbarian Barrel,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9CP0C8ULP,僕かぼちゃん,6314,1,,,,Prince,6,9,Goblin Barrel,6,9,Guards,6,9,The Log,3,6,Rascals,11,14,Dart Goblin,9,12,Princess,3,6,Lightning,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T165334.000Z,65000000,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,6,eventDeck,#YLVV0JPQ,EA Oker,6761,0,#LPY90GGJ,GG I CALVOS™️,16000154,Archer Queen,1,4,Tombstone,9,12,Graveyard,3,6,Baby Dragon,6,9,Poison,6,9,Valkyrie,9,12,Tornado,6,9,Barbarian Barrel,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8RVCPY2Y,GUALO,6024,1,#QC28CLGY,Gualo_Royale,16000033,The Log,3,6,Goblin Barrel,6,9,Dart Goblin,9,12,Rocket,9,12,Guards,6,9,Rascals,11,14,Princess,3,6,Dark Prince,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T164919.000Z,65000000,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,5,eventDeck,#YLVV0JPQ,EA Oker,6761,1,#LPY90GGJ,GG I CALVOS™️,16000154,Archer Queen,1,4,Tombstone,9,12,Graveyard,3,6,Baby Dragon,6,9,Poison,6,9,Valkyrie,9,12,Tornado,6,9,Barbarian Barrel,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#QRLU0JU8,<<•xSquare_8•>>,5773,0,#LL2URU,los mañikos,16000000,Skeleton Army,6,9,Skeleton King,1,4,Tombstone,9,12,Inferno Dragon,3,6,Graveyard,3,6,Fireball,9,12,Witch,6,9,Arrows,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T164603.000Z,65000000,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,4,eventDeck,#YLVV0JPQ,EA Oker,6761,1,#LPY90GGJ,GG I CALVOS™️,16000154,Archer Queen,1,4,Tombstone,9,12,Graveyard,3,6,Baby Dragon,6,9,Poison,6,9,Valkyrie,9,12,Tornado,6,9,Barbarian Barrel,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8CG00Y8G0,Deadpool,5378,0,#LQC0GLLY,cdv,16000137,Hunter,6,9,Fireball,9,12,Barbarian Barrel,6,9,Wall Breakers,6,9,Bandit,3,6,Miner,3,6,Goblin Gang,11,14,Mega Knight,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T164003.000Z,65000000,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,3,eventDeck,#YLVV0JPQ,EA Oker,6761,1,#LPY90GGJ,GG I CALVOS™️,16000154,Archer Queen,1,4,Tombstone,9,12,Graveyard,3,6,Baby Dragon,6,9,Poison,6,9,Valkyrie,9,12,Tornado,6,9,Barbarian Barrel,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9G2P9PRLG,ＣＲＡＺＹ ＨＵＬＫ•שטן•,6750,0,#LQ29RGCU,YouTube,16000012,Baby Dragon,6,9,Graveyard,3,6,Tornado,6,9,Golden Knight,1,4,Bowler,6,9,Electro Wizard,3,6,Inferno Dragon,3,6,Freeze,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T163451.000Z,65000000,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,2,eventDeck,#YLVV0JPQ,EA Oker,6761,1,#LPY90GGJ,GG I CALVOS™️,16000154,Archer Queen,1,4,Tombstone,9,12,Graveyard,3,6,Baby Dragon,6,9,Poison,6,9,Valkyrie,9,12,Tornado,6,9,Barbarian Barrel,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#RG0LJYURG,skill,5274,0,#QLG2GVQV,HASHIRA-様,16000137,Tesla,11,14,Mega Minion,9,12,Miner,3,6,The Log,3,6,Royal Delivery,11,14,Skeletons,11,14,Poison,6,9,Golden Knight,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T163130.000Z,65000000,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,1,eventDeck,#YLVV0JPQ,EA Oker,6761,1,#LPY90GGJ,GG I CALVOS™️,16000154,Archer Queen,1,4,Tombstone,9,12,Graveyard,3,6,Baby Dragon,6,9,Poison,6,9,Valkyrie,9,12,Tornado,6,9,Barbarian Barrel,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Y8YQRURV,HELL I GABBER,5966,0,#Q0QQ8PCR,Hell it up,16000056,Skeletons,11,14,Giant Snowball,11,14,Goblin Drill,6,9,Cannon Cart,6,9,Golden Knight,1,4,Royal Ghost,3,6,Magic Archer,3,6,Electro Wizard,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
