type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T153354.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#YP9QC80C,AntonioJ20,6696,1,#89RGR8,.#YouTeam#.,16000008,Tombstone,12,12,Knight,14,14,Barbarian Barrel,9,9,Tornado,9,9,Poison,9,9,Baby Dragon,9,9,Ice Wizard,6,6,Graveyard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9YLQVRL8C,ttakko,6683,0,#JP89UJ9,☆ OLD STAR ☆,16000039,Mega Knight,6,6,Zappies,12,12,Goblin Giant,9,9,Zap,14,14,Witch,9,9,Ram Rider,6,6,Arrows,14,14,Prince,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T153003.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#YP9QC80C,AntonioJ20,6663,1,#89RGR8,.#YouTeam#.,16000008,Tombstone,12,12,Knight,14,14,Barbarian Barrel,9,9,Tornado,9,9,Poison,9,9,Baby Dragon,9,9,Ice Wizard,6,6,Graveyard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2P8Q09R,FXPRO,6708,0,#8LV9PV82,Swiss Allstars,16000038,Skeleton Army,9,9,Witch,9,9,Fireball,12,12,Musketeer,12,12,Hog Rider,12,12,Giant,12,12,Valkyrie,12,12,Minion Horde,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T152514.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#YP9QC80C,AntonioJ20,6693,0,#89RGR8,.#YouTeam#.,16000008,Tombstone,12,12,Knight,14,14,Barbarian Barrel,9,9,Tornado,9,9,Poison,9,9,Baby Dragon,9,9,Ice Wizard,6,6,Graveyard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#P08YPYYGP,杜雷丝,6687,3,#82UU2Y2G,bbox达人三冠大本营,16000106,Royal Ghost,6,6,Bandit,6,6,Fireball,12,12,Ram Rider,6,6,Bats,14,14,Zap,14,14,Mega Knight,6,6,Archer Queen,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T152312.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#YP9QC80C,AntonioJ20,6724,1,#89RGR8,.#YouTeam#.,16000008,Tombstone,12,12,Knight,14,14,Barbarian Barrel,9,9,Tornado,9,9,Poison,9,9,Baby Dragon,9,9,Ice Wizard,6,6,Graveyard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9PG2Q82L,ND I WollkerYT,6712,3,#Q82P2JCJ,Community,16000169,Giant Snowball,14,14,Goblin Cage,12,12,Cannon Cart,9,9,Lightning,9,9,Electro Wizard,6,6,Ram Rider,6,6,Mega Knight,6,6,Golden Knight,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T151902.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#YP9QC80C,AntonioJ20,6695,1,#89RGR8,.#YouTeam#.,16000008,Tombstone,12,12,Knight,14,14,Barbarian Barrel,9,9,Tornado,9,9,Poison,9,9,Baby Dragon,9,9,Ice Wizard,6,6,Graveyard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#R2CVG09Y,Jelle,6693,0,#YGL9PU80,Troops Of War,16000161,Skeletons,14,14,Fire Spirit,14,14,Firecracker,14,14,Tesla,14,14,Earthquake,12,12,Hog Rider,12,12,The Log,6,6,Valkyrie,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T151329.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#YP9QC80C,AntonioJ20,6724,0,#89RGR8,.#YouTeam#.,16000008,Tombstone,12,12,Knight,14,14,Barbarian Barrel,9,9,Tornado,9,9,Poison,9,9,Baby Dragon,9,9,Ice Wizard,6,6,Graveyard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2JV8802J,sesik,6734,1,#Y09Q9C20,11○Hermanos⚔,16000146,Lava Hound,6,6,Tombstone,12,12,Miner,6,6,Arrows,14,14,Flying Machine,12,12,Guards,9,9,Mega Minion,12,12,Skeleton Dragons,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T150703.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#YP9QC80C,AntonioJ20,6692,1,#89RGR8,.#YouTeam#.,16000008,Tombstone,12,12,Knight,14,14,Barbarian Barrel,9,9,Tornado,9,9,Poison,9,9,Baby Dragon,9,9,Ice Wizard,6,6,Graveyard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#98R8GQ2,leon der große,6724,0,#LJLGUG8R,Twitter,16000108,Golem,9,9,Night Witch,6,6,Baby Dragon,9,9,Mega Minion,12,12,Skeletons,14,14,Lightning,9,9,Tornado,9,9,Elixir Collector,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T145524.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#YP9QC80C,AntonioJ20,6661,1,#89RGR8,.#YouTeam#.,16000008,Tombstone,12,12,Valkyrie,12,12,Barbarian Barrel,9,9,Tornado,9,9,Poison,9,9,Baby Dragon,9,9,Ice Wizard,6,6,Graveyard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2022P2R2Q,幽影战羊ツ,6682,0,,,,Electro Giant,9,9,Dark Prince,9,9,Baby Dragon,9,9,Skeletons,14,14,Tornado,8,9,Goblin Cage,12,12,Mega Minion,12,12,Lightning,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T142320.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#YP9QC80C,AntonioJ20,6629,1,#89RGR8,.#YouTeam#.,16000008,Tombstone,12,12,Valkyrie,12,12,Barbarian Barrel,9,9,Tornado,9,9,Poison,9,9,Baby Dragon,9,9,Ice Wizard,6,6,Graveyard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#VU2LQRC,Shadow786,6653,0,#8LGRVJ0C,Invicta,16000050,Mortar,14,14,Rascals,14,14,Fireball,12,12,Miner,6,6,Guards,9,9,Dart Goblin,12,12,Bats,14,14,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
riverRacePvP,20220104T141217.000Z,,54000040,Legendary Arena,72000268,CW_Battle_1v1,,collection,#YP9QC80C,AntonioJ20,6629,1,#89RGR8,.#YouTeam#.,16000008,Hog Rider,11,12,Valkyrie,12,12,Firecracker,13,14,Earthquake,11,12,Giant Snowball,13,14,Skeletons,13,14,Fire Spirit,13,14,Tesla,13,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2C2QJJYUP,rem,5478,2,#L00LYVPQ,iran 50 kings,16000003,Sparky,6,6,Goblin Giant,9,9,Dart Goblin,11,12,Electro Wizard,6,6,Mini P.E.K.K.A,12,12,Dark Prince,9,9,Rage,8,9,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
