type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
casual2v2,20220104T161724.000Z,,54000040,Legendary Arena,72000023,TeamVsTeamLadder,,collection,#YPU2LJ29,Ａｘｅｌ丨神性,6834,1,#LQ2JQ9G8,italian snipe,16000077,Bats,14,14,Zap,14,14,Arrows,14,14,Wall Breakers,9,9,Prince,9,9,Bandit,6,6,Mega Knight,6,6,Archer Queen,4,4,#GQ8Y9JRL,灵含,,1,#RQ8PP0,Asgard,16000043,Skeletons,10,14,Fire Spirit,11,14,Minions,12,14,Goblin Barrel,9,9,Baby Dragon,7,9,Valkyrie,11,12,Hog Rider,11,12,Balloon,6,9,#2YLJRP9U0,帅气的小小贤！,5380,2,#YY09QV9Y,京朝1642院,16000143,Goblin Gang,13,14,Valkyrie,11,12,Inferno Tower,11,12,Dart Goblin,11,12,Goblin Barrel,9,9,Furnace,11,12,Arrows,14,14,Princess,5,6,#Q28UJQV02,Giraffffe.,,2,#LL0QGVGR,条顿骑士团-2团,16000062,Arrows,14,14,P.E.K.K.A,8,9,Ram Rider,5,6,Electro Wizard,5,6,Furnace,11,12,Valkyrie,11,12,Cannon,12,14,Mirror,8,9
clanMate,20220104T161303.000Z,,54000013,Challenger II,72000007,Friendly,,collection,#YPU2LJ29,Ａｘｅｌ丨神性,6834,3,#LQ2JQ9G8,italian snipe,16000077,Bats,11,14,Zap,11,14,Arrows,11,14,Wall Breakers,6,9,Prince,6,9,Bandit,3,6,Mega Knight,3,6,Archer Queen,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#G2009LQU8,蓬頭垢面蓬頭垢面,5394,0,#LQ2JQ9G8,italian snipe,16000077,Skeletons,11,14,Fire Spirit,11,14,Cannon,11,14,Ice Golem,9,12,Fireball,9,12,Hog Rider,9,12,Musketeer,9,12,The Log,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual2v2,20220104T160826.000Z,,54000040,Legendary Arena,72000023,TeamVsTeamLadder,,collection,#G2009LQU8,蓬頭垢面蓬頭垢面,5394,1,#LQ2JQ9G8,italian snipe,16000077,Skeletons,9,14,Fire Spirit,9,14,Cannon,10,14,Ice Golem,7,12,Fireball,7,12,Hog Rider,10,12,Musketeer,8,12,The Log,3,6,#YPU2LJ29,Ａｘｅｌ丨神性,,1,#LQ2JQ9G8,italian snipe,16000077,Bandit,6,6,Wall Breakers,9,9,Zap,14,14,Bats,14,14,Arrows,14,14,Prince,9,9,Musketeer,12,12,Mega Knight,6,6,#CVJ2GGCV,edward,5419,0,#YJG0LLPQ,the yeets,16000178,Elite Barbarians,13,14,Spear Goblins,11,14,Skeletons,11,14,The Log,4,6,Knight,11,14,Electro Spirit,10,14,Bats,12,14,Goblin Gang,12,14,#9CC8CUUJJ,KK,,0,#99R8UG9L,Gulfnation ™️ 2,16000043,Mini P.E.K.K.A,10,12,Rocket,10,12,Freeze,5,9,Skeleton Army,7,9,Valkyrie,11,12,Hog Rider,11,12,Electro Wizard,6,6,P.E.K.K.A,9,9
clanMate,20220104T160302.000Z,,54000015,Master I,72000007,Friendly,,collection,#YPU2LJ29,Ａｘｅｌ丨神性,6834,1,#LQ2JQ9G8,italian snipe,16000077,Arrows,11,14,Prince,6,9,Minions,11,14,Zap,11,14,Giant,9,12,Dark Prince,6,9,Fireball,9,12,Mega Minion,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#P2C989LLQ,Baldehad,6103,0,#LQ2JQ9G8,italian snipe,16000077,Miner,3,6,Prince,6,9,Musketeer,9,12,Barbarian Barrel,6,9,Tesla,11,14,Dark Prince,6,9,Giant Snowball,11,14,Bandit,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual2v2,20220104T155507.000Z,,54000040,Legendary Arena,72000023,TeamVsTeamLadder,,collection,#YPU2LJ29,Ａｘｅｌ丨神性,6834,3,#LQ2JQ9G8,italian snipe,16000077,Bats,14,14,Zap,14,14,Arrows,14,14,Wall Breakers,9,9,Prince,9,9,Bandit,6,6,Mega Knight,6,6,Archer Queen,4,4,#G2009LQU8,蓬頭垢面蓬頭垢面,,3,#LQ2JQ9G8,italian snipe,16000077,Electro Spirit,12,14,The Log,3,6,Wizard,12,12,Balloon,8,9,Ram Rider,4,6,Rage,5,9,Elite Barbarians,14,14,Mega Knight,4,6,#P9JC88LPY,Antey,5379,0,#92GGRRGY,PLA¥ BO¥,16000044,Skeleton Barrel,13,14,Knight,13,14,Earthquake,11,12,Rocket,11,12,Arrows,13,14,Tesla,14,14,Hunter,9,9,Firecracker,14,14,#82L08J229,Nova I Sub-Zero,,0,#YUQJ08PU,Fênix,16000002,Hog Rider,11,12,Tesla,14,14,Valkyrie,11,12,Ice Wizard,5,6,Fire Spirit,12,14,Ice Spirit,12,14,Earthquake,11,12,The Log,5,6
PvP,20220104T154719.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#YPU2LJ29,Ａｘｅｌ丨神性,6806,1,#LQ2JQ9G8,italian snipe,16000077,Bandit,6,6,Wall Breakers,9,9,Zap,14,14,Bats,14,14,Arrows,14,14,Prince,9,9,Musketeer,12,12,Mega Knight,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#UJJULGCG,门神Soloman,6788,0,#Q9UG8RJP,抖音B站:门神soloman,16000128,Mega Knight,6,6,Bandit,6,6,Royal Ghost,6,6,Ram Rider,6,6,Archer Queen,4,4,Electro Spirit,14,14,Giant Snowball,14,14,Lightning,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual2v2,20220104T152855.000Z,,54000040,Legendary Arena,72000023,TeamVsTeamLadder,,collection,#YPU2LJ29,Ａｘｅｌ丨神性,6806,3,#LQ2JQ9G8,italian snipe,16000081,Bats,14,14,Zap,14,14,Arrows,14,14,Wall Breakers,9,9,Prince,9,9,Miner,6,6,Mega Knight,6,6,Archer Queen,4,4,#JG0YJVJJ,Nissio,,3,#9LQQ9UP0,Hammer™,16000165,Barbarian Barrel,9,9,Electro Spirit,13,14,Zappies,12,12,Goblin Cage,12,12,Fireball,12,12,Flying Machine,12,12,Royal Hogs,12,12,Royal Recruits,14,14,#GGU8CPGU,Risher,5455,1,#RCLP2R,Amateurs Army™,16000029,Inferno Tower,12,12,Hog Rider,12,12,Musketeer,12,12,Zap,14,14,Minion Horde,14,14,Spear Goblins,14,14,Fireball,12,12,Valkyrie,12,12,#28YGYJ0Q9,MadaraV2⚡,,1,#Q0PPJ0UR,objectif TOP,16000016,Knight,14,14,Fireball,12,12,The Log,6,6,Skeleton Army,9,9,Princess,6,6,Goblin Barrel,9,9,Inferno Tower,12,12,Goblin Gang,14,14
casual2v2,20220104T151501.000Z,,54000040,Legendary Arena,72000023,TeamVsTeamLadder,,collection,#YPU2LJ29,Ａｘｅｌ丨神性,6806,1,#LQ2JQ9G8,italian snipe,16000081,Bats,14,14,Zap,14,14,Arrows,14,14,Wall Breakers,9,9,Ram Rider,6,6,Miner,6,6,Mega Knight,6,6,Archer Queen,4,4,#PLUYU8CQ,ASTRO,,1,#YJUY0JJG,SHENRONS,16000122,Golden Knight,4,4,Lumberjack,6,6,Inferno Dragon,6,6,Freeze,9,9,Balloon,9,9,Bowler,9,9,Electro Dragon,9,9,Tornado,9,9,#2LC822QQR,Hisoka,5458,2,#88JQUQQV,CHILE ROYALE!,16000028,Balloon,9,9,Goblin Drill,9,9,Mirror,9,9,Princess,6,6,Inferno Dragon,6,6,Mega Knight,6,6,Dark Prince,9,9,Electro Wizard,6,6,#2QCRLCPCG,vlasovaalena,,2,#YQQY8R2Q,АЛЯСКА,16000122,Zap,14,14,Minions,14,14,The Log,6,6,Hog Rider,12,12,Skeleton Army,9,9,Bowler,9,9,Fireball,12,12,Electro Wizard,6,6
casual2v2,20220104T150539.000Z,,54000040,Legendary Arena,72000023,TeamVsTeamLadder,,collection,#JLCY28RG,Elite Bomber,5424,2,#LQ2JQ9G8,italian snipe,16000081,X-Bow,6,9,Cannon Cart,6,9,Tesla,14,14,Earthquake,9,12,Skeletons,12,14,Ice Wizard,3,6,Fire Spirit,13,14,The Log,5,6,#YPU2LJ29,Ａｘｅｌ丨神性,,2,#LQ2JQ9G8,italian snipe,16000081,Bats,14,14,Zap,14,14,Arrows,14,14,Wall Breakers,9,9,Prince,9,9,Miner,6,6,Mega Knight,6,6,Archer Queen,4,4,#LJ89V00P9,Zombie Girl,5309,1,,,,Royal Giant,14,14,Fireball,10,12,Goblin Gang,13,14,Zap,12,14,Royal Ghost,6,6,Archer Queen,2,4,Mini P.E.K.K.A,11,12,Baby Dragon,8,9,#9R89Y28Y,с@ня,,1,#LYGJ2YVP,#ZhiveBelarus,16000061,Lumberjack,4,6,Bandit,4,6,Giant Skeleton,9,9,Wizard,11,12,Minions,14,14,Zap,14,14,Electro Wizard,4,6,Valkyrie,11,12
casual2v2,20220104T145523.000Z,,54000040,Legendary Arena,72000023,TeamVsTeamLadder,,collection,#JLCY28RG,Elite Bomber,5424,1,#LQ2JQ9G8,italian snipe,16000081,Valkyrie,12,12,Hog Rider,12,12,The Log,5,6,Fireball,12,12,Fire Spirit,13,14,Firecracker,13,14,Skeletons,12,14,Tesla,14,14,#YPU2LJ29,Ａｘｅｌ丨神性,,1,#LQ2JQ9G8,italian snipe,16000081,Bats,14,14,Zap,14,14,Arrows,14,14,Wall Breakers,9,9,Prince,9,9,Miner,6,6,Mega Knight,6,6,Archer Queen,4,4,#PCJQLJUYG,焼き鳥亭,5623,2,,,,Mega Knight,6,6,Skeleton Barrel,13,14,Goblin Gang,14,14,Fireball,12,12,Inferno Dragon,6,6,Firecracker,13,14,Tornado,8,9,Valkyrie,12,12,#PGJPV8Y28,ixotabale,,2,#9J0YJGQL,AMOS DEL RAP,16000144,Hog Rider,12,12,Bandit,6,6,Minions,13,14,Zap,14,14,Fireball,11,12,P.E.K.K.A,9,9,Musketeer,12,12,Baby Dragon,9,9
