type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
casual2v2,20220104T154822.000Z,,54000040,Legendary Arena,72000023,TeamVsTeamLadder,,collection,#YPYLL8QGY,lord,6765,3,#LCURJV,Jurassic CH,16000060,Mega Knight,6,6,Fisherman,6,6,Goblin Barrel,9,9,Firecracker,14,14,Electro Wizard,6,6,Skeleton Army,9,9,Arrows,14,14,Dark Prince,9,9,#20UUPQYJY,કเㄤเมક,,3,#LCURJV,Jurassic CH,16000060,Mega Knight,4,6,Fisherman,4,6,Goblin Barrel,8,9,Firecracker,14,14,Electro Wizard,5,6,Skeleton Army,8,9,Arrows,14,14,Dark Prince,8,9,#GC2CPLYU,◯²,5332,0,#CL90GV9,Dragon Malay,16000024,Zap,13,14,Guards,8,9,Princess,6,6,Ice Wizard,6,6,Mega Minion,11,12,Dark Prince,9,9,Hog Rider,12,12,Fireball,12,12,#C9U0PPVJV,jijijija,,0,#L0YUQQJ0,Hender,16000101,Hog Rider,12,12,Barbarian Barrel,9,9,Ice Spirit,12,14,Mini P.E.K.K.A,12,12,The Log,6,6,Mirror,9,9,Zap,14,14,Rocket,9,12
casual2v2,20220104T144334.000Z,,54000040,Legendary Arena,72000023,TeamVsTeamLadder,,collection,#L0GL890RL,❤Ely_Boon❤,5886,0,#Y080RYJ8,Fondue suisse,16000060,Skeletons,14,14,Balloon,9,9,The Log,6,6,Tesla,14,14,Giant Snowball,14,14,Miner,6,6,Valkyrie,12,12,Ice Wizard,6,6,#YPYLL8QGY,lord,,0,#LCURJV,Jurassic CH,16000060,Ram Rider,6,6,Mega Knight,6,6,Fisherman,6,6,Lightning,8,9,Electro Wizard,6,6,Mother Witch,6,6,Dark Prince,9,9,Arrows,14,14,#2LG9QJUC2,Астарот,5647,1,#LU0J90Q0,Misheliita,16000012,Dark Prince,9,9,Witch,9,9,Electro Dragon,9,9,Mega Knight,6,6,Bandit,6,6,Royal Ghost,5,6,Fireball,12,12,Mother Witch,6,6,#PGYVR0QV,Colchicine,,1,#YV9PCVRQ,terra,16000027,Arrows,14,14,Mirror,9,9,Valkyrie,12,12,Elite Barbarians,14,14,Flying Machine,12,12,Rage,7,9,Golden Knight,4,4,Electro Wizard,6,6
casual2v2,20220104T144019.000Z,,54000040,Legendary Arena,72000023,TeamVsTeamLadder,,collection,#YPYLL8QGY,lord,6765,1,#LCURJV,Jurassic CH,16000060,Ram Rider,6,6,Mega Knight,6,6,Fisherman,6,6,Lightning,8,9,Electro Wizard,6,6,Mother Witch,6,6,Dark Prince,9,9,Arrows,14,14,#L0GL890RL,❤Ely_Boon❤,,1,#Y080RYJ8,Fondue suisse,16000060,Skeletons,14,14,Balloon,9,9,The Log,6,6,Tesla,14,14,Giant Snowball,14,14,Miner,6,6,Valkyrie,12,12,Ice Wizard,6,6,#YPYLC8LV,AmzLiz,5516,0,#YV0QV2VJ,Super League,16000012,Archer Queen,2,4,Tesla,14,14,Princess,6,6,Zap,14,14,Fireball,12,12,Hog Rider,12,12,Mega Knight,6,6,Knight,14,14,#2GG222UPL,마카농,,0,#900QG98,(주)아재,16000024,Mini P.E.K.K.A,12,12,Dart Goblin,12,12,Firecracker,14,14,Earthquake,12,12,Furnace,12,12,Hog Rider,12,12,Fire Spirit,14,14,Skeletons,10,14
PvP,20220104T143629.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#YPYLL8QGY,lord,6733,1,#LCURJV,Jurassic CH,16000060,Mega Knight,6,6,Fisherman,6,6,Goblin Barrel,9,9,Firecracker,14,14,Electro Wizard,6,6,Skeleton Army,9,9,Arrows,14,14,Dark Prince,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8U00GYJP,NZT LEMON,6759,0,#PYG0JVVJ,canarios arkano,16000172,Magic Archer,6,6,Ram Rider,6,6,Archer Queen,4,4,Fire Spirit,14,14,Earthquake,12,12,Goblin Cage,12,12,The Log,6,6,Royal Delivery,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T143233.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#YPYLL8QGY,lord,6701,2,#LCURJV,Jurassic CH,16000060,Mega Knight,6,6,Fisherman,6,6,Goblin Barrel,9,9,Firecracker,14,14,Electro Wizard,6,6,Skeleton Army,9,9,Arrows,14,14,Dark Prince,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8PYUP0R,$$ Leo $$,6729,1,#L2C2L8PP,SGRIGLIATONA,16000081,Lava Hound,6,6,Lightning,9,9,Minions,14,14,Mega Minion,12,12,Skeleton Army,9,9,Balloon,9,9,Arrows,14,14,Barbarians,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T142822.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#YPYLL8QGY,lord,6665,1,#LCURJV,Jurassic CH,16000060,Mega Knight,6,6,Fisherman,6,6,Goblin Barrel,9,9,Firecracker,14,14,Electro Wizard,6,6,Skeleton Army,9,9,Arrows,14,14,Dark Prince,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#P0L92GLU2,カメさん,6744,0,#LP90G9Q2,Last Resort,16000097,Poison,9,9,Tombstone,12,12,Ice Wizard,6,6,Baby Dragon,9,9,Tornado,9,9,Valkyrie,12,12,Barbarian Barrel,9,9,Graveyard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T142315.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#YPYLL8QGY,lord,6691,0,#LCURJV,Jurassic CH,16000060,Mega Knight,6,6,Fisherman,6,6,Goblin Barrel,9,9,Firecracker,14,14,Electro Wizard,6,6,Skeleton Army,9,9,Arrows,14,14,Dark Prince,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#80PJPGYG9,りく,6734,1,#LJYQ9L2U,枯渇クラン,16000154,Tesla,14,14,Goblin Barrel,9,9,Rocket,12,12,Valkyrie,12,12,Skeletons,14,14,The Log,6,6,Electro Spirit,14,14,Princess,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T141841.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#YPYLL8QGY,lord,6719,0,#LCURJV,Jurassic CH,16000060,Mega Knight,6,6,Fisherman,6,6,Goblin Barrel,9,9,Firecracker,14,14,Electro Wizard,6,6,Skeleton Army,9,9,Arrows,14,14,Dark Prince,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#88YG280YR,Luvexy,6731,1,#LP9UYCUG,GLOBAL PLAYERS,16000076,Royal Delivery,14,14,Dart Goblin,12,12,Princess,6,6,The Log,6,6,Inferno Tower,12,12,Goblin Barrel,9,9,Skeleton Army,9,9,Valkyrie,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T190528.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#YPYLL8QGY,lord,6691,1,#LCURJV,Jurassic CH,16000060,Mega Knight,6,6,Fisherman,6,6,Goblin Barrel,9,9,Firecracker,14,14,Electro Wizard,6,6,Skeleton Army,9,9,Arrows,14,14,Dark Prince,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#CJRGGCC8,JUNIOR,6674,0,#P828R2G2,CRG eSports,16000162,Prince,9,9,Spear Goblins,14,14,Fireball,12,12,Goblin Giant,9,9,Bandit,6,6,Dark Prince,9,9,Bats,14,14,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T190154.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#YPYLL8QGY,lord,6665,1,#LCURJV,Jurassic CH,16000060,Mega Knight,6,6,Fisherman,6,6,Goblin Barrel,9,9,Firecracker,14,14,Electro Wizard,6,6,Skeleton Army,9,9,Arrows,14,14,Dark Prince,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#828JPJQU8,Takasugi,6629,0,#QC8GR09Q,we love c0c,16000098,Archers,14,14,Skeletons,14,14,Tesla,14,14,Fireball,12,12,Electro Spirit,14,14,Knight,14,14,X-Bow,9,9,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T185729.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#YPYLL8QGY,lord,6634,1,#LCURJV,Jurassic CH,16000060,Mega Knight,6,6,Fisherman,6,6,Goblin Barrel,9,9,Firecracker,14,14,Electro Wizard,6,6,Skeleton Army,9,9,Arrows,14,14,Dark Prince,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#QC2GV02J,alpee36?,6647,0,#P2J8V89L,Zizi Festif,16000078,Goblin Drill,9,9,Fire Spirit,14,14,Skeletons,14,14,Valkyrie,12,12,The Log,6,6,Tesla,14,14,Fireball,12,12,Firecracker,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T185159.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#YPYLL8QGY,lord,6603,1,#LCURJV,Jurassic CH,16000060,Mega Knight,6,6,Fisherman,6,6,Goblin Barrel,9,9,Firecracker,14,14,Electro Wizard,6,6,Skeleton Army,9,9,Arrows,14,14,Dark Prince,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#JYG9C9GQ,FR-AXEL,6617,0,#28C82PU,Ad Gloriam,16000040,Electro Wizard,6,6,Bowler,9,9,Elite Barbarians,14,14,Hog Rider,12,12,Mega Minion,11,12,Fireball,12,12,Ice Golem,11,12,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T184804.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#YPYLL8QGY,lord,6572,1,#LCURJV,Jurassic CH,16000060,Mega Knight,6,6,Fisherman,6,6,Goblin Barrel,9,9,Firecracker,14,14,Electro Wizard,6,6,Skeleton Army,9,9,Arrows,14,14,Dark Prince,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Q089QYVL,ZaHoo,6589,0,#LYJGRV9L,88:an,16000160,Goblin Gang,14,14,Goblin Barrel,9,9,Rocket,12,12,Princess,6,6,Ice Spirit,14,14,Valkyrie,12,12,The Log,6,6,Inferno Tower,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
