type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
challenge,20220104T183344.000Z,65000000,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,1,eventDeck,#YRRQUVG9,⭐️King⭐️Texas⚡️,6619,1,#LG9LUGYU,Full focus,16000107,Mega Minion,9,12,Royal Delivery,11,14,Bowler,6,9,Executioner,6,9,Freeze,6,9,Dark Prince,6,9,Tornado,6,9,Graveyard,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8RJCYCYU,CHEEKY FINGER,5267,0,#2Q0J0G8,PUNK IPA,16000152,Electro Spirit,11,14,Ram Rider,3,6,Lightning,6,9,Archer Queen,1,4,Royal Ghost,3,6,Mega Knight,3,6,Giant Snowball,11,14,Bandit,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T183035.000Z,65000000,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,0,eventDeck,#YRRQUVG9,⭐️King⭐️Texas⚡️,6619,1,#LG9LUGYU,Full focus,16000107,Mega Minion,9,12,Royal Delivery,11,14,Bowler,6,9,Executioner,6,9,Freeze,6,9,Dark Prince,6,9,Tornado,6,9,Graveyard,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#22GQVQ8,ChXnChX,5645,0,#LP8R9QPY,Skeleton Army,16000029,Lava Hound,3,6,Tombstone,9,12,Arrows,11,14,Balloon,6,9,Guards,6,9,Baby Dragon,6,9,Mega Minion,9,12,Fireball,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual2v2,20220104T182709.000Z,,54000001,Arena 1,72000023,TeamVsTeamLadder,,collection,#YRRQUVG9,⭐️King⭐️Texas⚡️,6619,0,#LG9LUGYU,Full focus,16000107,Bowler,9,9,Electro Giant,9,9,Lightning,9,9,Baby Dragon,9,9,Mega Minion,12,12,Tornado,9,9,Barbarian Barrel,9,9,Goblin Cage,12,12,#RUG0Y29UC,DoFla OP,,0,#LG9LUGYU,Full focus,16000107,Knight,1,14,Archers,1,14,Minions,1,14,Arrows,2,14,Fireball,1,12,Giant,1,12,Musketeer,1,12,Mini P.E.K.K.A,2,12,#CUP8PLQR0,hotvirgin,83,3,#QVCC2VQV,foot lovers,16000049,Knight,2,14,Archers,4,14,Minions,3,14,Arrows,3,14,Goblins,3,14,Spear Goblins,2,14,Musketeer,2,12,Mini P.E.K.K.A,1,12,#2JQPRG0JR,koray.58,,3,#QVCC2VQV,foot lovers,16000049,Hog Rider,11,12,Zap,13,14,Elite Barbarians,13,14,Electro Wizard,4,6,Executioner,8,9,Lumberjack,4,6,Bomber,13,14,Baby Dragon,8,9
PvP,20220104T182554.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#YRRQUVG9,⭐️King⭐️Texas⚡️,6650,0,#P0LLG9RG,QLASH Eclipse,16000077,Bowler,9,9,Electro Giant,9,9,Lightning,9,9,Baby Dragon,9,9,Mega Minion,12,12,Tornado,9,9,Barbarian Barrel,9,9,Goblin Cage,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#88JGRLPVR,DesseRT<*>,6629,1,#9QCUPCY0,NordicAlliance™,16000168,Miner,6,6,Musketeer,12,12,Giant Snowball,14,14,Ice Golem,12,12,Balloon,9,9,Skeletons,14,14,The Log,6,6,Bomb Tower,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T175616.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#YRRQUVG9,⭐️King⭐️Texas⚡️,6677,1,#P0LLG9RG,QLASH Eclipse,16000077,Mega Minion,12,12,Dark Prince,9,9,Tornado,9,9,Freeze,9,9,Executioner,9,9,Bowler,9,9,Graveyard,6,6,Royal Delivery,13,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8PVV28U8,Trainer跟Vigo跟,6705,2,#8YQ9LPPV,Undiscovered™,16000077,Elixir Golem,12,12,Inferno Dragon,6,6,Arrows,14,14,Elite Barbarians,14,14,Electro Dragon,9,9,Heal Spirit,12,12,Rage,9,9,Battle Healer,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T174916.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#YRRQUVG9,⭐️King⭐️Texas⚡️,6708,0,#P0LLG9RG,QLASH Eclipse,16000077,Bowler,9,9,Electro Giant,9,9,Lightning,9,9,Baby Dragon,9,9,Mega Minion,12,12,Tornado,9,9,Barbarian Barrel,9,9,Goblin Cage,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8YLYRYUYG,Matias❤️Cony,6685,1,#YU0YJ02Q,LOS GUERREROS Z,16000044,Barbarian Barrel,9,9,Balloon,9,9,Tornado,9,9,Freeze,9,9,Electro Dragon,9,9,Lumberjack,6,6,P.E.K.K.A,9,9,Baby Dragon,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T174350.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#YRRQUVG9,⭐️King⭐️Texas⚡️,6742,0,#P0LLG9RG,QLASH Eclipse,16000077,Mega Minion,12,12,Dark Prince,9,9,Tornado,9,9,Freeze,9,9,Executioner,9,9,Bowler,9,9,Graveyard,6,6,Royal Delivery,13,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#89C9PJLPY,nazarenoxd,6690,1,#8CLRLU82,Patagonia ARG 2,16000028,Sparky,6,6,Valkyrie,12,12,Bandit,6,6,X-Bow,9,9,Executioner,9,9,Knight,14,14,Electro Wizard,6,6,Tesla,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T173949.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#YRRQUVG9,⭐️King⭐️Texas⚡️,6716,1,#P0LLG9RG,QLASH Eclipse,16000077,Mega Minion,12,12,Dark Prince,9,9,Tornado,9,9,Freeze,9,9,Executioner,9,9,Bowler,9,9,Graveyard,6,6,Royal Delivery,13,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2UG99CQ28,Gabriel Ian2001,6674,0,#9YY990C2,ELITE BRASIL,16000123,Prince,9,9,Dark Prince,9,9,Goblin Barrel,9,9,Dart Goblin,12,12,Rascals,14,14,Skeleton Barrel,14,14,Princess,6,6,The Log,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T173617.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#YRRQUVG9,⭐️King⭐️Texas⚡️,6747,1,#P0LLG9RG,QLASH Eclipse,16000077,Bowler,9,9,Electro Giant,9,9,Lightning,9,9,Baby Dragon,9,9,Mega Minion,12,12,Tornado,9,9,Barbarian Barrel,9,9,Goblin Cage,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2CYJYU0Y,MrLag,6734,2,#R2JLL0,Acid Flux,16000005,Battle Ram,12,12,P.E.K.K.A,9,9,Poison,9,9,Bandit,6,6,Electro Wizard,6,6,Royal Ghost,6,6,Zap,14,14,Archer Queen,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T173043.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#YRRQUVG9,⭐️King⭐️Texas⚡️,6770,0,#P0LLG9RG,QLASH Eclipse,16000077,Bowler,9,9,Electro Giant,9,9,Lightning,9,9,Baby Dragon,9,9,Mega Minion,12,12,Tornado,9,9,Barbarian Barrel,9,9,Goblin Cage,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PJ8RJPRPR,I Love X-Bow❤,6847,1,#Q998V20Y,Insta/Twitter,16000108,Tesla,14,14,Archers,14,14,X-Bow,9,9,Fireball,12,12,Skeletons,14,14,Electro Spirit,14,14,Knight,14,14,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
