type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
friendly,20220104T154236.000Z,,54000017,Master III,72000007,Friendly,,collection,#YUGJ2CPPQ,最強のメガナイトwb使いエース,6729,1,#Q8LGV2YC,クラン対戦2したいの会,16000128,Earthquake,9,12,Archer Queen,1,4,Royal Hogs,9,12,The Log,3,6,Royal Delivery,11,14,Skeletons,11,14,Fire Spirit,11,14,Tombstone,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#G0CVQQC0V,パンダのパンだ！,5256,0,#Q8LGV2YC,クラン対戦2したいの会,16000128,Royal Recruits,11,14,The Log,3,6,Zappies,9,12,Arrows,11,14,Flying Machine,9,12,Goblin Cage,9,12,Electro Spirit,11,14,Royal Hogs,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T153748.000Z,,54000017,Master III,72000007,Friendly,,collection,#YUGJ2CPPQ,最強のメガナイトwb使いエース,6729,0,#Q8LGV2YC,クラン対戦2したいの会,16000128,Elixir Collector,9,12,Barbarian Barrel,6,9,Ice Golem,9,12,Bandit,3,6,Royal Ghost,3,6,Elite Barbarians,11,14,Three Musketeers,9,12,Heal Spirit,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#G0CVQQC0V,パンダのパンだ！,5256,1,#Q8LGV2YC,クラン対戦2したいの会,16000128,Giant Skeleton,6,9,Wall Breakers,6,9,Barbarian Barrel,6,9,Firecracker,11,14,Dark Prince,6,9,Bats,11,14,The Log,3,6,Fireball,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T153354.000Z,,54000017,Master III,72000007,Friendly,,collection,#YUGJ2CPPQ,最強のメガナイトwb使いエース,6729,2,#Q8LGV2YC,クラン対戦2したいの会,16000128,Fire Spirit,11,14,Zap,11,14,Minions,11,14,Wall Breakers,6,9,Mega Knight,3,6,Hunter,6,9,Golden Knight,1,4,Miner,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#G0CVQQC0V,パンダのパンだ！,5256,0,#Q8LGV2YC,クラン対戦2したいの会,16000128,Dark Prince,6,9,Prince,6,9,Lumberjack,3,6,Tornado,6,9,Giant Snowball,11,14,Ice Golem,9,12,Ice Spirit,11,14,Executioner,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T153001.000Z,,54000017,Master III,72000007,Friendly,,collection,#YUGJ2CPPQ,最強のメガナイトwb使いエース,6729,1,#Q8LGV2YC,クラン対戦2したいの会,16000128,Electro Spirit,11,14,Knight,11,14,Ice Wizard,3,6,Earthquake,9,12,Tornado,6,9,Rocket,9,12,Tesla,11,14,Skeletons,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#G0CVQQC0V,パンダのパンだ！,5256,0,#Q8LGV2YC,クラン対戦2したいの会,16000128,Hog Rider,9,12,Valkyrie,9,12,Firecracker,11,14,Tesla,11,14,Ice Spirit,11,14,Skeletons,11,14,Earthquake,9,12,The Log,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T152526.000Z,,54000017,Master III,72000007,Friendly,,collection,#YUGJ2CPPQ,最強のメガナイトwb使いエース,6729,0,#Q8LGV2YC,クラン対戦2したいの会,16000128,Electro Spirit,11,14,Knight,11,14,Ice Wizard,3,6,Earthquake,9,12,Tornado,6,9,Rocket,9,12,Tesla,11,14,Skeletons,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#G0CVQQC0V,パンダのパンだ！,5256,1,#Q8LGV2YC,クラン対戦2したいの会,16000128,Mega Knight,3,6,Spear Goblins,11,14,Inferno Dragon,3,6,Goblin Gang,11,14,Skeleton Barrel,11,14,Bats,11,14,Miner,3,6,Zap,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T151955.000Z,,54000017,Master III,72000007,Friendly,,collection,#YUGJ2CPPQ,最強のメガナイトwb使いエース,6729,1,#Q8LGV2YC,クラン対戦2したいの会,16000128,Electro Spirit,11,14,Knight,11,14,Ice Wizard,3,6,Earthquake,9,12,Tornado,6,9,Rocket,9,12,Tesla,11,14,Skeletons,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#G0CVQQC0V,パンダのパンだ！,5256,0,#Q8LGV2YC,クラン対戦2したいの会,16000128,Mega Knight,3,6,Miner,3,6,Prince,6,9,Arrows,11,14,Bats,11,14,Wall Breakers,6,9,Musketeer,9,12,Zap,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T151505.000Z,,54000017,Master III,72000007,Friendly,,collection,#YUGJ2CPPQ,最強のメガナイトwb使いエース,6729,1,#Q8LGV2YC,クラン対戦2したいの会,16000128,The Log,3,6,Archers,11,14,Fireball,9,12,Tesla,11,14,X-Bow,6,9,Knight,11,14,Skeletons,11,14,Electro Spirit,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#G0CVQQC0V,パンダのパンだ！,5256,0,#Q8LGV2YC,クラン対戦2したいの会,16000128,Mega Knight,3,6,Ram Rider,3,6,Musketeer,9,12,Inferno Dragon,3,6,Bats,11,14,Dark Prince,6,9,Zap,11,14,Lightning,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T125455.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#YUGJ2CPPQ,最強のメガナイトwb使いエース,6701,1,#Q8LGV2YC,クラン対戦2したいの会,16000128,Mega Knight,6,6,Wall Breakers,9,9,Bats,14,14,Musketeer,12,12,Prince,9,9,Golden Knight,4,4,Miner,6,6,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#R9JVLCGQ8,Shockra,6684,0,#LR0JLQRU,YT ShockraCr,16000110,The Log,6,6,Archers,14,14,Fireball,12,12,Tesla,14,14,X-Bow,9,9,Knight,14,14,Skeletons,14,14,Electro Spirit,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T124936.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#YUGJ2CPPQ,最強のメガナイトwb使いエース,6730,1,#Q8LGV2YC,クラン対戦2したいの会,16000128,Mega Knight,6,6,Wall Breakers,9,9,Bats,14,14,Musketeer,12,12,Prince,9,9,Golden Knight,4,4,Miner,6,6,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#90QCVRRGR,Snow⛄️ ™️,6740,2,#LPURR99V,Sentinels,16000044,Lava Hound,6,6,Balloon,9,9,Tombstone,12,12,Skeleton Dragons,14,14,Mega Minion,12,12,Fireball,12,12,Barbarians,14,14,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T124550.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#YUGJ2CPPQ,最強のメガナイトwb使いエース,6761,0,#Q8LGV2YC,クラン対戦2したいの会,16000128,Mega Knight,6,6,Wall Breakers,9,9,Bats,14,14,Musketeer,12,12,Prince,9,9,Golden Knight,4,4,Miner,6,6,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#JV8VUJQ,Champ to Be,6749,1,#YYPJVLLQ,BloodWest,16000168,Earthquake,12,12,Archer Queen,4,4,Royal Hogs,12,12,The Log,6,6,Royal Delivery,14,14,Skeletons,14,14,Fire Spirit,14,14,Tombstone,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
