type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
friendly,20220104T091618.000Z,,54000017,Master III,72000007,Friendly,,collection,#YUJ2V0LY,EL Lucas,6749,0,#QRLQ9C8U,@sxrrano12 gvng,16000032,The Log,3,6,Archer Queen,1,4,Royal Hogs,9,12,Royal Delivery,11,14,Skeletons,11,14,Bomb Tower,9,12,Ice Spirit,11,14,Earthquake,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2VVR2UQGP,CRCｌXAVI9,6623,1,#9V29PVQV,Kingdom Hearts™,16000123,Baby Dragon,6,9,Tornado,6,9,Barbarian Hut,9,12,Electro Dragon,6,9,Elixir Golem,9,12,Battle Healer,9,12,Barbarian Barrel,6,9,Heal Spirit,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T091214.000Z,,54000017,Master III,72000007,Friendly,,collection,#YUJ2V0LY,EL Lucas,6749,0,#QRLQ9C8U,@sxrrano12 gvng,16000032,Bats,11,14,Dart Goblin,9,12,Goblin Gang,11,14,Barbarian Barrel,6,9,Rascals,11,14,Fireball,9,12,Mortar,11,14,Miner,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2VVR2UQGP,CRCｌXAVI9,6623,1,#9V29PVQV,Kingdom Hearts™,16000123,Hog Rider,9,12,Archer Queen,1,4,The Log,3,6,Bomb Tower,9,12,Guards,6,9,Fire Spirit,11,14,Knight,11,14,Earthquake,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T090828.000Z,,54000017,Master III,72000007,Friendly,,collection,#YUJ2V0LY,EL Lucas,6749,2,#QRLQ9C8U,@sxrrano12 gvng,16000032,Inferno Dragon,3,6,Lumberjack,3,6,Balloon,6,9,Tornado,6,9,Freeze,6,9,Electro Dragon,6,9,Bowler,6,9,Barbarian Barrel,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2VVR2UQGP,CRCｌXAVI9,6623,0,#9V29PVQV,Kingdom Hearts™,16000123,Archer Queen,1,4,Magic Archer,3,6,Battle Ram,9,12,Barbarian Barrel,6,9,Heal Spirit,9,12,Elite Barbarians,11,14,Bandit,3,6,Royal Ghost,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T084447.000Z,,54000012,Legendary Arena,72000007,Friendly,,collection,#YUJ2V0LY,EL Lucas,6749,1,#QRLQ9C8U,@sxrrano12 gvng,16000032,Lava Hound,3,6,Baby Dragon,6,9,Lumberjack,3,6,Fireball,9,12,Flying Machine,9,12,Clone,6,9,Bats,11,14,Skeleton Army,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#QPVRUR8R,lautaro_YT,5279,0,#Q9CPG2R2,Sxrrano12 Gvng2,16000032,Spear Goblins,11,14,Wall Breakers,6,9,Magic Archer,3,6,Tornado,6,9,Fireball,9,12,Miner,3,6,Valkyrie,9,12,Bomb Tower,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T081321.000Z,,54000049,Legendary Arena,72000194,Draft_Competitive,,draftCompetitive,#YUJ2V0LY,EL Lucas,6749,2,#QRLQ9C8U,@sxrrano12 gvng,16000032,Tombstone,9,12,Golem,6,9,Mega Minion,9,12,Tornado,6,9,Miner,3,6,Lightning,6,9,Barbarian Hut,9,12,Electro Dragon,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#QPVRUR8R,lautaro_YT,5306,1,#LCYUQG2Q,los anachuchus,16000095,Heal Spirit,9,12,Wall Breakers,6,9,Firecracker,11,14,Zap,11,14,Royal Ghost,3,6,Fireball,9,12,Tesla,11,14,Magic Archer,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T080552.000Z,,54000012,Legendary Arena,72000007,Friendly,,collection,#YUJ2V0LY,EL Lucas,6749,1,#QRLQ9C8U,@sxrrano12 gvng,16000032,Spear Goblins,11,14,Wall Breakers,6,9,Magic Archer,3,6,Tornado,6,9,Fireball,9,12,Miner,3,6,Valkyrie,9,12,Bomb Tower,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YGYGQ00R2,Bauti Rey,5208,0,#QRLQ9C8U,@sxrrano12 gvng,16000032,Tesla,11,14,Witch,6,9,The Log,3,6,Valkyrie,9,12,Goblin Barrel,6,9,Fireball,9,12,Hog Rider,9,12,Bats,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T074045.000Z,,54000012,Legendary Arena,72000007,Friendly,,collection,#YUJ2V0LY,EL Lucas,6749,1,#QRLQ9C8U,@sxrrano12 gvng,16000032,Spear Goblins,11,14,Wall Breakers,6,9,Magic Archer,3,6,Tornado,6,9,Fireball,9,12,Miner,3,6,Valkyrie,9,12,Bomb Tower,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2L9RPRPU8,antrax,5233,0,#LV0QPYVV,LPS ROYALE,16000136,Minion Horde,11,14,Electro Wizard,3,6,Bowler,6,9,Lumberjack,3,6,The Log,3,6,Balloon,6,9,Bandit,3,6,Wizard,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T073349.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#YUJ2V0LY,EL Lucas,6720,1,#QRLQ9C8U,@sxrrano12 gvng,16000032,Ice Golem,12,12,Barbarian Barrel,9,9,Hunter,9,9,Bandit,6,6,Heal Spirit,12,12,Royal Hogs,12,12,Three Musketeers,12,12,Royal Ghost,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2RGJ288VY,Zeozya,6714,0,#L0PC2RY0,Opponents,16000157,Earthquake,12,12,Valkyrie,12,12,Firecracker,14,14,Tesla,14,14,Fire Spirit,14,14,Skeletons,14,14,The Log,6,6,Hog Rider,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T072837.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#YUJ2V0LY,EL Lucas,6747,0,#QRLQ9C8U,@sxrrano12 gvng,16000032,Ice Golem,12,12,Barbarian Barrel,9,9,Hunter,9,9,Bandit,6,6,Heal Spirit,12,12,Royal Hogs,12,12,Three Musketeers,12,12,Royal Ghost,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#R2GV0Q9C,Dominican CR☠️,6779,1,#LQ82RJQ2,nerf al minero,16000108,Barbarian Barrel,9,9,Dark Prince,9,9,Royal Hogs,12,12,Bats,14,14,Mega Knight,6,6,Electro Spirit,14,14,Archer Queen,4,4,Lightning,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T071916.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#YUJ2V0LY,EL Lucas,6721,1,#QRLQ9C8U,@sxrrano12 gvng,16000032,Ice Golem,12,12,Barbarian Barrel,9,9,Hunter,9,9,Bandit,6,6,Heal Spirit,12,12,Royal Hogs,12,12,Three Musketeers,12,12,Royal Ghost,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8U29C8RY8,Adly,6679,0,#9C2YR8UV,Q8Team EG,16000003,Mega Knight,6,6,Miner,6,6,Inferno Dragon,6,6,Electro Wizard,6,6,Bandit,6,6,Bats,14,14,Zap,14,14,Spear Goblins,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
