type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T120854.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#YVYCJQRY0,GS❤️御风似神行,6699,2,#99G0VYU,无与伦比,16000165,Mega Knight,6,6,Princess,6,6,Goblin Barrel,9,9,Skeleton Army,9,9,Prince,9,9,Dart Goblin,12,12,Royal Giant,14,14,Bats,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#20CPCYL09,Moritz,6740,1,#QQQUP2R,#Ehrensache,16000004,Royal Recruits,14,14,Zappies,12,12,Goblin Cage,12,12,Royal Hogs,12,12,Fireball,12,12,Flying Machine,12,12,Arrows,14,14,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T120459.000Z,,54000012,Legendary Arena,72000007,Friendly,,collection,#YVYCJQRY0,GS❤️御风似神行,6699,2,#99G0VYU,无与伦比,16000165,Mega Knight,3,6,Ram Rider,3,6,Bandit,3,6,Dark Prince,6,9,Inferno Dragon,3,6,Electro Wizard,3,6,Zap,11,14,Fireball,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#RLGGY0L8J,GDJshadow,5184,0,#QQ20J9J8,亦箫营,16000077,Princess,3,6,Mega Knight,3,6,Skeleton Army,6,9,Royal Giant,11,14,Goblin Barrel,6,9,Prince,6,9,Bats,11,14,Dart Goblin,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T120125.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#YVYCJQRY0,GS❤️御风似神行,6668,3,#99G0VYU,无与伦比,16000165,Mega Knight,6,6,Princess,6,6,Goblin Barrel,9,9,Skeleton Army,9,9,Prince,9,9,Dart Goblin,12,12,Royal Giant,14,14,Bats,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8L9PR098,You,6691,2,#Y99UPL,Muslim Brothers,16000004,Lava Hound,6,6,Tombstone,12,12,Skeleton Dragons,14,14,Arrows,14,14,Lightning,9,9,Mega Minion,12,12,Barbarians,14,14,Balloon,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T115717.000Z,,54000017,Master III,72000007,Friendly,,collection,#YVYCJQRY0,GS❤️御风似神行,6668,3,#99G0VYU,无与伦比,16000165,Mega Knight,3,6,Inferno Dragon,3,6,Miner,3,6,Skeleton Barrel,11,14,Goblin Gang,11,14,Spear Goblins,11,14,Bats,11,14,Zap,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#GCUJ8GR9Y,陈伟霆,5416,0,#QQ20J9J8,亦箫营,16000077,Skeleton Army,6,9,Princess,3,6,Goblin Barrel,6,9,Mirror,6,9,Clone,6,9,Rage,6,9,Rocket,9,12,Dart Goblin,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T115505.000Z,,54000013,Challenger II,72000007,Friendly,,collection,#YVYCJQRY0,GS❤️御风似神行,6668,2,#99G0VYU,无与伦比,16000165,Royal Recruits,11,14,Golden Knight,1,4,Royal Hogs,9,12,Goblin Cage,9,12,Flying Machine,9,12,Zappies,9,12,Fireball,9,12,Arrows,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#GCUJ8GR9Y,陈伟霆,5416,0,#QQ20J9J8,亦箫营,16000077,Skeleton Army,6,9,Princess,3,6,Goblin Barrel,6,9,Mirror,6,9,Clone,6,9,Rage,6,9,Rocket,9,12,Dart Goblin,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T115146.000Z,,54000017,Master III,72000007,Friendly,,collection,#YVYCJQRY0,GS❤️御风似神行,6668,3,#99G0VYU,无与伦比,16000165,Elixir Golem,9,12,Battle Healer,9,12,Barbarian Hut,9,12,Heal Spirit,9,12,Electro Dragon,6,9,Baby Dragon,6,9,Tornado,6,9,Barbarian Barrel,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#GCUJ8GR9Y,陈伟霆,5416,0,#QQ20J9J8,亦箫营,16000077,Skeleton Army,6,9,Princess,3,6,Goblin Barrel,6,9,Mirror,6,9,Clone,6,9,Rage,6,9,Rocket,9,12,Dart Goblin,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T114954.000Z,,54000013,Challenger II,72000007,Friendly,,collection,#YVYCJQRY0,GS❤️御风似神行,6668,1,#99G0VYU,无与伦比,16000165,Miner,3,6,Dark Prince,6,9,Guards,6,9,Minion Horde,11,14,Furnace,9,12,Inferno Tower,9,12,Fireball,9,12,The Log,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#GCUJ8GR9Y,陈伟霆,5416,0,#QQ20J9J8,亦箫营,16000077,Royal Recruits,11,14,Mirror,6,9,Royal Hogs,9,12,Mega Knight,3,6,Electro Wizard,3,6,Tesla,11,14,Arrows,11,14,Mini P.E.K.K.A,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T114612.000Z,,54000013,Challenger II,72000007,Friendly,,collection,#YVYCJQRY0,GS❤️御风似神行,6668,2,#99G0VYU,无与伦比,16000165,Mega Knight,3,6,Miner,3,6,Royal Ghost,3,6,Archer Queen,1,4,Prince,6,9,Wall Breakers,6,9,Bats,11,14,Zap,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#GCUJ8GR9Y,陈伟霆,5416,1,#QQ20J9J8,亦箫营,16000077,Royal Recruits,11,14,Fisherman,3,6,Royal Hogs,9,12,Mega Knight,3,6,Electro Wizard,3,6,Tesla,11,14,Arrows,11,14,Mini P.E.K.K.A,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T114140.000Z,,54000013,Challenger II,72000007,Friendly,,collection,#YVYCJQRY0,GS❤️御风似神行,6668,2,#99G0VYU,无与伦比,16000165,Mega Knight,3,6,Ram Rider,3,6,Bandit,3,6,Dark Prince,6,9,Inferno Dragon,3,6,Electro Wizard,3,6,Zap,11,14,Fireball,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#GCUJ8GR9Y,陈伟霆,5416,1,#QQ20J9J8,亦箫营,16000077,Prince,6,9,Elite Barbarians,11,14,Mother Witch,3,6,Skeleton Army,6,9,Royal Giant,11,14,Royal Recruits,11,14,Princess,3,6,Inferno Dragon,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T111604.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#YVYCJQRY0,GS❤️御风似神行,6636,3,#99G0VYU,无与伦比,16000165,Mega Knight,6,6,Princess,6,6,Goblin Barrel,9,9,Skeleton Army,9,9,Prince,9,9,Dart Goblin,12,12,Royal Giant,14,14,Bats,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#QP8GC0LV,hicham,6670,0,#JUGLL8,FC GROOTEGAST,16000098,Royal Giant,14,14,Fisherman,6,6,Archer Queen,4,4,Mother Witch,6,6,Fireball,12,12,Electro Spirit,14,14,Dark Prince,9,9,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
