type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T011740.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#YYJRPRQ8J,The Goat,6785,1,#89RGLQPU,THE CAMELS,16000024,Valkyrie,12,12,Skeleton Barrel,14,14,Goblin Barrel,9,9,Wall Breakers,9,9,Tesla,14,14,Firecracker,14,14,Goblin Gang,14,14,Skeleton Army,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#28Y0UVGCV,Adripc04,6737,0,#9P9Y8VPL,TeamExigence,16000162,Royal Giant,14,14,Royal Recruits,14,14,Electro Wizard,6,6,Valkyrie,12,12,Fisherman,6,6,The Log,6,6,Goblin Hut,12,12,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T011337.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#YYJRPRQ8J,The Goat,6758,1,#89RGLQPU,THE CAMELS,16000024,Valkyrie,12,12,Skeleton Barrel,14,14,Goblin Barrel,9,9,Wall Breakers,9,9,Tesla,14,14,Firecracker,14,14,Goblin Gang,14,14,Skeleton Army,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2L002UGPQ,FREEZER❄™,6726,0,#QP0JGG8Q,Twitter,16000168,Bowler,9,9,Inferno Dragon,6,6,Tornado,9,9,Baby Dragon,9,9,Valkyrie,12,12,Graveyard,6,6,Electro Wizard,6,6,Freeze,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T010942.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#YYJRPRQ8J,The Goat,6774,0,#89RGLQPU,THE CAMELS,16000024,Valkyrie,12,12,Skeleton Barrel,14,14,Goblin Barrel,9,9,Wall Breakers,9,9,Tesla,14,14,Firecracker,14,14,Goblin Gang,14,14,Skeleton Army,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#290VGG28,Pedro™️,6941,1,#LCU09QL8,BisTuRi,16000021,Archer Queen,4,4,The Log,6,6,Hog Rider,12,12,Knight,14,14,Skeletons,14,14,Bomb Tower,12,12,Fire Spirit,14,14,Earthquake,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T010322.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#YYJRPRQ8J,The Goat,6737,1,#89RGLQPU,THE CAMELS,16000024,Valkyrie,12,12,Skeleton Barrel,14,14,Goblin Barrel,9,9,Wall Breakers,9,9,Tesla,14,14,Firecracker,14,14,Goblin Gang,14,14,Skeleton Army,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8PGU0R8JR,Ouahleouff❤️,6827,0,#LVQUJQG2,GOTAGANG,16000097,Mega Knight,6,6,Electro Wizard,6,6,Arrows,14,14,Inferno Dragon,6,6,The Log,6,6,Miner,6,6,Bandit,6,6,Bats,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T005928.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#YYJRPRQ8J,The Goat,6772,0,#89RGLQPU,THE CAMELS,16000024,Valkyrie,12,12,Skeleton Barrel,14,14,Goblin Barrel,9,9,Wall Breakers,9,9,Tesla,14,14,Firecracker,14,14,Goblin Gang,14,14,Skeleton Army,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9G2PUJPLC,Vishal,6710,1,#8GUU028G,Indian Savages,16000059,Fisherman,6,6,Lightning,9,9,Hunter,9,9,Balloon,9,9,Electro Wizard,6,6,Mega Knight,6,6,Arrows,14,14,Dark Prince,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T005502.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#YYJRPRQ8J,The Goat,6742,2,#89RGLQPU,THE CAMELS,16000024,Valkyrie,12,12,Skeleton Barrel,14,14,Goblin Barrel,9,9,Wall Breakers,9,9,Tesla,14,14,Firecracker,14,14,Goblin Gang,14,14,Skeleton Army,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8C8QLQC8V,☄️The Meteor☄️,6747,1,#PPLL00G0,Team Elite Perú,16000061,Inferno Dragon,6,6,Giant,12,12,Witch,9,9,Dark Prince,9,9,Skeleton Army,9,9,Graveyard,6,6,Fireball,12,12,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T005123.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#YYJRPRQ8J,The Goat,6772,0,#89RGLQPU,THE CAMELS,16000024,Valkyrie,12,12,Skeleton Barrel,14,14,Goblin Barrel,9,9,Wall Breakers,9,9,Tesla,14,14,Firecracker,14,14,Goblin Gang,14,14,Skeleton Army,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2JRJGJJUC,NO NAME,6771,1,#PQQR9PG9,Masne Bržole,16000122,Balloon,9,9,Skeleton Barrel,14,14,Knight,14,14,Archers,14,14,The Log,6,6,Giant Snowball,14,14,Royal Delivery,14,14,Inferno Tower,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T004658.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#YYJRPRQ8J,The Goat,6744,3,#89RGLQPU,THE CAMELS,16000024,Valkyrie,12,12,Skeleton Barrel,14,14,Goblin Barrel,9,9,Wall Breakers,9,9,Tesla,14,14,Firecracker,14,14,Goblin Gang,14,14,Skeleton Army,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Y99V8YVV9,⭐NS I 귀서피나蟲⭐,6732,0,#LR0L8LQC,Aurozi noob,16000173,Freeze,8,9,Valkyrie,12,12,Inferno Dragon,6,6,Tornado,9,9,Bowler,9,9,Graveyard,6,6,Electro Wizard,6,6,Ice Wizard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T004339.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#YYJRPRQ8J,The Goat,6716,2,#89RGLQPU,THE CAMELS,16000024,Valkyrie,12,12,Skeleton Barrel,14,14,Goblin Barrel,9,9,Wall Breakers,9,9,Tesla,14,14,Firecracker,14,14,Goblin Gang,14,14,Skeleton Army,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9GGV9QP9,Delta,6701,1,#P9UCUYV2,Maple Miners,16000076,Lava Hound,6,6,Balloon,9,9,Skeleton Dragons,14,14,Fireball,12,12,Mega Minion,12,12,Zap,14,14,Tombstone,12,12,Guards,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T003822.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#YYJRPRQ8J,The Goat,6743,0,#89RGLQPU,THE CAMELS,16000024,Valkyrie,12,12,Skeleton Barrel,14,14,Goblin Barrel,9,9,Wall Breakers,9,9,Tesla,14,14,Firecracker,14,14,Goblin Gang,14,14,Skeleton Army,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#90QCVRRGR,Snow⛄️ ™️,6773,1,#LPURR99V,Sentinels,16000044,Lava Hound,6,6,Balloon,9,9,Tombstone,12,12,Skeleton Dragons,14,14,Mega Minion,12,12,Fireball,12,12,Barbarians,14,14,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
