,img,name1,name2,link,price,best_offer,likes
0,https://lh3.googleusercontent.com/ZB-XfYQgyXFupkSEuInfD1GmsCgH4vuVSsGTj7-vhnopR0QKfgTNezsjEtmOArmnA1tBwGiq-uGvLJcoBKJxiJiJ-p01jBv_jXgSVQ=w279,Meebits,Meebit #18574,https://opensea.io/assets/0x7bd29408f11d2bfc23c34f18275bbf23bb716bc7/18574,0.02,469.0,91
1,https://lh3.googleusercontent.com/-qVZWKCxvPo8fHUeq5aufA7v2HKkZ3UFRyXkbj3UWt_N9FguWVru-I4-WQl9_zVMjo2Ku48eNRINr5Pv8I_RNACSyivrMxGnXAjOqw=w279,Fidenza by Tyler Hobbs,Fidenza #547,https://opensea.io/assets/0xa7d8d9ef8d8ce8992df33d8b8cf4aebabd5bd270/78000547,8.34,460.0,103
2,https://openseauserdata.com/files/35b66881eb68e2dd779a5ffb55472536.svg,Autoglyphs,Autoglyph #463,https://opensea.io/assets/0xd4e4078ca3495de5b1d4db434bebc5a986197782/463,7.8,460.0,130
3,https://lh3.googleusercontent.com/Wv0w6RMg0tFkVtmOglyoTEXJv3JfR7Vr45nNx4_w3lGAaOEdfyWpIw_dFqVeIGTtJQR_9oFXEpHRhfH5dYn8TiUR3HTj5qr9Sowtgw=w279,Fidenza by Tyler Hobbs,Fidenza #6,https://opensea.io/assets/0xa7d8d9ef8d8ce8992df33d8b8cf4aebabd5bd270/78000006,8.34,458.88,98
4,https://lh3.googleusercontent.com/VcINO7tS_jlFUDPoEAAAcU9scOLfTNKWHB8u2U30BwZMFFS5eUfQeeaDTz_qKAQ1mt6jjUOFg-1bdSprvk53zGpGsstwwLORQur9Zg=w279,CLONE X - X TAKASHI MURAKAMI,CloneX #4594,https://opensea.io/assets/0x49cf6f5d44e70224e2e23fdcdd2c053f30ada28b/8368,18.31,450.0,123
5,https://openseauserdata.com/files/ca24cdfc4d0c9ff2379424a27436f7ff.svg,Autoglyphs,Autoglyph #403,https://opensea.io/assets/0xd4e4078ca3495de5b1d4db434bebc5a986197782/403,7.8,449.0,303
6,https://openseauserdata.com/files/dedba287dee0c8a56940b8d033279320.svg,Autoglyphs,Autoglyph #486,https://opensea.io/assets/0xd4e4078ca3495de5b1d4db434bebc5a986197782/486,7.8,444.0,78
7,https://lh3.googleusercontent.com/TYh_dldQKuIFzwee-RqCH1M-wr-73meq2YmmH_NbNKTDdVynbtaj1iOEDiTZ6-UpWPDqKFQvbwB5M4llQsiF0zXKgOuTU1ugzwgm0A=w279,Fidenza by Tyler Hobbs,Fidenza #135,https://opensea.io/assets/0xa7d8d9ef8d8ce8992df33d8b8cf4aebabd5bd270/78000135,8.34,437.5,143
8,https://lh3.googleusercontent.com/303qKlnB6sEyiI-6Y5bC9Z4EOb-wAOW78iAqL5_klFKpS7BDUcAitiQ3jLQTN1yMGErdJUrzVtQlMzL8CO5Wd3FqFip1-2UAmzZFvy8=w279,Bored Ape Yacht Club,3562,https://opensea.io/assets/0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d/3562,99.69,430.0,152
9,https://lh3.googleusercontent.com/jNHIDs3PF8rfSr3SBw0IYV5nwgSPggUz61pGgHkjNL5pOrR5DN-kTv-LAkYKEWrNbjqYzhS7D0oC0qrEdzLig2NoAQE1UuXY8xVSgQE=w279,Mirandus,Town of the Duke,https://opensea.io/assets/0xc36cf0cfcb5d905b8b513860db0cfe63f6cf9f5c/28243436454437892467460092416836761550848,250.0,0.0,110
10,https://lh3.googleusercontent.com/8NsqXw39Oo50HFchHEltIN4eLQ3SP9oHIk1F2caIojP2UBH9tJTvl_mIFvxyYx1EXluJ3KEIB8wS6nvdoYtsPkjLzi5nWtjAc9tOxg=w279,Bored Ape Yacht Club,8877,https://opensea.io/assets/0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d/8877,111.0,425.0,210
11,https://lh3.googleusercontent.com/3TZuBzHNO188oNhnB3br_8vpYR8mynS-WpFb7922BSWa_nhJRFY6n0BzhZn6tKvtjWSnx1gtgaVnb2us-IwPbIJq5HldkZLl9IEk=w279,Bored Ape Yacht Club,6694,https://opensea.io/assets/0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d/6694,111.69,420.69,105
12,https://lh3.googleusercontent.com/NkJ4_EE04Yxc45oN_Htp08_BUkkY8CjuWJi6LlwG1nhPMpCbGvWXq-NEYjnAICaJLQbEJdSfqj-92u82DVUei430cxa_txVlPaNA=w279,Meebits,Meebit #8598,https://opensea.io/assets/0x7bd29408f11d2bfc23c34f18275bbf23bb716bc7/8598,2.1678,420.0,89
13,https://lh3.googleusercontent.com/MS8DTHZQAGoPeU0Ob1cyrsArl04dp7BtWF1GB39d4nRqJKZKkEpJ_QR6MNBqWK89-Yta6RdBnw4xEbAjiQ4VAx_zsiewA11vNHyP_A=w279,Bored Ape Yacht Club,1734,https://opensea.io/assets/0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d/1734,111.0,420.0,275
14,https://openseauserdata.com/files/998dc13b265f96ac7447123e5619a665.svg,ENS: Ethereum Name Service,paradigm.eth,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/25678324544658514891171433701500781853442152332474238876092807294041322428124,420.0,0.0,93
15,https://lh3.googleusercontent.com/Kwe-92NE_esbUX98QxxPGKY-Zu9T2jQAFsTuslq9_YfvIqz2yLDNwlp-CtDUo0KyZY1ORFEgodhZJI1T0CLKScg=w279,Chromie Squiggle by Snowfro,Chromie Squiggle #2855,https://opensea.io/assets/0x059edd72cd353df5106d2b9cc5ab83a52287ac3a/2855,2.6303,420.0,73
16,https://lh3.googleusercontent.com/ulTNkL1s8SxAEkwH4pxkHxMYh2r5HJeBRcURychonbbelmY7Yg1mFkJUS_toAPVTTBGqDtuc1dq5ZwsJv9fUQ0h12f5M919x10wmaUU=w279,Bored Ape Yacht Club,8585,https://opensea.io/assets/0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d/8585,111.11,696.969,1.2K
17,https://lh3.googleusercontent.com/uk_DffZl4yOQHwnr-B6mVg3pg_JJCynj6irOdSYkckcNrFK5n0fZ98JR8jgJKCaiDF1QYvjeW4_tGZDgyS1tl4g0Cg5WQ4xhLwGK=w279,Bored Ape Yacht Club,4580,https://opensea.io/assets/0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d/4580,111.0,666.0,70
18,https://lh3.googleusercontent.com/83nCh7VgJEAGvrhSFKF6sH8GHKYvFX1uuBZ36oIu5PaMBSO3GloAQSyWc17SXQoq0t2PwjbyX-BctsObWHqHcJYdkL4NYoI9x_fE8io=w279,The Sandbox Mega City LAND Sale,"Mega City LAND Sale - 12x12 Estate L [60,192]",https://opensea.io/assets/0x495f947276749ce646f68ac8c248420045cb7b5e/55464657044963196816950587289035428064568320970692304673817341597439527747585,0.35,0.0,285
