name,prep,cook,img,difficulty
Healthier Salmon Rice Bowl,10m,5m,https://foodhub.scene7.com/is/image/woolworthsltdprod/2202-healthier-salmon-rice-bowl:Square-1300x1300,2
"Pickled Pear, Blue Cheese &amp; Walnut Crostini",10m,10m,https://foodhub.scene7.com/is/image/woolworthsltdprod/2201-Pickled-pear-blue-cheese-and-walnut-crostini:Square-1300x1300,2
Easy Air-Fryer Doughnuts,25m,20m,https://foodhub.scene7.com/is/image/woolworthsltdprod/2201-easy-air-fryer-doughnuts:Square-1300x1300,2
Air-fryer Corn Ribs,5m,25m,https://foodhub.scene7.com/is/image/woolworthsltdprod/2109-air-fryer-corn-ribs:Square-1300x1300,2
Peri Peri Barbecued Butterflied Chicken,15m,50m,https://foodhub.scene7.com/is/image/woolworthsltdprod/2201-peri-peri-barbecued-butterflied-chicken:Square-1300x1300,2
Easy Tennessee-Style Chicken Wings With Corn &amp; Slaw,5m,20m,https://foodhub.scene7.com/is/image/woolworthsltdprod/2201-easy-tennessee-style-chicken-wings-with-corn-and-slaw:Square-1300x1300,2
Air-Fryer Cheeseburger Spring Rolls,20m,30m,https://foodhub.scene7.com/is/image/woolworthsltdprod/2112-air-fryer-cheeseburger-spring-rolls:Square-1300x1300,2
Barbecued Lamb Shoulder With Watermelon &amp; Mint Salad,10m,30m,https://foodhub.scene7.com/is/image/woolworthsltdprod/2112-Lamb-with-watermelon-and-mint-salad:Square-1300x1300,2
Air-Fryer Turkey &amp; Stuffing Croquettes,30m,20m,https://foodhub.scene7.com/is/image/woolworthsltdprod/2112-air-fryer-turkey-and-stuffing-croquettes:Square-1300x1300,2
Air-Fryer Filo Crackers,45m,50m,https://foodhub.scene7.com/is/image/woolworthsltdprod/2110-air-fryer-filo-crackers:Square-1300x1300,2
Air-Fryer Potato Salad With Bacon &amp; Kaleslaw,10m,20m,https://foodhub.scene7.com/is/image/woolworthsltdprod/2111-air-fryer-potato-salad-with-bacon-and-kaleslaw:Square-1300x1300,2
Cajun-Spiced Barbecued Ham,10m,50m,https://foodhub.scene7.com/is/image/woolworthsltdprod/2110-cajun-spiced-barbecued-ham:Square-1300x1300,2
Pomegranate &amp; Molasses-Glazed Lamb With Ancient Grain Salad,5m,40m,https://foodhub.scene7.com/is/image/woolworthsltdprod/2110-pomegranate-and-molasses-glazed-lamb-with-ancient-grain-salad:Square-1300x1300,2
Smoky Pulled Lamb With Slaw &amp; Pickles,10m,4hr,https://foodhub.scene7.com/is/image/woolworthsltdprod/2110-smoky-pulled-lamb-with-slaw-and-pickles:Square-1300x1300,2
BBQ Prawns With Mint &amp; Mango Salsa,10m,10m,https://foodhub.scene7.com/is/image/woolworthsltdprod/2110-bbq-prawns-with-mint-and-mango-salsa:Square-1300x1300,2
Dukkah-Crusted Mushrooms &amp; Hummus Wraps,5m,10m,https://foodhub.scene7.com/is/image/woolworthsltdprod/2110-dukkah-crusted-mushrooms-and-hummus-wraps:Square-1300x1300,2
Huli Huli Chicken With Grilled Pineapple,10m,20m,https://foodhub.scene7.com/is/image/woolworthsltdprod/2110-huli-huli-chicken-with-grilled-pineapple:Square-1300x1300,2
Honey Soy Pork In Cabbage Cups,10m,10m,https://foodhub.scene7.com/is/image/woolworthsltdprod/2110-honey-soy-pork-in-cabbage-cups:Square-1300x1300,2
Cheat's Satay Beef Skewers,10m,10m,https://foodhub.scene7.com/is/image/woolworthsltdprod/2110-cheat-s-satay-beef-skewers:Square-1300x1300,2
Banh Mi Chicken Burgers,10m,10m,https://foodhub.scene7.com/is/image/woolworthsltdprod/2110-banh-mi-chicken-burgers:Square-1300x1300,2
Crunchy Chili Garlic Peas,5m,45m,https://foodhub.scene7.com/is/image/woolworthsltdprod/yr7px2u3agsyf7okjau5:Square-1300x1300,2
Porchetta Roast in Airfryer,10m,1hr+,https://foodhub.scene7.com/is/image/woolworthsltdprod/v1hvq12exbun4pzxy6k6:Square-1300x1300,2
Slow Cooked Moroccan Beef with Herbs,30m,8hr,https://foodhub.scene7.com/is/image/woolworthsltdprod/qfxr8bwk2v091bol7fma:Square-1300x1300,2
Air Fried Zucchini Chips Fries,30m,14m,https://foodhub.scene7.com/is/image/woolworthsltdprod/itwoomzsanvnwb2aheyk:Square-1300x1300,2
Cheesy Bolognese Pasta Chips,5m,30m,https://foodhub.scene7.com/is/image/woolworthsltdprod/2107-cheesy-bolognese-pasta-chips:Square-1300x1300,2
Mushroom &amp; Green Veggie Primavera,15m,30m,https://foodhub.scene7.com/is/image/woolworthsltdprod/2106-mushroom-and-green-veggie-primavera:Square-1300x1300,2
"Kids’ Air-Fryer Chickpea, Zucchini &amp; Spinach Nuggets",10m,50m,https://foodhub.scene7.com/is/image/woolworthsltdprod/2108-kids-air-fryer-chickpea-zucchini-and-spinach-nuggets:Square-1300x1300,2
Vegan Curried Lentil Pies,10m,35m,https://foodhub.scene7.com/is/image/woolworthsltdprod/2108-vegan-curried-lentil-pies:Square-1300x1300,2
Healthier Zucchini Fritters &amp; Quinoa Bowls,25m,20m,https://foodhub.scene7.com/is/image/woolworthsltdprod/2108-healthier-zucchini-fritters-and-quinoa-bowls:Square-1300x1300,2
Air-Fryer Hash Brown,20m,20m,https://foodhub.scene7.com/is/image/woolworthsltdprod/2108-air-fryer-hash-brown:Square-1300x1300,2
Honey Hoisin Chicken &amp; Veggie Stir-Fry with Rice,15m,10m,https://foodhub.scene7.com/is/image/woolworthsltdprod/2108-honey-hoisin-chicken-and-veggie-stir-fry-with-rice:Square-1300x1300,2
Easy Spaghetti Marinara,5m,15m,https://foodhub.scene7.com/is/image/woolworthsltdprod/2108-easy-spaghetti-marinara:Square-1300x1300,2
Quick Lentil &amp; Spinach Stew,5m,20m,https://foodhub.scene7.com/is/image/woolworthsltdprod/2108-quick-lentil-and-spinach-stew:Square-1300x1300,2
Sesame Mushroom &amp; Udon Noodle Bowls,5m,10m,https://foodhub.scene7.com/is/image/woolworthsltdprod/2108-sesame-mushroom-and-udon-noodle-bowls:Square-1300x1300,2
Sesame Beef &amp; Udon Noodle Bowls,5m,10m,https://foodhub.scene7.com/is/image/woolworthsltdprod/2108-sesame-beef-and-udon-noodle-bowls:Square-1300x1300,2
Easy Chilli Bean Nachos,5m,10m,https://foodhub.scene7.com/is/image/woolworthsltdprod/2107-easy-chilli-bean-nachos:Square-1300x1300,2
Easy Thai Chicken Red Curry,5m,15m,https://foodhub.scene7.com/is/image/woolworthsltdprod/2107-easy-thai-chicken-red-curry:Square-1300x1300,2
Tuscan Chicken Pasta Bake,15m,35m,https://foodhub.scene7.com/is/image/woolworthsltdprod/2106-tuscan-chicken-pasta-bake:Square-1300x1300,2
Healthier Roasted Spiced Cauliflower with Freekeh,10m,30m,https://foodhub.scene7.com/is/image/woolworthsltdprod/2106-healthier-roasted-spiced-cauliflower-with-freekeh:Square-1300x1300,2
Uncle Tobys Caramel Baked Oats,-,35m,https://foodhub.scene7.com/is/image/woolworthsltdprod/2107-uncletobys-caramel-baked-oats:Square-1300x1300,2
Hot Chocolate Cake,1hr+,1hr+,https://foodhub.scene7.com/is/image/woolworthsltdprod/2107-hot-chocolate-cake:Square-1300x1300,2
Soy Sauce Turkey Wing,20m,20m,https://foodhub.scene7.com/is/image/woolworthsltdprod/uflhmkcduu7ur0xaobrz:Square-1300x1300,2
Slow-Cooker Beef &amp; Onion Korma With Dal,10m,4hr+,https://foodhub.scene7.com/is/image/woolworthsltdprod/2106-slow-cooker-beef-and-onion-korma-with-dal:Square-1300x1300,2
"Chicken, Olive, Tomato &amp; Eggplant Pasta",10m,40m,https://foodhub.scene7.com/is/image/woolworthsltdprod/2105-chicken-olive-tomato-and-eggplant-pasta:Square-1300x1300,2
Three-Cheese Spaghetti Carbonara,10m,15m,https://foodhub.scene7.com/is/image/woolworthsltdprod/2105-three-cheese-spaghetti-carbonara:Square-1300x1300,2
White Chocolate And Raspberry Cheesecake,9hr+,-,https://foodhub.scene7.com/is/image/woolworthsltdprod/2105-white-chocolate-and-raspberry-cheesecake:Square-1300x1300,2
Avocado &amp; Za’Atar Grilled Chicken Wrap,10m,15m,https://foodhub.scene7.com/is/image/woolworthsltdprod/2106-avocado-zaatar-grilled-chicken-wrap:Square-1300x1300,2
Crunchy Curry Chickpeas,5m,15m,https://foodhub.scene7.com/is/image/woolworthsltdprod/zekyrwhf0rzn8ehiyvz4:Square-1300x1300,2
Mexican Style Corn Ribs,20m,15m,https://foodhub.scene7.com/is/image/woolworthsltdprod/tr3gy1fyqbd6ughbhugl:Square-1300x1300,2
Ham Rice &amp; Vegetable Pie Maker Patties,20m,40m,https://foodhub.scene7.com/is/image/woolworthsltdprod/wnefuydg1jqs9ncjdpzt:Square-1300x1300,2
Dark Chocolate Delights,5m,20m,https://foodhub.scene7.com/is/image/woolworthsltdprod/ako0gx7ogoe3vzfekvhb:Square-1300x1300,2
Buttermilk Dijon and Herb Chicken,2hr+,30m,https://foodhub.scene7.com/is/image/woolworthsltdprod/rmxut0fjkosd1qmttijj:Square-1300x1300,2
Rainbow Chicken,10m,15m,https://foodhub.scene7.com/is/image/woolworthsltdprod/rnorndvzhgsb9dgm58ch:Square-1300x1300,2
Potato and Tasty Cheese Croquettes,30m,5m,https://foodhub.scene7.com/is/image/woolworthsltdprod/cc1rammli3vz1oxyesz7:Square-1300x1300,2
4 Ingredient Berry Coconut Balls,30m,-,https://foodhub.scene7.com/is/image/woolworthsltdprod/jvtsa7mdyr0m52sn7i8k:Square-1300x1300,2
Japanese Chicken Curry,10m,35m,https://foodhub.scene7.com/is/image/woolworthsltdprod/bvctacy2ljbya78wyqfl:Square-1300x1300,2
Slow Cooker Chicken &amp; Vegetable Soup,20m,6hr,https://foodhub.scene7.com/is/image/woolworthsltdprod/lhbds1dzlp6zgl7z1y4w:Square-1300x1300,2
Crispy Mash Potato Cheese &amp; Chive Pies,15m,10m,https://foodhub.scene7.com/is/image/woolworthsltdprod/lyumueqdz5cecybsuwte:Square-1300x1300,2
