Text,User,Counter,Reply
"@1967Christian Hi April, thanks for getting in touch. We appreciate you sharing your feedback about our Hot Cross Buns and we'd love to share your feedback with our product team, however, we do need to grab some more details., If you could send us a DM, that'd be great. Thanks!",@1967Christian:1,1,
@199vogel We’ll continue to work closely with our suppliers to offer value and competitive prices across your entire shop. Thank you for your understanding and continued support. 2/2,@199vogel:1,1,@woolworths 30 can Pepsi maxx raised $14 overnight. Bit steep
"@199vogel Hi Terry, in response to a wholesale cost increase from our supplier, we’ve updated our retail prices. We understand that every dollar counts and never take the decision to increase prices lightly. 1/2",@199vogel:2,2,
"@5150Crispy Hi there, we're sorry to hear that your having trouble resetting your password. We'd like to see what we can do you for, could you please send us a DM? Thanks.",@5150Crispy:1,1,@woolworths How long are you meant to wait for a Forgot my Password email? Nothing in Junk folder so 🤷🏽‍♂️
"@85azavk Hey Aaron, thanks for reaching out to us about this. So we can raise this feedback appropriately, would you be able to send us a DM with the date and time you visited our store? We look forward to hearing from you. Thanks.",@85azavk:1,1,"Hey @woolworths , I am disappointed to see that your Weston creek store is not enforcing that customers wear a mask before entering your store. Over the last few days I have seen an increasing number of customers not wearing masks and as a result I will be avoiding your store."
"@ACPGilbertson Hey Ashleigh, thanks for reaching out to us and we appreciate your patience. We're delighted to hear about your recent visit to one of our stores and we'd love to share your feedback. Please private message us with your local store. We hope to hear from you soon!",@ACPGilbertson:1,1,"Shoutout to my local @woolworths staff, working short-staffed, with product shortages and limits, and - I imagine - difficult customers. Oh, and working in a high-risk setting in an outbreak! 
Still, several, in their teens and 20s, went out of their way to help me this evening"
"@ANZinAsia Hi Nathan, thanks for your patience with our reply. We're sorry to hear that you couldn't purchase any meat or produce items when you shopped with us recently. We're currently experiencing some product shortages. Our team is working fast to restock these items for you. 1/2",@ANZinAsia:1,1,"@woolworths St Ives Woolworths is EMPTY tonight, no meat at all, no fruit and veg, etc.    My wife spoke to the manager who she knows and they are not expecting any meat delivery.      This is a dire situation now.   Alarm bells should be ringing at HQ"
@ANZinAsia We've shared your feedback with our St Ives store management team for their awareness. Thanks. 2/2,@ANZinAsia:2,2,
"@AdeleTweets19 Hey Adele, thanks for getting in touch! We're so pleased to hear you were impressed with your order and received all the items you were after. We appreciate you sharing this with us and we hope you have a wonderful weekend! 😁💚",@AdeleTweets19:1,1,
"@AirborneCovid Hi there, we have updated some of our in-store COVIDsafe measures in NSW to align with the State Government’s health orders.",@AirborneCovid:1,1,
