title,date_of_patent,patent_n,description,type,assignees,inventors
Pick-up/drop-off zone handoff between autonomous vehicles,"May 3, 2022",1132027,"Aspects of the present disclosure include systems, methods, and devices to facilitate pick-up/drop-off zone (PDZ) handoffs between autonomous vehicles. Consistent with some embodiments, a pick-up/drop-off zone (PDZ) is located based on detecting a first autonomous vehicle stopped at a stopping location. A system determines, based on one or more criteria, whether to request the first autonomous vehicle to remain stopped at the stopping location to create an opportunity for a second autonomous vehicle to claim the PDZ. An amount of time for the first autonomous vehicle to remain stopped at the stopping location is determined based on the one or more criteria. A request to remain stopped at the stopping location is transmitted to a vehicle autonomy system of the first autonomous vehicle based on satisfaction of the one or more criteria. The request specifies the amount of time for the first autonomous vehicle to remain at the stopping location.
                        ",Grant,"UberTechnologies,Inc.","Shenglong Gao, Brent Goldman, Konrad Julian Niemiec"
Location safety determination system,"May 3, 2022",1132028,"Systems and methods are provided for determining location data corresponding to a location of a user, retrieving candidate locations for pickup or drop-off locations based on the location data corresponding to the location of the user, and determining a safety score for each of the candidate locations. The systems and methods further select a best candidate location using the safety score associated with each of the candidate locations and provide a recommendation for a pickup or drop-off location comprising the best candidate location.
                        ",Grant,"UberTechnologies,Inc.","Kapil Gupta, Houtan Shirani-Mehr, Mir Shahrouz Takyar, Jaikumar Ganesh"
Multiple source place matching system,"May 3, 2022",1132157,"Systems and methods are provided for generating a places dataset comprising place data from multiple data sources each having a plurality of place data. Based on the places dataset, the systems and methods generate local clusters comprising places located within a predetermined distance, generate probable pairs of places in each local cluster, and distribute the probable pairs to one or more processors to determine similar edges between one or more places in each local cluster based on a plurality of combined similarity measures indicating whether or not a place is similar to another place. The systems and methods further generate similar pairs based on the combined similarity measures and convert the similar pairs into connected components comprising groups of similar places based on a best similar edge from all the candidates for a group of similar places.
                        ",Grant,"UberTechnologies,Inc.","Kapil Gupta, Sai Bhuvan Teja Balla, Susmit Biswas, Chun-Chen Kuo, Jeremy Hintz"
Proactive delivery of navigation options,"May 3, 2022",1132027,"Various embodiments pertain to techniques for proactively delivering navigation options to a user via a mobile device. In various embodiments, one or more navigation options can be determined for the user and delivered to the user's mobile device at a relevant time. Navigation options can be selected based on the user's current location, the user's future plans, the time, and other locally relevant information, such as friends nearby or a nearby favorite location of the user. The navigation options can be delivered to the user's mobile device at a time that the navigation options are relevant.
                        ",Grant,"UberTechnologies,Inc.","Gary Voronel, Donald Barnett, Timothy Wantland, Ran Mokady, Amid Moradganjeh"
Command toolbox for autonomous vehicles,"April 26, 2022",1131424,"The present disclosure is directed to a system for generating customized command toolboxes for remote operators in a service system that includes autonomous vehicles. The system receives a request for remote assistance from an autonomous vehicle. The system determines, from a local storage location, vehicle data associated with the autonomous vehicle. The system selects a subset of remote assistance actions from a predetermined set of remote assistance actions. The system displays, in a remote assistance user interface, one or more user interface elements indicative of the subset of remote assistance actions. The system determines one or more remote assistance actions from the subset of remote assistance actions based at least in part on a user input associated with the one or more user interface elements. The system transmits one or more control signals associated with the one or more remote assistance actions.
                        ",Grant,"UberTechnologies,Inc.","Samann Ghorbanian-Matloob, Sean Shanshi Chen, Patrick Greaney Willett"
Route safety determination system,"April 26, 2022",1131368,"Systems and methods are provided for receiving location data for a first location and a second location and generating a plurality of candidate routes to travel from the first location to the second location, based on the location data, each candidate route comprising a plurality of segments.
                        ",Grant,"UberTechnologies,Inc.","Kapil Gupta, Houtan Shirani-Mehr, Mir Shahrouz Takyar, Jaikumar Ganesh"
Mitigating failure in request handling,"April 19, 2022",1131014,"A network computer system operates to mitigate failures for a network service. The network computer system can generate a data path model for the network service, where the data path model identifies a probabilistic set of expectations with respect to the programs and program sequences which handle service requests for the network service. The data path models can be used to detect, analyze or mitigate service request failures of the network service.
                        ",Grant,"UberTechnologies,Inc.","William Andrew Westlin, Edward Joseph Farro"
Locating a client device using ground truth image rendering,"April 19, 2022",1130832,"Systems and methods are disclosed herein for determining a location of a device, for example, by receiving, from a client device, a rendering of an image captured by the client device. The systems and methods compare the received rendering to entries in a database of renderings, each respective entry including a respective rendering and a respective associated location, and determine, from the comparing whether the received rendering matches a respective rendering included in a respective entry in the database of renderings. The systems and methods, in response to determining that the received rendering matches the respective rendering included in the respective entry, determine the location associated with the matching rendering, and transmit the location to the client device.
                        ",Grant,"UberTechnologies,Inc.",Aaron Matthew Rogan
Pick-up/drop-off zone availability estimation using probabilistic model,"April 12, 2022",1130041,"Aspects of the present disclosure include systems, methods, and devices to provide estimations of vehicular pick-up/drop-off zone (PDZ) availability. A request for vehicular PDZ availability at a location is received from a vehicular autonomy system of a vehicle. The request specifies an estimated time of arrival at the location. The PDZ availability at the location at the estimated time of arrival is estimated using a probabilistic model. A response to the request is generated based on the estimated PDZ availability. The response indicates the estimated PDZ availability. The response is transmitted to the vehicular autonomy system responsive to the request.
                        ",Grant,"UberTechnologies,Inc.","Shenglong Gao, Brent Goldman, Konrad Julian Niemiec, Michael Voznesensky"
Illegal stopping zone avoidance system,"April 12, 2022",1129917,"Systems and methods for avoiding illegal stopping zones are provided. In example embodiments, a networked system identifies a destination of a driver providing a transportation service to a user. The networked system monitors a user device of the driver, and infers, based on the monitoring, that the driver is planning to stop in an illegal stopping zone located a predetermined distance to the destination. The inference is based on device data such as accelerometer data or location data that is triangulated with known or derived illegal stopping zones. In response, the networked system causes presentation of a notification on a user interface of the device of the driver. The notification provides an indication of the illegal stopping zone. In some embodiments, the notification also provides an alternative stopping location determined by the networked system.
                        ",Grant,"UberTechnologies,Inc.","Shailendra Ramineni Rao, Wesley KaiJie Leung, Eleanor Cady Wachsman, Jon Ryan Bowen"
