County_full,longitude,latitude,D,E,F,color
"Clark County, NV",-115.0248,36.1087,830.0,3.9,0.02,yellow
"Los Angeles County, CA",-118.1817,34.07,84.0,3.6,0.03,green
"San Diego County, CA",-116.9636,32.9332,114.0,3.4,0.04,green
"Maricopa County, AZ",-112.2595,33.4986,75.0,6.7,0.03,green
"Cook County, IL",-87.803,41.8048,63.0,4.3,0.02,green
"Kings County, NY",-73.9496,40.6501,93.0,2.5,0.02,green
"New York County, NY",-73.9456,40.7389,145.0,2.5,0.02,green
"Wayne County, MI",-83.1942,42.2884,112.0,4.6,0.02,green
"Orange County, CA",-117.8361,33.7104,53.0,3.6,0.03,green
"Harris County, TX",-95.269,29.7668,35.0,6.4,0.04,green
"Hidalgo County, TX",-98.1475,26.2346,180.0,7.5,0.03,green
"Montgomery County, TX",-95.4395,30.2403,256.0,6.4,0.04,yellow
"Miami-Dade County, FL",-80.2934,25.7641,52.0,3.1,0.02,green
"Washoe County, NV",-119.7209,39.6961,280.0,2.7,0.02,yellow
"Bexar County, TX",-98.4901,29.495,65.0,6.6,0.03,green
"Middlesex County, MA",-71.2578,42.4384,79.0,2.8,0.01,green
"Collin County, TX",-96.5728,33.1644,117.0,4.6,0.03,green
"Jefferson County, KY",-85.6224,38.2507,157.0,4.9,0.03,green
"Queens County, NY",-73.7976,40.7498,52.0,2.5,0.02,green
"Kootenai County, ID",-116.8472,47.6891,699.0,2.0,0.03,yellow
"Chatham County, GA",-81.108,32.0282,393.0,2.0,0.02,yellow
"Bergen County, NJ",-74.0446,40.9299,120.0,2.6,0.02,green
"San Bernardino County, CA",-117.0252,34.327,49.0,2.5,0.03,green
"Riverside County, CA",-116.8622,33.8307,43.0,2.5,0.03,green
"Onondaga County, NY",-76.1902,43.0862,227.0,8.3,0.04,yellow
"King County, WA",-122.1162,47.517,46.0,2.4,0.03,green
"Tarrant County, TX",-97.2924,32.795,48.0,5.7,0.02,green
